ju       	you      
aɪ       	i        
θə       	the      
ə        	a        
ænd      	and      
əv       	of       
ɪn       	in       
maɪ      	my       
kæn      	can      
hɪm      	him      
hu       	who      
wʌt      	what     
sɛd      	said     
ə        	a        
ɪz       	is       
kʊd      	could    
θɹu      	through  
ɹil      	real     
lɪv      	live     
maɪsɛlf  	myself   
mɪnɪt    	minute   
tʃɛəns   	chance   
mɛɹid    	married  
laɪt     	light    
ɔlɹaɪt   	alright  
pɔɹ      	poor     
pəɹhæps  	perhaps  
dʒɛnəlmɪn	gentlemen
stɹeɪndʒ 	strange  
lɑ       	law      
mɛɹi     	marry    
dɪsaɪdəd 	decided  
ɛvədəns  	evidence 
mɛɹɪdʒ   	marriage 
seɪk     	sake     
