
b	b                                                                                                                                
p	p
d	d
t	t
ɖ	ɖ
ʈ	ʈ
ɟ	ɟ
c	ḱ
ɡ	g
k	ǵ
ɢ	gh
q	q
ʔ	'
 
ϕ	ph                                                                                                                                  
β	bh                                                                                                                                 
f	f                                                                                                                                 
v	v
θ	th
ð	th
s	s
z	z
ʃ	sh
ʒ	zh
ʂ	ʂ                                                                                                                                  
ʐ	ʐ                                                                                                                                 
ç	ç                                                                                                                                  
ʝ	ʝ
x	x                                                                                                                                  
ɣ	ɣ
χ	χ                                                                                                                                  
ʁ	ʁ
ħ	ħ                                                                                                                                  
ʕ	ʕ
h	h                                                                                                                                  
ɦ	ɦ
 
m	m
ɱ	ɱ
n	n
ɳ	ɳ
ɲ	ɲ
ŋ	ng
ɴ	ɴ
 
ʙ 	ʙ
r 	rr
ʀ 	r

ⱱ	ⱱ
ɾ	ɾ
ɽ	ɽ

ɬ	ɬ
ɮ	ɮ

y	y
i	i
ʏ	ʏ
ɪ	ɪ
ʉ	ʉ
ɨ	ɨ
ʊ	ʊ
u	u
ɯ	ɯ
ø	ø
e	e
ɵ	ɵ
ɘ	ɘ
ə	ə
o	o
ɤ	ɤ
œ	œ
ɛ	ɛ
ɞ	ɞ
ɜ	ɜ
ɐ	ɐ
ɔ	ɔ
ʌ	ʌ
æ	æ
ɶ	ɶ
a	a
ɒ	ɒ
ɑ	ɑ
