determiner 	 you 	  	  	 The individual or group spoken or written to 	 
pronoun 	 you 	  	  	 The people spoken, or written to, as an object. from 9th c 	 
interjection 	 aye 	  	  	 yes; yea; a word expressing assent, or an affirmative answer to a question 	 
pronoun 	 i 	  	  	 The speaker or writer, referred to as the grammatical subject, of a sentence 	 
preposition 	 the 	  	  	  	 
preposition 	 to 	  	  	  	 
particle 	 to 	  	  	 A particle used for marking the following verb as an infinitive 	 
preposition 	 a 	  	  	  	 
pronoun 	 a 	  	  	 He, or sometimes she, it. 1150-1900 	 
particle 	 a 	  	  	  	 
pronoun 	 it 	  	  	 The impersonal pronoun, used without referent in various short idioms 	 
determiner 	 it 	  	  	 its 	 
conjunction 	 and 	  	  	 * c. 1430 , Thomas Austin, ed., Two Fifteenth-century Cookery-books. Harleian ms. 279 , &amp; Harl. ms. 4016 , with Extracts from Ashmole ms. 1429, Laud ms. 553, &amp; Douce ms. 55 , London: N. Trübner &amp; Co. for the Early English Text Society, volume I 	 
pronoun 	 that 	  	  	 * 1600 William Shakespeare, The Tragedy of Hamlet, Prince of Denmark, Act 3, Scene 1 	 
conjunction 	 that 	  	  	 Introducing a subordinate clause expressing a reason or cause: because, in that 	 
determiner 	 that 	  	  	  	 
preposition 	 of 	  	  	  	 
preposition 	 in 	  	  	  	 
determiner 	 we 	  	  	  	 
pronoun 	 we 	  	  	 The speakers/writers, or the speaker/writer and at least one other person . This is the exclusive we 	 
determiner 	 me 	  	  	  	 
pronoun 	 me 	  	  	 As the direct object of a verb 	 
pronoun 	 this 	  	  	  	 
determiner 	 this 	  	  	 A known  used in first mentioning a person or thing that the speaker does not think is known to the audience. Compare with "a certain ...&quot 	 
interjection 	 this 	  	  	 Indicates the speaker's strong approval or agreement with the previous material 	 
pronoun 	 he 	  	  	 A male person or animal already known or implied 	 
interjection 	 he 	  	  	  	 
determiner 	 he 	  	  	  	 
conjunction 	 for 	  	  	 Because, as, since 	 
preposition 	 for 	  	  	  	 
particle 	 for 	  	  	 To, the particle for marking the following verb as an infinitive 	 
determiner 	 my 	  	  	 First-person singular possessive determiner. See Appendix:PossessiveEnglish 	 
pronoun 	 my 	  	  	  	 
interjection 	 my 	  	  	 Used to express surprise, shock or amazement 	 
preposition 	 on 	  	  	  	 
pronoun 	 your 	  	  	  	 
determiner 	 your 	  	  	  	 
preposition 	 no 	  	  	  	 
particle 	 no 	  	  	  	 
determiner 	 no 	  	  	 Hardly any 	 
conjunction 	 not 	  	  	 And not 	 
interjection 	 not 	  	  	 Used to indicate that the previous phrase was meant sarcastically or ironically 	 
preposition 	 be 	  	  	  	 
preposition 	 with 	  	  	  	 
preposition 	 but 	  	  	  	 
conjunction 	 but 	  	  	 Except that ; also, with omission of the subject of the subordinate clause, acting as a negative relative, "except one that", "except such that&quot 	 
pronoun 	 all 	  	  	 y’all Used only as a vocative 	 
conjunction 	 all 	  	  	 Although 	 
determiner 	 all 	  	  	 Any 	 
pronoun 	 so 	  	  	 someone 	 
interjection 	 so 	  	  	 Used after a pause for thought to introduce a new topic, question or story, or a new thought or question in continuation of an existing topic 	 
conjunction 	 so 	  	  	 Reduced form of 'so that', used to express purpose; in order that 	 
interjection 	 just 	  	  	 Expressing dismay or discontent 	 
interjection 	 here 	  	  	  	 
pronoun 	 they 	  	  	 A single person, previously mentioned, especially if of unknown or non-binary gender, but not if previously named and identified as male or female. since the 1300s 	 
determiner 	 they 	  	  	 The, those. from 14th c 	 
preposition 	 like 	  	  	  	 
interjection 	 like 	  	  	  	 
particle 	 like 	  	  	 indicating approximation or uncertainty 	 
conjunction 	 like 	  	  	 As, the way 	 
determiner 	 she 	  	  	  	 
pronoun 	 she 	  	  	 The female person or animal previously mentioned or implied 	 
conjunction 	 if 	  	  	 Supposing that, assuming that, in the circumstances that; used to introduce a condition or choice 	 
preposition 	 out 	  	  	  	 
interjection 	 out 	  	  	 * date=18 November 2002|developer=Nintendo R&amp;D1|title=Metroid Fusion|platform=Game Boy Advance|publisher=Nintendo|scene=dispatch|text=': 'Does Samus suspect anything?' / Ship AI: 'No, I do not think so.' / ': 'Good. Monitor her closely.' / Ship AI: 'Affirmative. Out.' 	 
preposition 	 about 	  	  	  	 
preposition 	 up 	  	  	  	 
pronoun 	 him 	  	  	 A masculine pronoun; he as a grammatical object 	 
preposition 	 at 	  	  	  	 
pronoun 	 at 	  	  	  	 
pronoun 	 one 	  	  	 One thing ; one member of a group 	 
interjection 	 now 	  	  	 Indicates a signal to begin 	 
conjunction 	 now 	  	  	 Since, because, in light of the fact; often with that 	 
preposition 	 come 	  	  	  	 
interjection 	 come 	  	  	 An exclamation to express annoyance 	 
interjection 	 oh 	  	  	 Expression of surprise 	 
pronoun 	 her 	  	  	 The form of she used after a preposition or as the object of a verb; that woman, that ship, etc 	 
determiner 	 her 	  	  	 Belonging to her 	 
conjunction 	 how 	  	  	 That, the fact that, the way that 	 
interjection 	 how 	  	  	 A greeting, used in representations of Native American speech 	 
interjection 	 well 	  	  	 Used to acknowledge a statement or situation 	 
interjection 	 yeah 	  	  	 Expressing joy, celebration, glee, etc 	 
particle 	 yeah 	  	  	 Yes. from 19th c 	 
conjunction 	 than 	  	  	 Because; for 	 
interjection 	 ok 	  	  	  	 
interjection 	 see 	  	  	 Directing the audience to pay attention to the following 	 
