dictionary	vortaro
free	libera
free	liberi
free	liberigi
thesaurus	sinonimaro
thesaurus	tezaŭro
encyclopedia	enciklopedio
nonsense	sensencaĵo
nonsense	absurdaĵo
elephant	elefanto
brown	bruno
brown	bruna
december	decembro
december	Decembro
month	monato
february	februaro
february	Februaro
april	aprilo
april	Aprilo
june	junio
june	Junio
july	julio
july	Julio
september	septembro
september	Septembro
october	oktobro
october	Oktobro
november	novembro
november	Novembro
multiculturalism	multkulturismo
tuesday	mardo
saturday	sabato
sunday	dimanĉo
lexicography	leksikografio
antonym	antonimo
antonym	mal-vorto
synonym	sinonimo
hyponym	hiponimo
false friend	falsa amiko
alphabetical	alfabeta
alphabetical	laŭalfabeta
etymology	etimologio
etymology	etimo
etymology	vortodeveno
trade	interŝanĝi
verb	verbo
adjective	a-vorto
adjective	adjektivo
craft	ruzeco
craft	fako
craft	metio
craft	metiistoj
craft	fakuloj
merchandise	komercaĵo
wares	komercaĵo
product	produktaĵo
product	produto
eagle	aglo
antidisestablishmentarianism	kontraŭmalfondistismo
pumpkin	kukurbo
portmanteau word	kofrovorto
aardvark	orikteropo
aardvark	terporko
aardwolf	protelo
abandonment	dezerteco
abandonment	natureco
abasement	malaltigo
abasement	humiligo
abbacy	abateco
abbacy	abata jurisdikcio
abbess	abatino
abbey	abatejo
abbot	abato
abbreviated	mallongiga
abbreviation	mallongigo
abdomen	ventro
abdomen	abdomeno
abduct	forrabi
aberration	aberacio
abhor	abomeni
abhor	malamegi
abhorrence	abomeno
abhorrence	malamego
ability	povo
abiogenesis	abiogenezo
ablative	ablativa
abnegation	abnegacio
abnormality	anomalio
aboard	surŝipe
abolish	abolicii
abolish	forigi
abolish	aboli
abolitionism	aboliciismo
abolitionist	aboliciisto
abortion	abortigo
abortion	abortado
abortionist	abortigisto
abortionist	virabortigisto
abortionist	abortigistino
abortionist	geabortigistoj
abound	abundi
abound	sufiĉegi
about	ĉirkaŭ
about	[[ĉirkaŭe]] [[en]]
about	tra
about	-ota
about	pri
about	kun
above	sur
above	super
abracadabra	abrakadabra
abroad	eksterlande
abruptly	abrupte
abruptness	abrupteco
traditional chinese	tradicia ĉina skribo
traditional chinese	tradiciaj ĉinaj signoj
odd	stranga
quiz	kvizo
millennium	jarmilo
watchlist	atentaro
winter	vintro
winter	travintri
robot	roboto
english	angla
english	anglalingva
english	virangla
english	anglina
english	brita
english	anglo
english	anglino
english	vira anglo
english	angla viro
english	angla virino
english	[[angla]] [[lingvo]]
english	eo
today	hodiaŭ
today	nuntempe
crude oil	nafto
crude oil	krud petrolo
absolutely	nepre
absolutely	absolute
absolution	absolvo
absolve	malkondamni
absolve	senpekigi
absolve	pekliberigi
abstemiousness	abstemio
abstemiousness	abstinado
abstemiousness	ŝparemo
abstractness	abstrakteco
absurdity	absurdaĵo
absurdity	absurdeco
accessibility	alirebleco
accidentally	akcidente
accommodating	cedema
accommodating	akomodiĝema
accordingly	sekve
accordingly	laŭ tio sekvas
accordion	akordiono
achene	akeno
plural	plurnombra
plural	multenombro
homeworld	hejmmondo
homeworld	hejmomondo
homeworld	hejma mondo
alien	alilandano
alien	aliplanedano
alien	fremda
definition	difino
autumn	aŭtuno
spring	printempo
spring	fonto
spring	risorto
libre	libera
color	koloro
color	kolorigi
color	kolori
lens	lenso
whatever	kio ajn
transvestite	transvestulo
transvestite	transvestulino
orange	oranĝarbo
orange	oranĝujo
orange	oranĝo
orange	oranĝokolora
orange	oranĝkolora
polish	pola
wolf	lupo
planet	planedo
star	ĉefroli
zero	nul
zero	nulo
zero	nululo
oxymoron	oksimoro
numeral	numeralo
numeral	nombrovorto
bureaucrat	burokrato
alphabet	alfabeto
achilles tendon	aĥila tendeno
acid	acida
acid	acido
lightspeed	lumrapido
growth	kreskiĝo
german	germano
german	germanino
german	Germano
german	germana
faq	OD
mexico	Meksiko
mexico	Meksikio
decade	jardeko
fortnight	duonmonato
fortnight	[[du]] [[semajno]]j
pm	p.t.m.
grass	herbo
grass	greso
one	oni
one	unu
two	du
two	dua
five	kvin
five	kvino
ad	p.K.
proper noun	propra nomo
century	jarcento
century	centjaro
polytheism	politeismo
japan	Japanio
japan	Japanujo
computer science	komputiko
computer science	komputoscienco
computer science	informa scienco
few	malmulta
meat	viando
i love you	mi amas vin
encrypt	ĉifri
pseudo-	pseŭdo-
trade union	sindikato
chairman	prezidanto
bc	a.K.
monotheism	monoteismo
monotheism	unudiismo
quality	kvalito
quality	eco
nigger	nigrulaĉo
nigger	nigrulaĉino
dickhead	kaculo
biblical	biblia
subsidiarity	subsidiareco
six	ses
anti-semitism	kontraŭjudismo
anti-semitism	antisemitismo
accordionist	akordionisto
occultation	kaŝado
transitive verb	transitiva verbo
adverb	adverbo
esperanto	Esperanto
esperanto	Espo
esperanto	Sprantais
because	pro
because	ĉar
billion	miliardo
billion	duiliono
morpheme	morfemo
nine	naŭ
nine	naŭo
ten	dek
singular	ununombra
everybody	ĉiuj
reality	realeco
reality	realaĵo
reality	realo
weapon	armilo
aria	ario
dutch	nederlanda
dutch	nederlandano
netherlands	Nederlando
acronym	akronimo
operating system	operaciumo
nato	NATO
ussr	USSR
music	muziko
war	milito
dvd	DVD
peace	paco
conjunction	konjunkcio
lifetime	vivodaŭro
lifetime	vivdaŭro
iraq	Irako
greece	Grekio
greece	Grekujo
greece	Greklando
former yugoslav republic of macedonia	Iama Jugoslavia Respubliko Makedonio
serbia and montenegro	Serbio kaj Montenegro
united arab emirates	Unuiĝintaj Arabaj Emirlandoj
united kingdom	Unuiĝinta Regno
united kingdom	Unuiĝinta Reĝlando
united states of america	Usono
united states of america	Unuiĝintaj Ŝtatoj de Ameriko
germany	Germanio
germany	Germanujo
czech republic	Ĉeĥa Respubliko
czech republic	Ĉeĥio
france	Francio
france	Francujo
israel	Israelo
israel	Izrael
israel	Izraelo
european	eŭropa
european	eŭropana
european	vireŭropana
european	eŭropanina
european	eŭropano
european	vireŭropano
european	eŭropanino
estonia	Estonio
estonia	Estonujo
latvia	Latvio
latvia	Latvujo
norway	Norvegio
norway	Norvegujo
morocco	Maroko
algeria	Alĝerio
tunisia	Tunizio
south africa	Sud-Afriko
poland	Pollando
poland	Polujo
austria	Aŭstrio
austria	Aŭstrujo
philippines	Filipinoj
solomon islands	Salomonoj
inflation	inflacio
unemployment	maldungo
currently	momente
apple	pomo
economics	ekonomiko
urban	urba
slow	malrapida
am	a.t.m.
fruit	frukto
mammal	mamulo
metadata	meta-dateno
webmaster	retejestro
husband	edzo
religion	religio
government	registaro
government	registara
government	regado
morning	mateno
mexican	meksikiano
mexican	meksikianino
mexican	meksikia
send	sendi
market	merkato
food	manĝaĵo
take	preni
take part	partopreni
but	sed
but	tamen
but	krom
but	escepte de
increase	pliiĝi
increase	pliigi
increase	plialtigi
increase	plimultiĝo
forecast	prognozo
forecast	veterprognozo
also	ankaŭ
add	aldiri
add	aldoni
add	adicii
frequency	ofto
frequency	ofteco
frequency	frekvenco
mobile phone	posxtelefono
mobile phone	poŝtelefono
radio	radiofonio
radio	radio
asian	aziano
barcode	strikodo
careful	zorga
careful	zorgema
time	kronometri
time	[[registri]] [[la]] [[daŭro]]n [[de]]
shrink	etiĝi
shrink	ŝrumpi
shrink	malkreskiĝi
shrink	etigi
andorra	Andoro
afghanistan	Afganio
afghanistan	Afganistano
afghanistan	Afganujo
antigua and barbuda	Antigvo-Barbudo
armenia	Armenio
armenia	Armenujo
angola	Angolo
argentina	Argentino
bangladesh	Bangladeŝo
bulgaria	Bulgario
bulgaria	Bulgarujo
bolivia	Bolivio
brazil	Brazilo
bahamas	Bahamoj
bhutan	Butano
botswana	Bocvano
belize	Belizo
canada	Kanado
switzerland	Svislando
switzerland	Svisio
switzerland	Svisujo
chile	Ĉilio
colombia	Kolombio
cape verde	Kabo-Verdo
cyprus	Kipro
dominican republic	Domingo
sect	sekto
political	politika
pseudonym	pseŭdonimo
false	malvera
false	nevera
ecuador	Ekvadoro
spain	Hispanio
spain	Hispanujo
ethiopia	Etiopio
ethiopia	Etiopujo
aids	aidoso
gabon	Gabono
ghana	Ganao
gambia	Gambio
epidemic	epidemio
epidemic	epidemia
equatorial guinea	Ekvatora Gvineo
honduras	Honduro
haiti	Haitio
hungary	Hungario
hungary	Hungarujo
indonesia	Indonezio
ireland	Irlando
india	Barato
india	Hindio
india	Hindujo
iran	Irano
italy	Italio
italy	Italujo
kenya	Kenjo
kiribati	Kiribato
comoros	Komoroj
full stop	punkto
early	frua
early	frue
welcome	bonvena
welcome	bonvenon!
welcome	bonveno
welcome	bonvenigi
natural gas	tergaso
lebanon	Libano
liberia	Liberio
monaco	Monako
madagascar	Madagaskaro
marshall islands	Marŝala Insularo
marshall islands	Marŝaloj
mongolia	Mongolio
mongolia	Mongolujo
mauritania	Maŭritanio
mauritania	Maŭritanujo
malta	Malto
malawi	Malavio
mozambique	Mozambiko
namibia	Namibio
niger	Niĝero
niger	Niĝerlando
nigeria	Nigerio
nigeria	Niĝerio
nicaragua	Nikaragvo
translation	traduko
translation	tradukaĵo
proprietary	propraĵa
french	franca
french	[[franca]] [[lingvo]]
french	franclingva
standard	standardo
nepal	Nepalo
nauru	Nauro
oman	Omano
panama	Panamo
peru	Peruo
french polynesia	Franca Polinezio
papua new guinea	Papuo-Nov-Gvineo
pakistan	Pakistano
portugal	Portugalio
portugal	Portugalujo
paraguay	Paragvajo
qatar	Kataro
sudan	Sudano
slovenia	Slovenio
slovenia	Slovenujo
slovakia	Slovakio
slovakia	Slovakujo
san marino	Sanmarino
san marino	San-Marino
senegal	Senegalo
senegal	Senegalio
syria	Sirio
swaziland	Svazilando
thailand	Tajlando
turkey	meleagro
turkey	virmeleagro
turkey	meleagriĉo
turkey	meleagrino
turkey	meleagraĵo
trinidad and tobago	Trinidado kaj Tobago
tanzania	Tanzanio
ukraine	Ukrainio
ukraine	Ukrainujo
ukraine	Ukrajno
uganda	Ugando
united states	Usono
united states	Unuiĝintaj Ŝtatoj Amerikaj
united states	Unuiĝintaj Ŝtatoj de Ameriko
vietnam	Vjetnamio
vietnam	Vjet-Namo
vietnam	Vjetnamo
yemen	Jemeno
zambia	Zambio
zimbabwe	Zimbabvo
skillful	lerta
mortar	pistujo
current	fluo
current	nuntempa
financial	financa
pollution	poluado
automatic	aŭtomata
software	programaro
interlingua	Interlingvao
computer	komputilo
computer	komputisto
french fries	terpomfingroj
spanish	hispana
spanish	[[hispana]] [[lingvo]]
spanish	hispanoj
lol	mdr
portuguese	portugala
portuguese	portugalo
portuguese	portugalino
portuguese	[[portugala]] ([[lingvo]])
absence	foresto
absolute	nepra
absorption	absorbo
abstract	abstrakta
absurd	absurda
abutment	abutmento
abyss	abismo
academic	akademia
academy	akademio
acceleration	akcelo
accomplice	kunkulpulo
accomplice	kunkulpulino
accompany	akompani
accompany	kunesti
accompaniment	akompanaĵo
affix	afikso
greek	greka
greek	greko
greek	grekino
greek	heleno
greek	helenino
ufo	NIFO
ufo	nifo
accredit	akrediti
accuse	akuzi
anguilla	Angvilo
anguilla	Angilo
netherlands antilles	Nederlandaj Antiloj
australia	Aŭstralio
bosnia and herzegovina	Bosnio-Hercegovino
bosnia and herzegovina	Bosnio kaj Hercegovino
barbados	Barbado
burkina faso	Burkino
benin	Benino
brunei	Brunejo
belarus	Belorusujo
belarus	Belorusio
vanuatu	Vanuatuo
uzbekistan	Uzbekio
uzbekistan	Uzbekistano
tuvalu	Tuvalo
burp	rukti
turkmenistan	Turkmenio
turkmenistan	Turkmenistano
turkmenistan	Turkmenujo
acetylene	acetileno
acetylene	etino
achieve	atingi
general	ĝenerala
general	generalo
choir	ĥoro
choir	koruso
phoenix	fenikso
map	mapo
index	indekso
index	indeksi
afghan	afgano
algerian	alĝeriano
algerian	alĝeria
wales	Kimrio
tokelau	Tokelao
east timor	Orienta Timoro
tajikistan	Taĝikio
tajikistan	Taĝikistano
turks and caicos islands	Turkoj kaj Kajkoj
são tomé and príncipe	Saotomeo
são tomé and príncipe	Sao-Tomeo kaj Principeo
somalia	Somalio
somalia	Somalujo
svalbard and jan mayen islands	Svalbardo kaj Jan Mayen-insulo
svalbard and jan mayen islands	Jan-majen-insulo
sri lanka	Lanko
sri lanka	Sri-Lanko
sri lanka	Srilanko
south korea	Sud-Koreio
south korea	Koreio Suda
south korea	Koreujo Sud-Koreujo
south korea	Koreujo Suda
north korea	Nord-Koreujo
north korea	Koreujo Norda
north korea	Koreio Norda
north korea	Nord-Koreio
saudi arabia	Saudarabio
saudi arabia	Saud-Arabio
saint helena	Sent-Heleno
russia	Rusio
russia	Rusujo
russia	Ruslando
réunion	Reunio
palau	Belaŭo
palau	Palaŭo
niue	Niuo
lesotho	Lesoto
kyrgyzstan	Kirgizistano
kyrgyzstan	Kirgizio
genome	genaro
gag	buŝoŝtopilo
indo-european	hindeŭropa
money	mono
night	nokto
army	armeo
jupiter	Jupitero
british virgin islands	Britaj Virgulinsuloj
central african republic	Centr-Afrika Respubliko
central african republic	Centrafriko
cook islands	Kukinsuloj
croatia	Kroatio
croatia	Kroatujo
dominica	Dominiko
eritrea	Eritreo
fiji	Fiĝio
fiji	Fiĝioj
guinea	Gvineo
guinea-bissau	Gvineo-Bisaŭo
guinea-bissau	Gvineo-Bisaŭa
guinea-bissau	Gvineo Bisaŭa
jordan	Jordanio
jordan	Jordano
moldova	Moldavio
moldova	Moldavujo
puerto rico	Portoriko
puerto rico	Puerto-Riko
puerto rico	Porto-Riko
myanmar	Mjanmao
myanmar	Birmo
burma	Birmo
