
b	ϕᵖᵛ                                                                                                                                
p	ϕᵖ                                                                                                                                 
d	θᵖᵛ                                                                                                                                
t	θᵖ                                                                                                                                 
ɖ	ʂᵖᵛ                                                                                                                                
ʈ	ʂᵖ                                                                                                                                 
ɟ	çᵖᵛ                                                                                                                                
c	çᵖ                                                                                                                                 
ɡ	xᵖᵛ                                                                                                                                
k	xᵖ                                                                                                                                 
ɢ	χᵖᵛ                                                                                                                                
q	χᵖ                                                                                                                                 
ʔ	hᵖ                                                                                                                                 
 
ϕ	ϕ                                                                                                                                  
β	ϕᵛ                                                                                                                                 
f	f                                                                                                                                  
v	fᵛ                                                                                                                                 
θ	θ                                                                                                                                  
ð	θᵛ                                                                                                                                 
s	s                                                                                                                                  
z	sᵛ                                                                                                                                 
ʃ	ʃ                                                                                                                                  
ʒ	ʃᵛ                                                                                                                                 
ʂ	ʂ                                                                                                                                  
ʐ	ʂᵛ                                                                                                                                 
ç	ç                                                                                                                                  
ʝ	çᵛ                                                                                                                                 
x	x                                                                                                                                  
ɣ	xᵛ                                                                                                                                 
χ	χ                                                                                                                                  
ʁ	χᵛ                                                                                                                                 
ħ	ħ                                                                                                                                  
ʕ	ħᵛ                                                                                                                                 
h	h                                                                                                                                  
ɦ	hᵛ                                                                                                                                 
 
m	ϕⁿ                                                                                                                                 
ɱ	fⁿ                                                                                                                                 
n	sⁿ                                                                                                                                 
ɳ	ʂⁿ                                                                                                                                 
ɲ	çⁿ                                                                                                                                 
ŋ	xⁿ                                                                                                                                 
ɴ	χⁿ                                                                                                                                 
 
ʙ 	ϕᴿ
r 	sᴿ
ʀ 	ʁᴿ

ⱱ	fᴸ
ɾ	sᴸ
ɽ	ʂᴸ

ɬ	s|
ɮ	s|ᵛ
