#	        	       	          	                  	               	indicative 	indicative	indicative   	indicative	subjunctive 	subjunctive 	conditional 	imperative 	         	           	                        	         
#	        	       	infinitive	present-participle	past-participle	present    	perfect   	imperfect    	future    	present     	imperfect   	present     	present    	en-object	fr-object  	emoji-template          	group    
1	singular	have   	avoir     	ayant             	eu             	ai         	eus       	avais        	aurai     	aie         	eusse       	aurais      	           	         	           	{{subject}}<sub>💎</sub> 	unique   
2	singular	have   	avoir     	ayant             	eu             	as         	eus       	avais        	auras     	aies        	eusses      	aurais      	aie        	         	           	{{subject}}<sub>💎</sub> 	unique   
3	singular	have   	avoir     	ayant             	eu             	a          	eut       	avait        	aura      	ait         	eût         	aurait      	           	         	           	{{subject}}<sub>💎</sub> 	unique   
1	plural  	have   	avoir     	ayant             	eu             	avons      	eûmes     	avions       	aurons    	ayons       	eussions    	aurions     	ayons      	         	           	{{subject}}<sub>💎</sub> 	unique   
2	plural  	have   	avoir     	ayant             	eu             	avez       	eûtes     	aviez        	aurez     	ayez        	eussiez     	auriez      	ayez       	         	           	{{subject}}<sub>💎</sub> 	unique   
3	plural  	have   	avoir     	ayant             	eu             	ont        	eurent    	avaient      	auront    	aient       	eussent     	auraient    	           	         	           	{{subject}}<sub>💎</sub> 	unique   
 	        	       	          	                  	               	           	          	             	          	            	            	            	           	         	           	                        	         
1	singular	be     	être      	étant             	été            	suis       	fus       	étais        	serai     	sois        	fusse       	serais      	           	         	           	{{subject}}             	unique   
2	singular	be     	être      	étant             	été            	es         	fus       	étais        	seras     	sois        	fusses      	serais      	sois       	         	           	{{subject}}             	unique   
3	singular	be     	être      	étant             	été            	est        	fut       	était        	sera      	soit        	fût         	serait      	           	         	           	{{subject}}             	unique   
1	plural  	be     	être      	étant             	été            	sommes     	fûmes     	étions       	serons    	soyons      	fuissions   	serions     	soyons     	         	           	{{subject}}             	unique   
2	plural  	be     	être      	étant             	été            	êtes       	fûtes     	étiez        	serez     	soyez       	fuissiez    	seriez      	soyez      	         	           	{{subject}}             	unique   
3	plural  	be     	être      	étant             	été            	sont       	furent    	étaient      	seront    	soient      	fussent     	seraient    	           	         	           	{{subject}}             	unique   
 	        	       	          	                  	               	           	          	             	          	            	            	            	           	         	           	                        	         
1	singular	go     	aller     	allant            	allé           	vais       	allai     	allais       	irai      	aille       	allasse     	irais       	           	         	           	                        	unique   
2	singular	go     	aller     	allant            	allé           	vas        	allas     	allais       	iras      	ailles      	allasses    	irais       	va         	         	           	                        	unique   
3	singular	go     	aller     	allant            	allé           	va         	alla      	allait       	ira       	aille       	allât       	irait       	           	         	           	                        	unique   
1	plural  	go     	aller     	allant            	allé           	allons     	allâmes   	allions      	irons     	allions     	allassions  	irions      	allons     	         	           	                        	unique   
2	plural  	go     	aller     	allant            	allé           	allez      	allâtes   	alliez       	irez      	alliez      	allassiez   	iriez       	allez      	         	           	                        	unique   
3	plural  	go     	aller     	allant            	allé           	vont       	allèrent  	allaient     	iront     	aillent     	allassent   	iraient     	           	         	           	                        	unique   
