conjunction 	 e 	 and 	 and 	  	 and
pronoun 	 che 	 who 	 what; which 	 what; which 	 who; that; what; which
determiner 	 che 	 some 	 some; what 	 some ; what 	 which; what; some
conjunction 	 che 	 that 	 that 	 that 	 that
preposition 	 di 	 into 	 into; from; at 	  	 at; than; into; from; by; of; on
pronoun 	 la 	 it 	 it 	 her, it 	 it
pronoun 	 un 	  	  	 one 	 
preposition 	 a 	 into 	 into; at; on 	  	 to; into; on; at
pronoun 	 si 	 they 	 they; you 	 oneself, himself, herself, itself, themselves 	 you; they
preposition 	 per 	 via 	 via; per 	  	 for; to; via; by; of; times; toward; per
pronoun 	 uno 	  	  	 someone, a person 	 
pronoun 	 tu 	 you 	 you 	 you ; thou 	 you; thou
preposition 	 in 	 in 	 in 	  	 in; at; to; into; on
pronoun 	 mi 	 me 	 me 	 me 	 myself; me
interjection 	 ha 	  	  	  	 
interjection 	 ma 	  	  	 Indicates emotion or emphasis 	 
conjunction 	 ma 	 but 	 but 	 but 	 but
pronoun 	 lo 	 him 	 him 	 him 	 it; him
pronoun 	 cosa 	 what 	 what 	  	 what
preposition 	 con 	 with 	 with; by; on 	  	 with; on; by
pronoun 	 mio 	 mine 	 mine 	 my; of mine 	 mine
pronoun 	 le 	  	  	 them 	 
pronoun 	 sé 	 itself 	 itself 	 oneself, himself, herself 	 itself
conjunction 	 se 	 if 	 if 	 if 	 whether; if
preposition 	 da 	 after 	 after; as; from 	  	 from; by; since; as; after
conjunction 	 come 	 as 	 as; how 	 as soon as 	 how; as
pronoun 	 io 	 i 	 i 	  	 i
pronoun 	 ci 	 us 	 us 	 us 	 ourselves; us
interjection 	 bene 	 bravo 	 bravo 	 good!; fine! 	 right; great; bravo; all right
conjunction 	 solo 	  	  	 che but, only 	 
preposition 	 al 	 per 	 per 	  	 per
pronoun 	 me 	 me 	 me 	  	 me
pronoun 	 suo 	  	  	 his, hers, its own 	 
pronoun 	 tutto 	 everything 	 everything 	 everything, all 	 everything
pronoun 	 te 	  	  	 you 	 
pronoun 	 questo 	 this 	 this 	  	 this; this one
conjunction 	 quando 	 as 	 when 	 when 	 when; as
pronoun 	 lei 	 she 	 she 	 she 	 she; you
pronoun 	 gli 	 him 	 him 	 him, to him; it; to it 	 him
conjunction 	 ora 	  	  	 and yet 	 
pronoun 	 ne 	  	  	  	 
pronoun 	 altro 	  	  	 other, other man, another, more, somebody else 	 
preposition 	 alla 	 to 	 to 	  	 to
conjunction 	 o 	 or 	 or 	 or 	 either; or
conjunction 	 perché 	 so 	 so 	 because, why 	 so that; for; so; because; wherefore; that
pronoun 	 tutti 	 everyone 	 everyone; everybody 	 all; everybody, everyone 	 everybody; everyone
pronoun 	 chi 	 who 	 who 	 who, whom 	 who; whom
interjection 	 grazie 	 thanks 	 thanks 	  	 thank you; thanks
interjection 	 beh 	 well 	 well 	 well 	 well
pronoun 	 tuo 	 yours 	 yours 	 yours 	 yours
conjunction 	 sia 	  	  	 both ... and 	 
pronoun 	 lui 	 him 	 he 	 he 	 him; he
preposition 	 più 	 plus 	 plus 	  	 plus
interjection 	 ehi 	  	  	 hey! 	 
pronoun 	 tua 	 your 	 your 	 your 	 yours
pronoun 	 quello 	 that 	 that 	  	 that; that one
conjunction 	 dove 	 where 	 where 	 where 	 where
preposition 	 su 	 in 	 in 	  	 onto; about; in; on
interjection 	 su 	  	  	 come on! 	 
pronoun 	 noi 	 us 	 us; we 	 we; us 	 us; we
preposition 	 ad 	  	  	  	 
pronoun 	 li 	  	  	 them 	 
pronoun 	 loro 	 they 	 they 	 they 	 they
pronoun 	 proprio 	  	  	 one's, one's own, her , its , their 	 
pronoun 	 vi 	 you 	 you 	 second-person personal plural object pronoun: you, to you 	 you
preposition 	 fuori 	 outside 	 outside 	  	 outside
determiner 	 cui 	 whose 	 whose 	 whose 	 whose
pronoun 	 voi 	 you 	 you 	 you 	 y'all; you
interjection 	 ciao 	 goodbye 	 hello! 	 hello! 	 goodbye; hi; cheerio; hello
conjunction 	 dopo 	  	  	 then 	 
preposition 	 dopo 	 beyond 	 beyond; behind 	  	 beyond; behind
conjunction 	 ed 	 and 	 and 	  	 and
preposition 	 via 	 via 	 via; per 	  	 per; via
interjection 	 dai 	 come on 	 come on 	 An expression of encouragement; come on! 	 come on
interjection 	 cazzo 	 bollocks 	 bollocks 	 fuck!, shit! 	 bollocks; dammit
preposition 	 senza 	 without 	 without 	  	 without
conjunction 	 senza 	  	  	 without 	 
pronoun 	 tanto 	  	  	  	 
preposition 	 tra 	 in 	 in 	  	 in; between; amid; among
pronoun 	 troppo 	  	  	 too much, too many 	 
pronoun 	 ce 	  	  	  	 
conjunction 	 tanto 	  	  	 after all 	 
interjection 	 prego 	 no problem 	 no problem 	 you're welcome, don't mention it etc 	 no problem; not at all
pronoun 	 nostro 	  	  	 See under il nostro etc 	 
interjection 	 grande 	  	  	 great! 	 
preposition 	 dentro 	 in 	 in 	  	 in; within; inside
interjection 	 forza 	 come on 	 come on 	 cheer up! 	 come on
interjection 	 basta 	 basta 	 basta 	 enough! 	 basta; enough; when
pronoun 	 nostra 	  	  	 our 	 
