gratis 	 adverb 	 free 	 gratis, free
gratis 	 adjective 	 free 	 free
aquila 	 noun 	 eagle 	 eagle
aquila 	 noun 	 eagle 	 eagle
fa 	 adverb 	 ago 	 ago
abada 	 noun 	 rhinoceros 	 t=rhinoceros
abate 	 noun 	 abbot 	 abbot
abate 	 noun 	 w:Purgatorio 	 * author=Dante Alighieri|authorlink=Dante Alighieri|title=La divina commedia: Purgatorio|trans-title=The Divine Comedy: Purgatory|format=paperback|publisher=Bompiani|year=1321|year_published=2001|page=272|section=Canto XVIII|lines=118–120|passage=«Io fui abate in San Zeno a Verona ¶ sotto lo 'mperio del buon Barbarossa, ¶ di cui dolente ancor Milan ragiona.»|translation=«I was San Zeno's abbot at Verona under the empire of good Barbarossa of whom still sorrowing Milan holds discourse.»
nu 	 noun 	 NItalian 	 The name of the letter N
lente 	 noun 	 lens 	 lens
robot 	 noun 	 bot 	 bot
y 	 noun 	 YItalian 	 See under Y
acclive 	 adjective 	 steep 	 steep
avatar 	 noun 	 English 	 avatar
te 	 pronoun 	 you 	 you
can 	 noun 	 dog 	 cane; dog
o 	 conjunction 	 or 	 or
zero 	 numeral 	 English 	 cardinal numbers zero
zero 	 adjective 	 English 	 zero
zero 	 noun 	 English 	 zero
zero 	 noun 	 nil 	 nil
parole 	 noun 	 lyrics 	 lyrics, words
parole 	 noun 	 word 	 lyrics, words
decade 	 noun 	 day 	 a decade, a period of ten days
esperanto 	 noun 	 English 	 Esperanto
sabato 	 noun 	 Saturday 	 Saturday
tago 	 noun 	 highest 	 historical The highest magistrate in ancient Thessaly
tago 	 noun 	 Thessaly 	 historical The highest magistrate in ancient Thessaly
tago 	 noun 	 magistrate 	 historical The highest magistrate in ancient Thessaly
flute 	 noun 	 flute 	 flute
peso 	 noun 	 weight 	 weight
centavo 	 noun 	 English 	 centavo
libero 	 adjective 	 enslaved 	 free not imprisoned or enslaved
libero 	 adjective 	 free 	 free not imprisoned or enslaved
libero 	 adjective 	 imprisoned 	 free not imprisoned or enslaved
libero 	 adjective 	 unobstructed 	 clear, unobstructed without blockages
libero 	 adjective 	 blockage 	 clear, unobstructed without blockages
