#	present	present	present	present	past	past	past	past			active	active	passive	passive
#	1	2	3		1	2	3							
#infinitive	singular	singular	singular	plural	singular	singular	singular	plural	participle	progressive	singular	plural	singular	plural
have   	have	have	has	have	had	had	had	had	had	having	{{noun}}<sub>💎</sub> 		🦹<sub>{{noun}}</sub> 	
be     	am	are	is	are	was	were	was	were	been	being	{{noun}}	{{noun}}	{{noun}}	{{noun}}
go     	go	go	goes	go	went	went	went	went	gone	going	🚶	←🚶🚶	←🚶	←🚶🚶
speak  	speak	speak	speaks	speak	spoke	spoke	spoke	spoke	spoken	speaking				
choose 	choose	choose	chooses	choose	chose	chose	chose	chose	chosen	choosing	🧍<sub>👚👗</sub>	🧑‍🤝‍🧑🧍<sub>👚👗</sub>		
lose   	lose	lose	loses	lose	lost	lost	lost	lost	lost	losing	🧑‍🤝‍🧑🧍💸→	🧍💸→	🗺️🧍?	🗺️?
receive	receive	receive	receives	receive	received	received	received	received	received	receiving	🧑‍🤝‍🧑🧍💸	🧍←💸	🤴←🧍	🤴←🧑‍🤝‍🧑🧍
be able	can	can	can	can	was able	was able	was able	was able	been able	being able	🏋️	🏋️🏋️	🏋️	🏋️🏋️
want	want	want	wants	want	wanted	wanted	wanted	wanted	wanted	wanting	🤑	🤑🤑	🤑🧍	🤑🧑‍🤝‍🧑🧍
advise	advise	advise	advises	advise	advised	advised	advised	advised	advised	advising	🧍💬🧍	🧑‍🤝‍🧑🧍💬🧍	🧍💬🧍	🧍💬🧑‍🤝‍🧑🧍
direct	direct	direct	directs	direct	directed	directed	directed	directed	directed	directing	←🧍🚶	←🧑‍🤝‍🧑🧍🚶	←🚶🧍	←🚶🧑‍🤝‍🧑🧍
love	love	love	loves	love	loved	loved	loved	loved	loved	loving	🥰	💑	🥰🧍	🥰🧑‍🤝‍🧑🧍
hear	hear	hear	hears	hear	heard	heard	heard	heard	heard	hearing	📯🧍	📯🧑‍🤝‍🧑	🧍📯🧍	🧑‍🤝‍🧑📯🧍
become	become	become	becomes	become	became	became	became	became	became	becoming	🧍→🦸	🧑‍🤝‍🧑🧍→🦸🦸	🧍→🦸	🧑‍🤝‍🧑🧍→🦸🦸
carry	carry	carry	carries	carry	carried	carried	carried	carried	carried	carrying	🧍<sup>🪨</sup>	🧑‍🤝‍🧑🧍<sup>🪨</sup>	🧍<sup>🧍</sup	🧍<sup>🧑‍🤝‍🧑🧍</sup
leave	leave	leave	leaves	leave	left	left	left	left	left	leaving	←🧍🏠	←🧑‍🤝‍🧑🧍🏠	←🧍🧍	←🧍🧑‍🤝‍🧑🧍
work	work	work	works	work	worked	worked	worked	worked	worked	working	👨‍💼🧑‍🔧	👨‍💼🧑‍🔧🧑‍🔧	👨‍💼🧑‍🔧	👨‍💼🧑‍🔧🧑‍🔧
do	do	do	does	do	did	did	did	did	did	doing	👨‍💼🧑‍🔧	👨‍💼🧑‍🔧🧑‍🔧	👨‍💼🧑‍🔧	👨‍💼🧑‍🔧🧑‍🔧
question	question	question	questions	question	questioned	questioned	questioned	questioned	questioned	questioning	🧍?🧍‍♂️	🧑‍🤝‍🧑🧍?🧍‍♂️	🧍‍♂️?🧍	🧍‍♂️?🧑‍🤝‍🧑🧍
stretch	stretch	stretch	stretches	stretch	stretched	stretched	stretched	stretched	stretched	stretching	🧘	🧘🧘	🧘	🧘🧘
know	know	know	knows	know	knew	knew	knew	knew	knew	knowing	🧍<sup>💡</sup>	🧑‍🤝‍🧑🧍<sup>💡</sup>		
guard	guard	guard	guards	guard	guarded	guarded	guarded	guarded	guarded	guarding	💂	💂💂	💂🧍	💂🧑‍🤝‍🧑🧍
sit	sit	sit	sits	sit	sat	sat	sat	sat	seat	sitting	🧍→<sub>🪑</sub>	🧑‍🤝‍🧑🧍→<sub>🪑🪑</sub>	🧍🧍→<sub>🪑</sub>	🧍🧑‍🤝‍🧑🧍→<sub>🪑🪑</sub>
renew	renew	renew	renews	renew	renewed	renewed	renewed	renewed	renewed	renewing				
arrive	arrive	arrive	arrives	arrive	arrived	arrived	arrived	arrived	arrived	arriving	🏠←🧍	🏠←🧑‍🤝‍🧑🧍		
say	say	say	says	say	said	said	said	said	told	saying	🧍💬	🧑‍🤝‍🧑🧍💬		
point	point	point	points	point	pointed	pointed	pointed	pointed	pointed	pointing	🧍👉	🧑‍🤝‍🧑🧍👉		
think	think	think	thinks	think	thought	thought	thought	thought	thought	thinking	🤔	🤔🤔		
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
