#voice	person	plurality	present indicative	past indicative	imperative   	subjunctive     	optative        	participle    	english-object    	object         	emoji-template           	formation-type                  	descendants                 	
active	1     	singular 	h₁ésmi            	h₁ésmₒ         	             	h₁ésoh₂         	h₁syéh₁mₒ       	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	2     	singular 	h₁ési             	h₁és           	h₁és         	h₁ésesi         	h₁syéh₁s        	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	3     	singular 	h₁ésti            	h₁ést          	h₁éstu       	h₁éseti         	h₁syéh₁t        	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	1     	dual     	h₁swós            	h₁swé          	             	h₁ésowos        	h₁sih₁wé        	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	2     	dual     	h₁stés            	h₁stóm         	h₁stóm       	h₁ésetes        	h₁sih₁tóm       	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	3     	dual     	h₁stés            	h₁stā´m        	h₁stā´m      	h₁ésetes        	h₁sih₁tā´m      	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	1     	plural   	h₁smós            	h₁smé          	             	h₁ésomos        	h₁sih₁mé        	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	2     	plural   	h₁sté             	h₁sté          	h₁sté        	h₁ésete         	h₁sih₁té        	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	3     	plural   	h₁sénti           	h₁sént         	h₁séntu      	h₁ésonti        	h₁sih₁ént       	h₁sónts       	                  	               	{{subject}}              	root-athematic                  	english 'was'spanish 'estar'	
active	1     	singular 	bʰúHmₒ            	bʰúHmₒ         	             	bʰúHoh₂         	yéh₁mₒ          	ónts          	                  	               	{{subject}}→{{subject}}  	root-athematic-perfective       	english 'be'spanish 'fuere' 	
active	2     	singular 	bʰúHs             	bʰúHs          	bʰúH         	bʰúHesi         	yéh₁s           	ónts          	                  	               	{{subject}}→{{subject}}  	root-athematic-perfective       	english 'be'spanish 'fuere' 	
