	Id	English	Part	hieroglyphics	transcription	
0	1-100	world	noun	𓎤𓃀𓃀𓈅𓏥	gbb	
1	1-210	earth|land	noun	𓇾𓈇𓏤	tꜣ	
2	1-212	ground|soil	noun	𓊃𓅭𓄿𓏏𓅱𓈇𓏥	sꜣtw	
3	1-213	dust	noun	𓆷𓄿𓄑𓏛𓈎𓄿𓏭𓂋	šḥq	
4	1-214	mud	noun	𓃛𓏏𓈖𓈅𓏤	jwtn	
5	1-215	sand	noun	𓈙𓏭𓂝𓈒𓏥	šꜥy	
6	1-220	mountain|hill	noun	𓋭𓋭𓋭𓏏𓈉	ṯst	
7	1-222	cliff|precipice	noun			
8	1-230	plain|field	noun	𓊃𓅭𓄿𓏏𓅱𓈇𓏥	sꜣtw	
9	1-240	valley	noun	𓇋𓆛𓈖𓏏𓈉	jnt	
10	1-250	island	noun	𓎟𓏏	nbt	
11	1-260	mainland	noun			
12	1-270	shore	noun	𓈖𓊪𓂋𓈙	npr	
13	1-280	cave	noun	𓃭𓏤𓂋𓏤𓁐	rryt	
14	1-310	water	noun	𓎛𓃀𓃀𓏏𓈗	ḥbbt	
15	1-320	sea	noun	𓇋𓇋𓏲𓅓𓂝𓈖𓈘𓈇	ym	
16	1-322	calm (of sea)	adjective			
17	1-323	rough (of sea)	adjective			
18	1-324	foam	noun	𓋴𓏏𓆑𓂐𓏥	stf	
19	1-329	ocean	noun	𓍲𓈖𓅨𓂋𓈖𓈘	šn wr	
20	1-330	lake	noun	𓐍𓂋𓅓𓂝𓏲𓆊𓈖𓈘𓈇	ḫrm	
21	1-340	gulf|bay	noun			
22	1-341	lagoon	noun			
23	1-342	reef	noun			
24	1-343	headland|point	noun			
25	1-350	wave	noun	𓈖𓍇𓏌𓏲𓏏𓈗	nwyt	
26	1-352	tide	noun			
27	1-353	lowtide	noun			
28	1-354	hightide	noun			
29	1-360	river|stream|brook	noun	𓈖𓉔𓄿𓏭𓂋𓏤𓈘𓈇𓈖𓈘𓈇	nhr	
30	1-362	whirlpool	noun			
31	1-370	spring|well	noun	𓎸𓅓𓏏𓈖𓈘𓈇	ẖnmt	
32	1-380	swamp	noun	𓃀𓏲𓍯𓄿𓇋𓇋𓏏𓈇𓏤𓏫	bwꜣt	
33	1-390	waterfall	noun			
34	1-410	woods|forest	noun	𓆄𓆭𓏫	šwy	
35	1-420	tree	noun	𓍲𓈖𓆭	šn	
36	1-430	wood	noun	𓂧𓈙𓃭𓏤𓆭𓏫	dšr	
37	1-440	stone|rock	noun	𓇋𓈖𓂋𓊌	jnr	
38	1-450	earthquake	noun	𓏠𓈖𓏠𓈖𓂻	mnmn	
39	1-510	sky	noun	𓁷𓂋𓏏𓇯	ḥrt	
40	1-520	sun	noun	𓆄𓏲𓇳𓀭	šw	
41	1-530	moon	noun	𓇋𓂝𓎛C114A	jꜥḥ	
42	1-540	star	noun	𓋴𓃀𓄿𓇼𓇳	sbꜣ	
