	Id	English	Part	Emoji
0	1-100	world	noun	🌎
1	1-210	earth|land	noun	🌍
2	1-212	ground|soil	noun	⛳↙
3	1-213	dust	noun	💨
4	1-214	mud	noun	"<span style=""filter: brightness(70%) sepia(100%) saturate(100%)"">🪨</span>"
5	1-215	sand	noun	⛱️
6	1-220	mountain|hill	noun	⛰️
7	1-222	cliff|precipice	noun	🧗
8	1-230	plain|field	noun	⛳
9	1-240	valley	noun	🏞️
10	1-250	island	noun	🏝️
11	1-260	mainland	noun	🗾
12	1-270	shore	noun	⛱️
13	1-280	cave	noun	🕳️
14	1-310	water	noun	💧
15	1-320	sea	noun	⛵
16	1-322	calm (of sea)	adjective	😌
17	1-323	rough (of sea)	adjective	🪨
18	1-324	foam	noun	🫧
19	1-329	ocean	noun	🚢
20	1-330	lake	noun	🚣‍♂️
21	1-340	gulf|bay	noun	
22	1-341	lagoon	noun	
23	1-342	reef	noun	🪸
24	1-343	headland|point	noun	
25	1-350	wave	noun	🌊
26	1-352	tide	noun	
27	1-353	lowtide	noun	
28	1-354	hightide	noun	
29	1-360	river|stream|brook	noun	🏞️
30	1-362	whirlpool	noun	
31	1-370	spring|well	noun	
32	1-380	swamp	noun	
33	1-390	waterfall	noun	
34	1-410	woods|forest	noun	🌳🌳🌳
35	1-420	tree	noun	🌳
36	1-430	wood	noun	🪵
37	1-440	stone|rock	noun	🪨
38	1-450	earthquake	noun	🫨
39	1-510	sky	noun	🌌
40	1-520	sun	noun	☀️
41	1-530	moon	noun	🌙
42	1-540	star	noun	⭐
43	1-550	lightning flash|lightning	noun	⚡
44	1-560	thunder	noun	⚡
45	1-570	lightning bolt|lightning	noun	🌩️⸩👂
46	1-580	storm	noun	⛈️
47	1-590	rainbow	noun	🌈
48	1-610	light	noun	💡
49	1-620	darkness	noun	🌃
50	1-630	shade|shadow	noun	"<span style=""filter: drop-shadow(16px 16px 1px black)"">🕊️</span>"
51	1-640	dew	noun	
52	1-710	air	noun	💨
53	1-720	wind	noun	💨
54	1-730	cloud	noun	☁️
55	1-740	fog	noun	🌫️
56	1-750	rain	noun	🌧️
57	1-760	snow	noun	🌨️
58	1-770	ice	noun	🧊
59	1-780	weather	noun	⛅
60	1-810	fire	noun	🔥
61	1-820	flame	noun	🕯️
62	1-830	smoke	noun	🚬
63	1-840	ashes	noun	⚱️
64	1-841	embers	noun	
65	1-851	burn	verb, transitive	🔥
66	1-852	burn	verb, intransitive	🔥
67	1-860	light|kindle|ignite	verb	🔥
68	1-861	extinguish	verb	
69	1-870	match	noun	
70	1-880	firewood	noun	
71	1-890	charcoal	noun	"<span style=""filter: grayscale(100%) brightness(20%)"">🪨</span>"
72	10-110	move	verb	
73	10-120	turn over	verb	
74	10-130	turn around	verb	
75	10-140	wind|wrap	verb	🪢
76	10-150	roll	verb	
77	10-160	drop	verb	
78	10-170	twist	verb	
79	10-210	rise	verb	
80	10-220	raise|lift	verb	
81	10-230	fall	verb	
82	10-240	drip	verb	
83	10-250	throw	verb	🤾
84	10-252	catch (ball)	verb	
85	10-260	shake	verb	🫨
86	10-320	flow	verb	
87	10-330	sink	verb	
88	10-340	float	verb	🎈
89	10-350	swim	verb	🏊
90	10-351	dive	verb	
91	10-352	splash	verb	🫟
92	10-360	sail	verb	⛵
93	10-370	fly	verb	🦅
94	10-380	blow	verb	
95	10-410	creep|crawl	verb	🐛
96	10-412	kneel	verb	🧎
97	10-413	crouch	verb	
98	10-420	slide|slip	verb	🛝
99	10-430	jump|leap	verb	🐇
100	10-431	kick	verb	
101	10-440	dance	verb	🕺
102	10-450	walk	verb	🚶
103	10-451	limp	verb	
104	10-460	run	verb	🏃
105	10-470	go	verb	
106	10-471	go up	verb	
107	10-472	climb	verb	🧗
108	10-473	go down	verb	
109	10-474	go out	verb	
110	10-480	come	verb	
111	10-481	come back	verb	
112	10-490	go away|depart	verb	
113	10-491	disappear	verb	🫥
114	10-510	flee	verb	←🏃🏃
115	10-520	follow	verb	🚶←🚶
116	10-530	pursue	verb	🏃←🏃
117	10-550	reach|arrive	verb	🏠←🚶
118	10-560	approach	verb	
119	10-570	enter	verb	
120	10-610	carry	verb	
121	10-612	carry-in-hand	verb	
122	10-613	carry-on-shoulder	verb	
123	10-614	carry-on-head	verb	
124	10-615	carry-underarm	verb	
125	10-620	bring	verb	
126	10-630	send	verb	📤
127	10-640	lead	verb	
128	10-650	drive	verb	🚗
129	10-660	ride	verb	🏇
130	10-670	push|shove	verb	🫸→
131	10-710	road	noun	🛣️
132	10-720	path	noun	👣
133	10-740	bridge	noun	🌉
134	10-750	carriage|wagon|cart	noun	
135	10-760	wheel	noun	🛞
136	10-770	axle	noun	
137	10-780	yoke	noun	🐂
138	10-810	ship	noun	⛵
139	10-830	boat	noun	🚢
140	10-831	canoe	noun	🛶
141	10-832	outrigger	noun	
142	10-840	raft	noun	
143	10-850	oar	noun	🚣‍♂️←
144	10-851	paddle	noun	🚣‍♂️←
145	10-852	row	noun	🚣‍♂️
146	10-860	rudder	noun	
147	10-870	mast	noun	⛵←
148	10-880	sail	noun	⛵←
149	10-890	anchor	noun	⚓
150	10-910	harbor|port	noun	
151	10-920	land	verb	🗾
152	11-110	have	verb	
153	11-120	own|possess	verb	
154	11-130	take	verb	
155	11-140	seize|grasp	verb	
156	11-150	hold	verb	
157	11-160	get|obtain	verb	
158	11-170	keep|retain	verb	
159	11-180	thing	noun	🔩
160	11-210	give	verb	🎁
161	11-220	give back	verb	
162	11-240	preserve|look after	verb	
163	11-250	save|rescue	verb	🛟
164	11-270	destroy	verb	
165	11-280	harm|injure|damage	verb	🤕😠
166	11-310	seek|look for	verb	🔎
167	11-320	find	verb	
168	11-330	lose	verb	
169	11-340	release|let go	verb	
170	11-430	money	noun	💰
171	11-440	coin	noun	🪙
172	11-510	rich	noun	🧐
173	11-520	poor	noun	🥺
174	11-530	beggar	noun	
175	11-540	avaricious|stingy	adjective	🤑
176	11-610	lend	verb	
177	11-620	borrow	verb	
178	11-630	owe	verb	
179	11-640	debt	noun	
180	11-650	pay	verb	💸
181	11-660	account|reckoning	noun	
182	11-690	tax|tribute	noun	💸→🏛️
183	11-770	hire	verb	
184	11-780	wages	noun	💸
185	11-790	earn	verb	👨‍🦱←💸
186	11-810	buy	verb	👨‍🦱💸→
187	11-820	sell	verb	💸→🧑‍💼
188	11-830	trade|barter	verb	
189	11-840	merchant	noun	
190	11-850	market (place)	noun	🏪
191	11-860	store|shop	noun	🏬
192	11-870	price	noun	
193	11-880	dear (costly, expensive)	adjective	
194	11-890	cheap	noun	
195	11-910	share (distribute)	verb	
196	11-920	weigh	verb	
197	12-10	after	adposition	
198	12-11	behind	adposition	
199	12-110	place	verb	
200	12-120	put	verb	
201	12-130	sit	verb	🪑←🧍
202	12-140	lie down	verb	🛏️←🧍
203	12-150	stand	verb	
204	12-160	remain|stay	verb	
205	12-170	remains|left overs	noun	
206	12-20	beside	adposition	
207	12-210	collect|gather	verb	
208	12-212	pick up	verb	
209	12-213	pile up	verb	
210	12-220	join|unite	verb	
211	12-230	separate	verb	
212	12-232	divide	verb	
213	12-240	open	verb	
214	12-250	shut|close	verb	
215	12-260	cover	verb	
216	12-270	hide|conceal	verb	
217	12-30	down|below	adposition	
218	12-310	high	adjective	
219	12-320	low	adjective	
220	12-330	top	adjective	
221	12-340	bottom	adjective	
222	12-350	end	noun	
223	12-352	pointed	noun	
224	12-353	edge	noun	
225	12-360	side	noun	
226	12-370	middle|center	noun	
227	12-40	before (a thing)	adposition	
228	12-41	front	noun	
229	12-410	right (side)	adjective	→
230	12-420	left (side)	adjective	←
231	12-430	near	adjective	
232	12-440	far	adjective	
233	12-450	east	adjective	🧭→
234	12-460	west	adjective	🧭←
235	12-470	north	adjective	🧭↑
236	12-480	south	adjective	🧭↓
237	12-50	inside|in	adposition	🛋️
238	12-530	grow	verb	
239	12-540	measure	verb	📏
240	12-541	span|fathom	noun	
241	12-550	large|big	adjective	🐘
242	12-560	small|little	adjective	🐁
243	12-570	long (spatially)	adjective	🐍
244	12-580	tall (spatially)	adjective	🦒
245	12-590	short (spatially)	adjective	"<span style=""font-size:60%"">🦔</span>"
246	12-60	outside	adjective	🏞️
247	12-610	wide|broad	adjective	🦛
248	12-620	narrow	adjective	🪱
249	12-630	thick	adjective	🐖
250	12-650	thin	adjective	🐛
251	12-670	deep	adjective	
252	12-680	shallow	adjective	
253	12-70	under	adposition	
254	12-710	flat	adjective	
255	12-730	straight	adjective	
256	12-740	crooked	adjective	
257	12-750	hook	noun	🪝
258	12-760	corner	verb	
259	12-770	cross	noun	†
260	12-780	square	noun	■
261	12-80	up above	adposition	
262	12-810	round	adjective	
263	12-820	circle	noun	⬤
264	12-830	sphere|ball	noun	
265	12-840	line	noun	
266	12-850	hole	noun	🕳️
267	12-920	like|similar	adposition	
268	12-930	change	verb	
269	13-0	zero|nothing	numeral	0
270	13-10	one	numeral	1
271	13-100	ten	numeral	10
272	13-101	eleven	numeral	11
273	13-102	twelve	numeral	12
274	13-103	fifteen	numeral	15
275	13-104	twenty	numeral	20
276	13-105	hundred	numeral	100
277	13-106	thousand	numeral	1000
278	13-107	count	noun	
279	13-140	every|all	adjective	
280	13-150	much|many	adjective	
281	13-160	more	adjective	
282	13-170	little|few	adjective	
283	13-180	enough	adjective	
284	13-181	some	adjective	
285	13-190	multitude|crowd	noun	🧑‍🤝‍🧑🧑‍🤝‍🧑
286	13-20	two	numeral	2
287	13-210	full	adjective	
288	13-220	empty	adjective	
289	13-230	part|piece	noun	
290	13-240	half	adjective	½
291	13-30	three	numeral	3
292	13-330	alone|only	adjective	
293	13-340	first	ordinal	1ˢᵗ
294	13-350	last	adjective	
295	13-360	second	ordinal	2ⁿᵈ
296	13-370	pair	noun	
297	13-380	twice	adverbial	x2
298	13-40	four	numeral	4ᵗʰ
299	13-420	third	ordinal	3ʳᵈ
300	13-440	thrice	adverbial	
301	13-50	five	numeral	5
302	13-60	six	numeral	6
303	13-70	seven	numeral	7
304	13-80	eight	numeral	8
305	13-90	nine	numeral	9
306	14-110	time	noun	
307	14-120	age	noun	
308	14-130	new	adjective	
309	14-140	young	adjective	🧒
310	14-150	old	adjective	🧓
311	14-160	early	adjective	
312	14-170	late	adjective	
313	14-180	now	adverb	
314	14-190	immediately	adverb	
315	14-210	swift|fast|quick	adjective	🐆
316	14-220	slow	adjective	🦥
317	14-230	hasten|hurry	verb	
318	14-240	retard|delay	verb	
319	14-250	begin|beginning	verb	
320	14-252	last|endure	verb	🗿
321	14-260	end (temporal)	noun	
322	14-270	finish	verb	🏁
323	14-280	cease|stop	verb	🛑
324	14-290	ready	adjective	
325	14-310	always	adverb	
326	14-320	often	adverb	
327	14-330	sometimes	adverb	
328	14-331	soon	adverb	
329	14-332	long-time	adverb	
330	14-340	never	adverb	
331	14-350	again	adverb	
332	14-410	day	noun	🌅🏙️🌇🌃
333	14-420	night	noun	🌃
334	14-430	dawn	noun	🌆
335	14-440	morning	noun	🌅
336	14-450	noon|midday	noun	🏙️
337	14-451	afternoon	noun	🏙️
338	14-460	evening	noun	🌇
339	14-470	today	noun	
340	14-480	tomorrow	noun	
341	14-481	day-after-tomorrow	noun	
342	14-490	yesterday	noun	
343	14-491	day-before-yesterday	noun	
344	14-510	hour	noun	🕰️
345	14-530	clock|timepiece	noun	
346	14-610	week	noun	📅
347	14-620	Sunday	noun	Sun
348	14-630	Monday	noun	Mon
349	14-640	Tuesday	noun	Tue
350	14-650	Wednesday	noun	Wed
351	14-660	Thursday	noun	Thu
352	14-670	Friday	noun	Fri
353	14-680	Saturday	noun	Sat
354	14-710	month	noun	
355	14-730	year	noun	🌱🌿🍂☃️
356	14-740	winter	noun	☃️
357	14-750	spring	noun	🌱
358	14-760	summer	noun	🌿
359	14-770	autumn	noun	🍂
360	14-780	season	noun	🌱🌿🍂☃️
361	15-210	smell	verb	👃
362	15-212	sniff	verb	👃
363	15-220	smell	verb	👃
364	15-250	fragrant|good smelling	adjective	🌹
365	15-260	stinking|bad smelling	adjective	💩
366	15-310	taste	verb	👅
367	15-350	sweet	adjective	🍬
368	15-360	salty	adjective	🍿
369	15-370	bitter	adjective	🍵
370	15-380	acid|sour	adjective	🍋
371	15-390	brackish	adjective	
372	15-410	hear	verb	👂
373	15-420	listen	verb	👂
374	15-440	sound|noise	noun	🔊
375	15-450	loud	adjective	🔊
376	15-460	quiet|silence	noun	🔉
377	15-510	see	verb	👀
378	15-520	look|look at	verb	👀
379	15-550	show	verb	
380	15-560	shine	verb	
381	15-570	bright	adjective	
382	15-610	color	noun	🌈
383	15-620	light (in color)	adjective	🏙️
384	15-630	dark (in color)	adjective	🌃
385	15-640	white	adjective	"<span style=""color:white"">■</span>"
386	15-650	black	adjective	"<span style=""color:black"">■</span>"
387	15-660	red	adjective	"<span style=""color:red"">■</span>"
388	15-670	blue	adjective	"<span style=""color:blue"">■</span>"
389	15-680	green	adjective	"<span style=""color:green"">■</span>"
390	15-690	yellow	adjective	"<span style=""color:yellow"">■</span>"
391	15-710	touch	verb	
392	15-712	pinch	verb	
393	15-720	feel	verb	
394	15-740	hard	adjective	
395	15-750	soft	adjective	
396	15-760	rough	adjective	
397	15-770	smooth	adjective	
398	15-780	sharp	adjective	
399	15-790	blunt|dull	adjective	
400	15-810	heavy	adjective	
401	15-820	light (in weight)	adjective	
402	15-830	wet|damp	adjective	🧽
403	15-840	dry	adjective	🏜️
404	15-850	hot	adjective	🥵
405	15-851	warm	adjective	
406	15-860	cold	adjective	🥶
407	15-870	clean	adjective	🧼
408	15-880	dirty|soiled	adjective	💩
409	15-890	wrinkled	adjective	
410	16-110	soul|spirit	noun	👻
411	16-150	surprised|astonished	adjective	😳
412	16-180	good fortune|luck	noun	🍀
413	16-190	misfortune|bad luck	noun	🐈‍⬛
414	16-230	joyful|glad|happy	adjective	😂
415	16-250	laugh	verb	😆
416	16-251	smile	verb	🙂
417	16-260	play	verb	🤾‍♂️
418	16-270	love	verb	🥰
419	16-290	kiss	verb	😗
420	16-300	embrace	verb	🤗
421	16-310	pain	noun	😬
422	16-320	grief|sorrow|sadness	noun	😢
423	16-330	anxiety|worry	noun	😨
424	16-340	regret|be sorry	verb	
425	16-350	pity	noun	
426	16-370	cry|weep	verb	😭
427	16-380	tear	noun	😢
428	16-390	groan	verb	😮‍💨
429	16-410	hate	verb	😡
430	16-420	anger	noun	😠
431	16-440	envy|jealousy	noun	😒
432	16-450	shame	noun	
433	16-480	proud	adjective	🥲
434	16-510	dare	verb	
435	16-520	brave	adjective	🦸
436	16-530	fear|fright	noun	😨
437	16-540	danger	noun	⚠️
438	16-620	desire|want	verb	🤑
439	16-622	choose	verb	🤞
440	16-630	hope	noun	
441	16-650	faithful	adjective	🙏
442	16-660	TRUE	adjective	T
443	16-670	lie|tell lies	verb	🤥
444	16-680	deceit	noun	🥸
445	16-690	forgive	verb	
446	16-710	good	adjective	😇
447	16-720	bad	adjective	👿
448	16-730	right|correct	adjective	✔️
449	16-740	wrong	adjective	❌
450	16-760	fault	noun	
451	16-770	mistake|error	noun	
452	16-780	blame	noun	
453	16-790	praise	verb	
454	16-810	beautiful	adjective	💃
455	16-820	ugly	adjective	🧌
456	16-830	greedy	adjective	🤑
457	16-840	clever	adjective	🤓
458	17-110	mind	noun	🧠
459	17-130	think (reflect)	verb	🤔
460	17-140	think (be of the opinion)	verb	🤔
461	17-150	believe	verb	
462	17-160	understand	verb	
463	17-170	know	verb	
464	17-171	guess	verb	
465	17-172	imitate	verb	🥸
466	17-180	seem	verb	
467	17-190	idea|notion	noun	
468	17-210	wise	adjective	🧙‍♂️
469	17-220	foolish|stupid	adjective	🤪
470	17-230	insane|crazy	adjective	🤪
471	17-240	learn	verb	🧑‍🎓
472	17-242	study	verb	🧑‍🔬
473	17-250	teach	verb	🧑‍🏫
474	17-260	pupil	noun	🧑‍🎓
475	17-270	teacher	noun	🧑‍🏫
476	17-280	school	noun	🏫
477	17-310	remember	verb	
478	17-320	forget	verb	
479	17-340	clear|plain	adjective	
480	17-350	obscure	adjective	
481	17-360	secret	adjective	🔒
482	17-370	sure|certain	adjective	
483	17-380	explain	verb	
484	17-410	intention|purpose	noun	
485	17-420	cause	verb	
486	17-430	doubt	verb	
487	17-440	suspect	verb	🥸🤔
488	17-441	betray	verb	🦹🏻
489	17-450	need|necessity	noun	
490	17-460	easy	adjective	
491	17-470	difficult	adjective	
492	17-480	try|attempt	verb	
493	17-490	way|manner	noun	
494	17-510	and	conjunction	∧
495	17-520	because	conjunction	
496	17-530	if	conjunction	
497	17-540	or	conjunction	∨
498	17-550	yes|affirmative	particle	👍
499	17-560	no|negative	particle	👎
500	17-610	how	adverb	📝?
501	17-620	how many	adjective	🤌?
502	17-630	how much	adjective	🤌?
503	17-640	what	noun	?
504	17-650	when	adverb	🕐?
505	17-660	where	adverb	🗺️?
