chapter_id	entry_id	meaning	Nahuatl (Sierra de Zacapoaxtla variety)_Phonemic	comment
1	100	world	tal-tikpa-k; tal-mani-k	
1	210	earth, land	tal	*Aztecan *tlaal-.
1	212	earth=ground, soil	tal-pan	
1	213	dust	tal-neš; taal-neeš-yo	Latter is 'dusty, powder'. Cf. 'ashes' 01.840.; Latter is 'dusty, powder'. Cf. 'ashes' 01.840.
1	214	mud	soki-t; soki-yo	'It is muddy' ta-soki-yo-wa.; 'It is muddy' ta-soki-yo-wa.
1	215	sand	šal	
1	220	mountain, hill	tepe-t	
1	222	cliff, precipice	tepe-hši-t	Also tal-tepe-hši-t; tepe-hši-yoh.
1	230	plain, field	tal; tal-pan; ištawa-t	
1	240	valley	a-tekomol; atawit	First example is a valley with water.; First example is a valley with water.
1	270	shore	a-ten-tenoh; ašošowil	'Bank (of river)' is a-ten-ti. Cf. 'mouth' 04.240; 'edge' 12.353.; 'Bank (of river)' is a-ten-ti. Cf. 'mouth' 04.240; 'edge' 12.353.
1	280	cave	tepe-koyo-k	Lit. 'mountain-hole' 01.220, 12.850. *Aztecan *ostoo-.
1	310	water	a-t	'Liquid' is iayo. 'Sprinkle' is tahwačoia; toyawi; tepewi; kišinia; kimoyawa; kiahwačoia; čačapa-ni; ki-mimi-lo-a. 'Watery' is aa-ti-k; (honorific) is aa-c̷iin. *Aztecan *aa-.
1	320	sea	weyi a-t	Lit. 'large water'.
1	324	foam	poso-k; po-poso-ka	'Bubbles' poposoka. *Aztecan *posoonal.; 'Bubbles' poposoka. *Aztecan *posoonal.
1	330	lake	kampa tektok a-t	
1	360	river, stream, brook	weyi-a-t; apic̷ak; a-pic̷ak-ti	Latter is 'stream'.; Latter is 'stream'.; Latter is 'stream'.
1	370	spring, well	amel; pila; akomol; ameyal	
1	380	swamp	ačawtah; ačawit	
1	390	waterfall	panc̷ikʷi-ni in a-t	
1	410	woods, forest	kʷow-yoh; kʷow-tah	
1	420	tree (cf 08.600)	kʷowi-t; kʷawi-t	*Aztecan *kʷawɨ-.; *Aztecan *kʷawɨ-.
1	430	wood	kʷowi-t; kʷow	*Aztecan *kʷawɨ-.; *Aztecan *kʷawɨ-.
1	440	stone, rock	te-t	'Throw rock at' -te-ta-moota. 'Rocky cliff' is te-šahkal. *Aztecan *tə-.
1	450	earthquake	tal-olini; tal-olini-lo-t	
1	510	sky	elwiyak	
1	520	sun	tona-l	Also means 'day' 14.410. 'A la puesta del sol' kampika kalaki in tonal. 'Eclipse' is kʷaloa ya in tonal-c̷in. *Aztecan *toonal-.
1	530	moon	mec̷-ti	*Aztecan *meec̷-.
1	540	star	sitalin	
1	550	lightning	meyo-t	
1	560	thunder	topo-ni; totopoka	Also tatac̷i-ni; tatikʷi-ni.; Also tatac̷i-ni; tatikʷi-ni.
1	570	lightning (as striking)	tapetani-lo-t	
1	580	storm	weyi kiowi-t	Lit. 'large rain'. Also kiowa malaka-eheka-t (wind 01.720); tec̷aw-kiowi-t.
1	590	rainbow	kosamalo-t	
1	610	light (noun)	ta-wi-a; ki-ta-neš-ti-a	'Cause to be lighted' -taa-wi; 'to light a way' -ta-neeš-tii; 'light for' -taa-wi-li; 'it lighted for him' ki-taa-wi-li-h.; 'Cause to be lighted' -taa-wi; 'to light a way' -ta-neeš-tii; 'light for' -taa-wi-li; 'it lighted for him' ki-taa-wi-li-h.
1	620	darkness	ta-yowa-yan; ta-yowa-ya-ni-lo-t	yowa also means 'night' 14.420; 'round' 12.810.; yowa also means 'night' 14.420; 'round' 12.810.
1	630	shade, shadow	ekawil; i-yekawil; ekawil-ti	
1	640	dew	ahwačti	
1	710	air	eheka-t	
1	720	wind	eheka-t	
1	730	cloud	miš-ti	
1	740	fog	miš-ti; ta-miš-tentok	
1	750	rain (noun)	kiowa-t; kiowi-t	'Diluvio' is weyi kiowa-t.; 'Diluvio' is weyi kiowa-t.
1	760	snow (noun)	ta-sek wec̷i; sek-ti	Also kʷow-sek; kʷow-sek-ti, 'ice in the tree'.; Also kʷow-sek; kʷow-sek-ti, 'ice in the tree'.
1	770	ice	sek-ti; a-sek	
1	810	fire	ti-t	'Place of fire' ti-ko. *Aztecan *tlai(h)-.
1	820	flame (noun)	mimi-li-ni	
1	830	smoke (noun)	pok-ti	
1	840	ashes	kʷow-neš	Cf. 'dust' 01.213.
1	841	embers	teko-l	Also ti-kʷowi-t; čawis-ti.
1	851	burn (vb trans)	-tata; ki-tati-a	'Burned' is ta-tah-tati-lis; ta-tati-lis. *Aztecan *tlatia, *tlatla.; 'Burned' is ta-tah-tati-lis; ta-tati-lis. *Aztecan *tlatia, *tlatla.
1	852	burn (vb intrans)	tata; tone-wi	Cf. 'sun' 01.520. *Aztecan *tlatla.; Cf. 'sun' 01.520. *Aztecan *tlatla.
