chapter_id	entry_id	meaning	Proto Austronesian_Phonemic	comment
1	213	dust	*bu; *buk; *puk	PAN; Second form is homonyn (1); third form is homonyn (2). See also 'ashes, powder, flour' PHN Proto Hesperonesian; PAN; Second form is homonyn (1); third form is homonyn (2). See also 'ashes, powder, flour' PHN Proto Hesperonesian; PAN; Second form is homonyn (1); third form is homonyn (2). See also 'ashes, powder, flour' PHN Proto Hesperonesian
1	214	mud	*cak; *tak; *taq; *tek	PAN; *PEO *lepa'swamp, ground, earth'; *lope'fruit-watery'; *pela'swamp'; *(bp)wela'swamp, taro patch, soil'.; PAN; *PEO *lepa'swamp, ground, earth'; *lope'fruit-watery'; *pela'swamp'; *(bp)wela'swamp, taro patch, soil'.; PAN; *PEO *lepa'swamp, ground, earth'; *lope'fruit-watery'; *pela'swamp'; *(bp)wela'swamp, taro patch, soil'.; PAN; *PEO *lepa'swamp, ground, earth'; *lope'fruit-watery'; *pela'swamp'; *(bp)wela'swamp, taro patch, soil'.
1	560	thunder	*guŋ; *gur	PAN; PAN
1	610	light (noun)	*law; NaR	PAN; *PEO *raŋi; *marama.; PAN; *PEO *raŋi; *marama.
1	620	darkness	*Dem; *lem	PAN; Homonyn (1); PAN; Homonyn (1)
1	630	shade, shadow	*luŋ	PAN; Homonyn (2). *PEO *malu
2	456	sibling	aji	PAN; *PEO *tazi-; *tu(a)ka 'elder s'.
3	160	pasture	*teb	PAN; Means 'prune, graze'.
3	594	dove	*kur	PAN
4	230	nose	*ŋus.	PAN; *PEO *bwaRu(sz)u; *(iu)zu-; *(i, u)su; *pwaŋo-'bambook node, protuberance'.
4	521	hiccough	*dek	PAN; Homonyn (1)
4	530	cough	*kuk.	PAN; Homonyn (2). *PEO *(q)oŋo.
4	580	bite	*gut	PAN; Homonym (1).
4	610	sleep	*nek	PAN; *PEO *moze; *matudu(R); *maturu; *maputa.
4	612	snore	*ŋuk	PAN; *PEO *(n)raŋu
4	620	dream	*pi.	PAN
4	640	break wind	*pes; *pus; *tut	PAN; Second form (2) 'sound of escaping air'. *PEO *zii; *zi(k)i.; PAN; Second form (2) 'sound of escaping air'. *PEO *zii; *zi(k)i.; PAN; Second form (2) 'sound of escaping air'. *PEO *zii; *zi(k)i.
4	680	shiver	*ter; *tir	PAN; PAN
4	690	bathe	*ɲaw	PAN; *PEO *zuŋku
4	858	scar	*lat	PAN; Homonyn (2)
4	950	deaf	*ŋel	PAN
4	970	blind	*cek	PAN
5	160	suck	*sep	PAN; *PEO *misi'through teeth'.
5	181	swallow	*len	PAN; *PEO *tolo
5	370	spoon	*Duk	PAN; *PEO *qasu'scoop'.
5	480	scrape	*rud	PAN; *PEO *karu'scratch'; *(ŋ)ka(l, r)u.
5	560	crush, grind	*bek; *buk; *dek; *mek; *muk; *pek	PAN; Homonym (2); second form is (2); third form is (2). *PEO *pila'smash, weigh down, soft, flexible'; aza-∅; *(q)aza-∅; PAN; Homonym (2); second form is (2); third form is (2). *PEO *pila'smash, weigh down, soft, flexible'; aza-∅; *(q)aza-∅; PAN; Homonym (2); second form is (2); third form is (2). *PEO *pila'smash, weigh down, soft, flexible'; aza-∅; *(q)aza-∅; PAN; Homonym (2); second form is (2); third form is (2). *PEO *pila'smash, weigh down, soft, flexible'; aza-∅; *(q)aza-∅; PAN; Homonym (2); second form is (2); third form is (2). *PEO *pila'smash, weigh down, soft, flexible'; aza-∅; *(q)aza-∅; PAN; Homonym (2); second form is (2); third form is (2). *PEO *pila'smash, weigh down, soft, flexible'; aza-∅; *(q)aza-∅
5	712	bunch	*puŋ	PAN
5	900	beverage, drink	*buR	PAN; Homonyn (3). *PEO *inu
6	790	tattoo	*Cik	PAN
6	921	braid	*pid	PAN
7	220	door, gate	*Neb	PAN
8	310	sow	*buR	PAN; Homonym (1)
8	760	sap	*teq	PAN
9	140	bend	*kel; *kug; *kul; *kuŋ; *ku; *kut; *luk; *luŋ; *tuk	PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.; PAN; Fourth form homonyn (1); eighth form is (1); ninth form is (1). See also 'crooked'. *PEO *pelu-k(or *pwelu?)'snap off, folds, flexible'; *pwelu.
9	150	fold	*kum; *pi	PAN; PAN
9	161	untie	*kas	PAN; Homonyn (2). *PEO *rusa
9	210	strike (hit, beat)	*bak; *bek; *bit; *pag; *teg	PAN; Second form is homonym (1); third form is (2) *PEO *pato-k'punch, jab w fist/spear, hammer'; *(pv)us(iu); *ja(R)u.; PAN; Second form is homonym (1); third form is (2) *PEO *pato-k'punch, jab w fist/spear, hammer'; *(pv)us(iu); *ja(R)u.; PAN; Second form is homonym (1); third form is (2) *PEO *pato-k'punch, jab w fist/spear, hammer'; *(pv)us(iu); *ja(R)u.; PAN; Second form is homonym (1); third form is (2) *PEO *pato-k'punch, jab w fist/spear, hammer'; *(pv)us(iu); *ja(R)u.; PAN; Second form is homonym (1); third form is (2) *PEO *pato-k'punch, jab w fist/spear, hammer'; *(pv)us(iu); *ja(R)u.
9	211	pound with fist	*pak; *Tuk	PAN; Homonyn (1); means 'slap, clap'. *pik'slap'. *PEO *sapa'slap'.; PAN; Homonyn (1); means 'slap, clap'. *pik'slap'. *PEO *sapa'slap'.
