	Id	English	Part	Quenya	
0	1-100	world	noun	Ambar	
1	1-210	earth|land	noun	cemen	
2	1-212	ground|soil	noun	cemen	
3	1-213	dust	noun	ᴹasto, ᴹmulo	
4	1-214	mud	noun	*ᴱloxo	
5	1-215	sand	noun	ᴹlitsë	
6	1-220	mountain|hill	noun	oro	
7	1-222	cliff|precipice	noun	*ᴱaico	
8	1-230	plain|field	noun	palar	
9	1-240	valley	noun	nando	
10	1-250	island	noun	lónë	
11	1-260	mainland	noun		
12	1-270	shore	noun	falassë	
13	1-280	cave	noun	*ᴹrotto	
14	1-310	water	noun	nén	
15	1-320	sea	noun	ëar, ᴬairë	
16	1-322	calm	adjective	ᴱquië	
17	1-323	rough	adjective	ᴺhorna	#Luinyelle
18	1-324	foam	noun	vingë	
19	1-329	ocean	noun	váya	
20	1-330	lake	noun	nendë	
21	1-340	gulf|bay	noun	ᴹhópa	
22	1-341	lagoon	noun		
23	1-342	reef	noun		
24	1-343	headland|point	noun		
25	1-350	wave	noun	falma	
26	1-352	tide	noun	*ᴱsóla	
27	1-353	lowtide	noun	nanwë	
28	1-354	hightide	noun	luimë	
29	1-360	river|stream|brook	noun	sír(ë)	
30	1-362	whirlpool	noun	hwindë	
31	1-370	spring|well	noun	ehtelë	
32	1-380	swamp	noun	*ᴱloxor	#Damien Bador
33	1-390	waterfall	noun	ᴺlantasírë	#Boris Shapiro
34	1-410	woods|forest	noun	taurë	
35	1-420	tree	noun	alda	
36	1-430	wood	noun	töa	
37	1-440	stone|rock	noun	ondo	
38	1-450	earthquake	noun	ᴺᴬcemenquasië	
39	1-510	sky	noun	vilya	
40	1-520	sun	noun	Anar	
41	1-530	moon	noun	Rána, ᴬIsil	
42	1-540	star	noun	elen, ᴬél	
43	1-550	lightning flash|lightning	noun	íta	"#lit. ""flash"""
44	1-560	thunder	noun	ᴺhundo, raumo	"#Paul Strack, nominalizing ᴱhundu-, raumo is lit. ""noise of a storm"""
45	1-570	lightning bolt|lightning	noun		
46	1-580	storm	noun	raumo	"#lit. ""noise of a storm"""
47	1-590	rainbow	noun	helyanwë	
48	1-610	light	noun	cala	
49	1-620	darkness	noun	mornië	
50	1-630	shade|shadow	noun	lumbo	
51	1-640	dew	noun	*ᴹrossë	
52	1-710	air	noun	vilya	
53	1-720	wind	noun	súrë	
54	1-730	cloud	noun	lumbo	
55	1-740	fog	noun	ᴹᴬhiswë	
56	1-750	rain	noun	ulo	
57	1-760	snow	noun	lossë	
58	1-770	ice	noun	ᴹhelcë	
59	1-780	weather	noun	ᴺvilwis(të)	
60	1-810	fire	noun	ruinë	
61	1-820	flame	noun	rúnya	
62	1-830	smoke	noun	ᴺquonda	
63	1-840	ashes	noun	ᴺlittë	# Helge Fauskanger
64	1-841	embers	noun	ᴹyúla	
65	1-851	burn	verb	*ᴱurta-	
66	1-852	burn	verb	*ᴱurta-	
67	1-860	light|kindle|ignite	verb	ᴹnarta-	
68	1-861	extinguish	verb	ᴺluhtya-	# Helge Fauskanger
69	1-870	match	noun	*ᴱtusturin	
70	1-880	firewood	noun	*ᴱtundo	
71	1-890	charcoal	noun	ᴺur(u)ma	# Röandil
72	10-110	move	verb	*ᴱlev-, ᴺmarrum-	# Delle, Luinyelle
