chapter_id	entry_id	meaning	Finnish_Phonemic	comment
1	100	world	maailma	
1	210	earth, land	maa	
1	212	earth=ground, soil	maa; maaper̃æ	
1	213	dust	pölü; tomu	
1	214	mud	muta	
1	215	sand	hiekka	
1	220	mountain, hill	wuor̃i; mæki	
1	222	cliff, precipice	kallio	
1	230	plain, field	tasanko; pelto	
1	240	valley	laakso	
1	250	island	saar̃i	
1	260	mainland	manner̃; manner̃maa	
1	270	shore	r̃anta; æür̃æs	
1	280	cave	luola	
1	310	water	wesi	
1	320	sea	mer̃i	
1	322	calm (of sea)	tüüni; r̃auhallinen	
1	323	rough (of sea)	mür̃sküinen	
1	324	foam	waahto	
1	329	ocean	waltamer̃i	
1	330	lake	yær̃wi	
1	340	gulf, bay	lahti	
1	341	lagoon	laguuni	
1	342	reef	kar̃i	
1	343	headland, point	niemi	
1	350	wave	aalto	
1	352	tide	wuor̃owesi; wuoksi ya luode	
1	353	lowtide	luode	
1	354	hightide	wuoksi	
1	360	river, stream, brook	yoki; wir̃ta; pur̃o	
1	362	whirlpool	wesipüör̃r̃e	
1	370	spring, well	læhde; kaiwo	
1	380	swamp	suo	
1	390	waterfall	koski; putous	
1	410	woods, forest	metsæ	
1	420	tree (cf 08.600)	puu	
1	430	wood	puu; puutawar̃a	
1	440	stone, rock	kiwi; kallio	
1	450	earthquake	maanyær̃istüs	
1	510	sky	taiwas	
1	520	sun	aur̃inko; pæiwæ	
1	530	moon	kuu	
1	540	star	tæhti	
1	550	lightning	salama	
1	560	thunder	ukkonen	
1	570	lightning (as striking)	salama	
1	580	storm	mür̃skü	
1	590	rainbow	sateenkaar̃i	
1	610	light (noun)	walo	
1	620	darkness	pimeüs	
1	630	shade, shadow	war̃yo; siimes	
1	640	dew	kaste	
1	710	air	ilma	
1	720	wind	tuuli	
1	730	cloud	pilwi	
1	740	fog	sumu	
1	750	rain (noun)	sade	
1	760	snow (noun)	lumi	
1	770	ice	yææ	
1	780	weather	sææ; ilma	
1	810	fire	tuli	
1	820	flame (noun)	liekki; leimu	
1	830	smoke (noun)	sawu	
1	840	ashes	tuhka	
1	841	embers	hiillos	
1	851	burn (vb trans)	polttaa	
1	852	burn (vb intrans)	palaa	
1	860	light, kindle, ignite	sütüttææ; wir̃ittææ	
1	861	extinguish	sammuttaa	
1	870	match (noun)	tulitikku	
1	880	firewood	polttopuut	
1	890	charcoal	puuhiili	
2	100	person, human being	ihminen	
2	210	man (vs. woman)	mies	
2	220	woman	nainen	
2	230	male	miespuolinen	
2	240	female	naispuolinen	
2	250	boy	poika	
2	251	young man (adolescent)	nuor̃imies	
2	260	girl	tüttö	
2	261	young woman (adolescent)	neiti	
2	270	child	lapsi	
2	280	infant, baby	lapsi; imewæinen; wauwa	
2	310	husband	mies	
2	320	wife	waimo	
2	330	marry	mennæ naimisiin; awioitua	
2	340	marriage, wedding	awioliitto; hææt; wihkiæiset	
2	341	divorce	awioer̃o	
2	350	father	isæ	
2	360	mother	æiti	
2	370	parents	wanhemmat	
2	380	married man	awiomies	
2	390	married woman	awiowaimo	
2	410	son	poika	
2	420	daughter	tütær̃	
2	430	offspring (son or daughter)	yælkelæinen	
2	440	brother	weli	
2	444	older brother	wanhempi weli	
2	445	younger brother	nuor̃empi weli	
2	450	sister	sisar̃; sisko	
2	454	older sister	wanhempi sisar̃	
2	455	younger sister	nuor̃empi sisar̃	
2	456	sibling	sisar̃ukset	
2	458	twins	kaksoset	
2	460	grandfather	isoisæ; waar̃i	
2	461	old man	wanha mies; ukko	
2	470	grandmother	isoæiti; mummo	
2	471	old woman	muor̃i; akka	
2	480	grandson	lapsenlapsi	
2	490	granddaughter	lapsenlapsi	
2	510	uncle	setæ; eno	
2	511	mother's brother	eno	
2	512	father's brother	setæ	
2	520	aunt	tæti	
2	521	mother's sister	tæti	
2	522	father's sister	tæti	
2	530	nephew	welyenpoika; sisar̃enpoika	Respectively: brother‘s son; sister‘s son.; Respectively: brother‘s son; sister‘s son.
2	540	niece	welyentütær̃; sisar̃entütær̃	Respectively: brother‘s daughter; sister‘s daughter.; Respectively: brother‘s daughter; sister‘s daughter.
2	550	cousin	ser̃kku	
2	560	ancestors	esiwanhemmat; kantawanhemmat	
2	570	descendants	yælkelæiset	
2	610	father-in-law (of a man)	appi	
2	611	father-in-law (of a woman)	appi	
2	620	mother-in-law (of a man)	anoppi	
2	621	mother-in-law (of a woman)	anoppi	
2	630	son-in-law (of a man)	wæwü	
2	631	son-in-law (of a woman)	wæwü	
2	640	daughter-in-law (of a man)	miniæ	
2	641	daughter-in-law (of a woman)	miniæ	
2	710	stepfather	isæpuoli	
2	720	stepmother	æitipuoli	
2	730	stepson	poikapuoli	
2	740	stepdaughter	tütær̃puoli	
2	750	orphan	or̃po	
2	760	widow	leski; leskiwaimo	
2	770	widower	leski; leskimies	
2	810	relatives, kinsmen	sukulaiset	
2	820	family	per̃he	
2	910	I	minæ	
2	920	you (singular)	sinæ	
2	930	he/she/it	hæn	
2	940	we	me	
2	950	you (plural)	te	
2	960	they	he	
3	110	animal	elæin	
3	120	male (adj)	ur̃ospuolinen	
3	130	female (adj)	naar̃as	
3	150	livestock	kar̃ya	
3	160	pasture	paimentaa	
3	180	herdsman	paimen	
3	190	stable, stall	nawetta; talli	
3	200	cattle (bovine)	kar̃ya; nautakar̃ya	
3	210	bull	sonni; hær̃kæ	
3	220	ox	hær̃kæ	
3	230	cow	lehmæ	
3	240	calf	wasikka	
3	250	sheep	lammas	
3	260	ram	oinas	
3	280	ewe	uuhi; emælammas	
3	290	lamb	wuona; kar̃itsa	
3	320	boar	kar̃yu	
3	340	sow (2)	emakko; imisæ	
3	350	pig	por̃sas	
3	360	goat	wuohi	
3	370	he-goat	pukki	
3	380	kid	kili; wohla	
3	410	horse (equine)	hewonen	
3	420	stallion	or̃i	
3	440	mare	tamma	
3	450	foal, colt	war̃sa	
3	460	ass, donkey	aasi	
3	470	mule	muuli	
3	500	fowl	siipikar̃ya	
3	520	cock, rooster	kukko	
3	540	hen	kana	
3	550	chicken	kananpoika	
3	560	goose	hanhi	
3	570	duck	ankka; sor̃sa	
3	580	nest	pesæ	
3	581	bird	lintu	
3	582	seagull	mer̃ilokki	
3	583	heron	har̃maahaikar̃a	
3	584	eagle	kotka	
3	585	hawk	haukka	
3	586	vulture	kor̃ppikotka	
3	591	bat	lepakko	
3	592	parrot	papukaiya	
3	593	crow	war̃is	
3	594	dove	küühkünen	
3	596	owl	pöllö	
3	610	dog	koir̃a	
3	614	rabbit	yænis	
3	620	cat	kissa	
3	622	opossum	pussir̃otta	
3	630	mouse, rat	hiir̃i; r̃otta	
3	650	fish	kala	
3	652	fin (dorsal)	ewæ	
3	653	fishscale	kalansuomu	
3	654	gill	kidus	
3	655	shell	simpukankuor̃i	
3	661	shark	hai	
3	662	porpoise, dolphin	delfiini	
3	663	whale	walas	
3	664	stingray	keihæsr̃ausku	
3	665	freshwater eel	yær̃wianker̃ias	
3	710	wolf	susi	
3	720	lion	leiyona	
3	730	bear	kar̃hu	
3	740	fox	kettu; r̃epo	
3	750	deer	peur̃a; saksanhir̃wi	
3	760	monkey	apina	
3	770	elephant	nor̃su; elefantti	
3	780	camel	kameli	
3	810	insect	hüönteinen	
3	811	louse	tæi	
3	812	nit (louse egg)	saiwar̃	
3	813	flea	kir̃ppu	
3	814	centipede	tuhatyalkainen	
3	815	scorpion	skor̃pioni	
3	816	cockroach	tor̃akka	
3	817	ant	muur̃ahainen	
3	818	spider	hæmæhækki	
3	819	spider web	hæmæhækinseitti; hæmæhækinwer̃kko	
3	820	bee	mehilæinen	
3	821	beeswax	mehilæiswaha	
3	822	beehive	mehilæispönttö	
3	823	wasp	ampiainen	
3	830	fly	kær̃pænen	
3	831	sandfly (midge), gnat	hüttünen; sææski	
3	832	mosquito	moskiitto	
3	840	worm	mato; toukka	
3	850	snake	kæær̃me	
3	910	firefly	kiiltomato	
3	920	butterfly	per̃honen	
3	930	grasshopper	heinæsir̃kka	
3	940	snail	etana; kotilo	
3	950	frog	saammakko	
3	960	lizard	sisilisko	
3	970	crocodile, alligator	kr̃okotiili	
3	980	turtle	kilpikonna	
4	110	body	r̃uumis	
4	120	skin, hide	iho; nahka	
4	130	flesh	liha	
4	140	hair (head)	hiukset; tukka	
4	142	beard	par̃ta	
4	144	body hair	ihokar̃wa	
4	145	pubic hair	hæpükar̃wat	
4	146	dandruff	hilse	
4	150	blood	wer̃i	
4	151	vein, artery	laskimo; waltimo	
4	160	bone	luu	
4	162	rib	külkiluu	
4	170	horn	sar̃wi	
4	180	tail	hæntæ	
4	190	back	selkæ	
4	191	spine	selkær̃anka	
