chapter_id	entry_id	meaning	Khanty_Phonemic	comment
1	100	world	tər̃um	
1	210	earth, land	muw	
1	212	earth=ground, soil	muw	
1	213	dust	xiš; r̃aw	
1	214	mud	xəlɨ	
1	215	sand	səy	
1	220	mountain, hill	r̃en; saŋxum	
1	222	cliff, precipice	xar̃	
1	230	plain, field	xar̃	
1	240	valley	puxɨr̃	
1	250	island	muw	
1	260	mainland	xonɨŋ	
1	310	water	yiŋk	
1	320	sea	sʸor̃ɨs	
1	322	calm (of sea)	tewan	
1	323	rough (of sea)	xumpaŋ	
1	324	foam	nʸer̃	
1	329	ocean	wən sʸor̃ɨs	
1	330	lake	malaŋ	
1	340	gulf, bay	lux	
1	343	headland, point	pan nʸul	
1	350	wave	xump	
1	352	tide	yiŋk nux epattɨ yit; yink il pittɨ yit	
1	353	lowtide	yiŋk il pittɨ yit	
1	354	hightide	yiŋk nuxepattɨ yit	
1	360	river, stream, brook	as; yuxan; yər̃am; soyum	
1	380	swamp	nʸur̃m	
1	410	woods, forest	wənt	
1	420	tree (cf 08.600)	yux	
1	430	wood	yux	
1	440	stone, rock	kʸew	
1	450	earthquake	muw tor̃ʸiytɨ	
1	510	sky	tər̃umxar̃	
1	520	sun	xatl	
1	530	moon	tɨlasʸ	
1	540	star	xəs	
1	550	lightning	palaŋtut; poxal nʸol; pay nʸol	
1	560	thunder	poxal sɨy; mar̃itɨ sɨy	
1	570	lightning (as striking)	tut sultum; tut sem	
1	580	storm	tər̃um	
1	590	rainbow	nʸul yux	
1	610	light (noun)	nuwi; tut	
1	620	darkness	patlam	
1	630	shade, shadow	isxur̃	
1	640	dew	at yiŋk	
1	710	air	lɨl šuw	
1	720	wind	wot	
1	730	cloud	palaŋ	
1	740	fog	šiw	
1	750	rain (noun)	yer̃t	
1	760	snow (noun)	lonʸsʸ	
1	770	ice	yeŋk	
1	780	weather	tər̃um	
1	810	fire	tut; nay	
1	820	flame (noun)	tut nʸalum	
1	830	smoke (noun)	pəsaŋ	
1	840	ashes	xoyum	
1	841	embers	ay lawum sem	
1	851	burn (vb trans)	kutar̃ttɨ; letɨ	
1	852	burn (vb intrans)	letɨ	
1	860	light, kindle, ignite	wusʸittɨ; altɨ	
1	861	extinguish	xər̃attɨ	
1	870	match (noun)	sʸer̃anka	
1	880	firewood	tutʸyux	
1	890	charcoal	lawum	
2	100	person, human being	xannexə; nexə; xoyat	
2	210	man (vs. woman)	xə; iki; xə xoyat	
2	220	woman	ne	
2	230	male	xə; xor̃	
2	240	female	ne	
2	250	boy	pux	
2	251	young man (adolescent)	aylat pux	
2	260	girl	ewi	
2	261	young woman (adolescent)	aylat ewi	
2	270	child	nʸawr̃em	
2	280	infant, baby	ay nʸawr̃em	
2	310	husband	iki; xə	
2	320	wife	imi	
2	330	marry	imi tətɨ	
2	340	marriage, wedding	moy	
2	341	divorce	katna mantɨ	
2	350	father	asʸi	
2	360	mother	aŋki	
2	370	parents	aŋkʸeŋan-asʸeŋan	
2	380	married man	imʸeŋ xə	
2	390	married woman	ikʸeŋ imi	
2	410	son	pux	
2	420	daughter	ewi	
2	430	offspring (son or daughter)	yultɨ xasʸtɨ ewi-pux	
2	440	brother	yiwpux	
2	444	older brother	yay	
2	445	younger brother	apsʸi; apal	
2	450	sister	yiwewi	
