chapter_id	entry_id	meaning	Udmurt_Phonemic	comment
1	100	world	dunʸnʸe	
1	210	earth, land	muzyem	
1	212	earth=ground, soil	muzyem; sʸuy	
1	213	dust	tuzon	
1	214	mud	der̃i; nëd	
1	215	sand	luo	
1	220	mountain, hill	gur̃ezʸ	
1	222	cliff, precipice	meč yar̃	
1	230	plain, field	busɩ; lud	
1	240	valley	nʸožal; layɩg	
1	250	island	šor̃ muč	
1	260	mainland	matʸer̃ik	
1	270	shore	yar̃dur̃	
1	280	cave	pešʸer̃a	
1	310	water	vu	
1	320	sea	zar̃ezʸ	
1	322	calm (of sea)	štʸilʸ	
1	323	rough (of sea)	šukɩr̃yasʸkisʸ; kuašetisʸ	
1	324	foam	šukɩ	
1	329	ocean	okean	
1	330	lake	tɩ	
1	340	gulf, bay	zalʸiv	
1	341	lagoon	laguna	
1	342	reef	r̃if; vu ulɩsʸ skala	
1	343	headland, point	mukož; munɩr̃	
1	350	wave	tulkɩm	
1	360	river, stream, brook	šur̃	
1	362	whirlpool	vu ber̃gan	
1	370	spring, well	ošmes	
1	380	swamp	nʸur̃; kud	
1	390	waterfall	vu usʸon	
1	410	woods, forest	nʸules; telʸ	
1	420	tree (cf 08.600)	pispu	
1	430	wood	lesʸtisʸkon pu	
1	440	stone, rock	iz	
1	450	earthquake	muzyem zur̃kan	
1	510	sky	in; inbam	
1	520	sun	šundɩ	
1	530	moon	tolezʸ	
1	540	star	kizʸilʸi	
1	550	lightning	c̷ʸilʸektem	
1	560	thunder	gudɩr̃i	
1	570	lightning (as striking)	c̷ʸilʸektem	
1	580	storm	sʸilʸtël	
1	590	rainbow	vuyuisʸ	
1	610	light (noun)	yugɩt	
1	620	darkness	peymɩt	
1	630	shade, shadow	vužer̃; say; sayul	
1	640	dew	lɩsvu	
1	710	air	omɩr̃	
1	720	wind	tël	
1	730	cloud	pilʸem	
1	740	fog	bus	
1	750	rain (noun)	zor̃	
1	760	snow (noun)	lɩmɩ	
1	770	ice	yë	
1	780	weather	kuazʸ	
1	810	fire	tɩl	
1	820	flame (noun)	tɩl omɩr̃	
1	830	smoke (noun)	čɩn	
1	840	ashes	penʸ	
1	841	embers	ǰu	
1	851	burn (vb trans)	ǰuatɩnɩ; sutɩnɩ	
1	852	burn (vb intrans)	ǰuanɩ	
1	860	light, kindle, ignite	ǰuatɩnɩ	
1	861	extinguish	kɩsɩnɩ	
1	870	match (noun)	šɩr̃pu	
1	880	firewood	pu	
1	890	charcoal	pu egɩr̃	
2	100	person, human being	adʸami	
2	210	man (vs. woman)	piosmur̃t; vor̃gor̃on	
2	220	woman	nɩlkɩšno; kɩšnomur̃t	
2	230	male	piosmur̃t; vor̃gor̃on	
2	240	female	nɩlkɩšno; kɩšnomur̃t	
2	250	boy	pi; piyaš	
2	251	young man (adolescent)	yegit pi; yegit piyaš	
2	260	girl	nɩl; nɩlaš	
2	261	young woman (adolescent)	yegit nɩl; yegit nɩlaš	
2	270	child	pinal; nɩlpi	
2	280	infant, baby	nunɩ; pic̷ʸi pinal	
2	310	husband	kar̃t; kuzpal	
2	320	wife	kɩšno; kuzpal	
2	330	marry	kɩšnoyasʸkɩnɩ	
2	340	marriage, wedding	sʸuan; kɩšnoyasʸkon	
2	341	divorce	lʸukisʸkon	
2	350	father	atay; ayɩ	
2	360	mother	anay; nene; mumɩ	
2	370	parents	anay-atay; mumɩ-ayɩ	
2	380	married man	kɩšnoyasʸkemɩn	
2	390	married woman	bɩzʸemɩn; kar̃ten	
2	410	son	pi	
2	420	daughter	nɩl	
2	430	offspring (son or daughter)	vɩžɩ	
2	440	brother	vɩn; agay	
2	444	older brother	agay; nʸunʸa	
2	445	younger brother	vɩn	
2	450	sister	suzer̃; apay	
2	454	older sister	apay	
2	455	younger sister	suzer̃	
2	458	twins	kɩktoos	
2	460	grandfather	pesʸatay	
2	461	old man	per̃esʸ	
2	470	grandmother	pesʸanay	
2	471	old woman	per̃esʸ kɩšnomur̃t	
2	480	grandson	nɩlɩzlen piyez; piyezlen piyez	
2	490	granddaughter	nɩlɩzlen nɩlɩz; piyezlen nɩlɩz	
2	510	uncle	agay	
2	511	mother's brother	agay	
2	512	father's brother	agay	
2	520	aunt	apay	
2	521	mother's sister	čužapay	
2	522	father's sister	apay	
2	530	nephew	apaylen piyez; agaylen piyez	
2	540	niece	apaylen nɩlɩz; agaylen nɩlɩz	
2	550	cousin	čužodig	
2	560	ancestors	vaškalaos	
2	570	descendants	nɩlpios; pinalyos	
2	610	father-in-law (of a man)	ayɩmur̃t; var̃may	
2	611	father-in-law (of a woman)	var̃may	
2	620	mother-in-law (of a man)	anayzɩ; nenezɩ	
2	621	mother-in-law (of a woman)	var̃mumɩ	
2	630	son-in-law (of a man)	emespi	
2	631	son-in-law (of a woman)	emespi	
2	640	daughter-in-law (of a man)	ken	
2	641	daughter-in-law (of a woman)	ken	
2	710	stepfather	sʸur̃atay	
2	720	stepmother	sʸur̃anay	
2	730	stepson	sʸur̃pi	
2	740	stepdaughter	sʸur̃nɩl	
2	750	orphan	mumɩtem-ayɩtem	
2	760	widow	pal kɩlʸem kɩšnomur̃t	
2	770	widower	pal kɩlʸem piosmur̃t	
2	810	relatives, kinsmen	čɩžɩ-vɩžɩ	
2	820	family	sʸemya	
2	910	I	mon	
2	920	you (singular)	ton	
2	930	he/she/it	so	
2	940	we	mi	
2	941	we (inclusive)	asʸmeos	
2	942	we (exclusive)	asʸmeos	
2	950	you (plural)	ti	
2	960	they	soos	
3	110	animal	pudo; pudo-život	
3	120	male (adj)	ayɩ; pi	
3	130	female (adj)	mumɩ; mes	
3	150	livestock	pudo	
3	160	pasture	vozʸ vɩl; život sʸisʸkon intɩ	
3	180	herdsman	pudo vozʸmasʸ	
3	190	stable, stall	gid	
3	200	cattle (bovine)	pudo; pudo-život	
3	210	bull	oš	
3	220	ox	vol	
3	230	cow	skal	
3	240	calf	kunʸan	
3	250	sheep	ɩž; taka	
3	260	ram	taka	
3	280	ewe	ɩž	
3	290	lamb	ɩžpi	
3	320	boar	ayɩ par̃sʸ	
3	340	sow (2)	par̃sʸ	
3	350	pig	par̃sʸ pi	
3	360	goat	kua kecʸ	
3	370	he-goat	kec̷ʸ taka	
3	380	kid	kec̷ʸpi	
3	410	horse (equine)	val	
3	420	stallion	užpi	
3	440	mare	er̃val; kobla	
3	450	foal, colt	c̷ʸunʸɩ	
3	460	ass, donkey	išak; osʸol	
3	470	mule	mul	
3	500	fowl	gur̃t tɩlobur̃do	
3	520	cock, rooster	atas	
3	540	hen	kur̃eg	
3	550	chicken	c̷ʸipɩ	
3	560	goose	ǰʸazʸeg	
3	570	duck	čëž	
3	580	nest	kar̃	
3	581	bird	tɩlobur̃do	
3	582	seagull	c̷ʸayka	
3	583	heron	vanʸem	
3	584	eagle	ër̃ǰi	
3	585	hawk	dušes; pelʸo	
3	586	vulture	sʸësʸ ër̃ǰi	
3	591	bat	ur̃tkɩč	
3	592	parrot	ber̃enes	
3	593	crow	kuaka	
3	594	dove	dɩdɩk	
3	596	owl	kuc̷ʸɩr̃an; uysɩ	
3	610	dog	punɩ	
3	614	rabbit	kuc̷ʸapi; punɩpi	
3	620	cat	kočɩš; pisʸay	
3	622	opossum	komak	
3	630	mouse, rat	šɩr̃	
3	650	fish	c̷ʸor̃ɩg	
3	652	fin (dorsal)	uyan bur̃d	
3	653	fishscale	c̷ʸor̃ɩg sʸëm	
3	654	gill	šakasyos	
3	655	shell	kualʸem	
3	661	shark	akula	
3	662	porpoise, dolphin	dʸelʸfin	
3	663	whale	kit	
3	710	wolf	kion	
3	720	lion	lʸev	
3	730	bear	gondɩr̃	
3	740	fox	ǰʸic̷ʸɩ	
3	750	deer	pužey	
3	760	monkey	obezʸyan	
3	770	elephant	slon	
3	780	camel	ver̃blʸud	
3	810	insect	nɩmɩ-kibɩ	
3	811	louse	tey	
3	812	nit (louse egg)	sʸer̃el	
3	813	flea	pɩč	
3	814	centipede	gononɩmɩr̃	
3	815	scorpion	skor̃pion	
3	816	cockroach	tar̃akan	
3	817	ant	kuzʸɩlʸi	
3	818	spider	c̷ʸonar̃i	
3	819	spider web	c̷ʸonar̃i votes	
3	820	bee	muš	
3	821	beeswax	sʸusʸ	
3	822	beehive	muš umor̃to	
3	823	wasp	dur̃inc̷ʸi	
3	830	fly	kut	
3	831	sandfly (midge), gnat	c̷ʸibinʸ; nɩmɩ	
3	832	mosquito	moskit	
3	840	worm	numɩr̃	
3	850	snake	kɩy	
3	910	firefly	ǰuasʸ numɩr̃	
3	920	butterfly	bubɩlʸi	
3	930	grasshopper	ǰʸoz	
3	940	snail	kualʸalʸulʸɩ	
3	950	frog	ebek; baka	
3	960	lizard	kenǰʸalʸi	
3	970	crocodile, alligator	kr̃okodʸil	
3	980	turtle	c̷ʸer̃epaxa	
4	110	body	mugor̃; vɩltɩr̃	
4	120	skin, hide	ku	
4	130	flesh	silʸ	
4	140	hair (head)	yɩr̃sʸi	
4	142	beard	tuš	
4	144	body hair	vɩltɩr̃ gon	
4	145	pubic hair	edɩnʸ gon	
4	146	dandruff	kilʸ	
4	150	blood	vir̃	
4	151	vein, artery	vir̃ser̃	
4	160	bone	lɩ	
4	162	rib	ur̃d; ur̃dlɩ	
4	170	horn	sʸur̃	
4	180	tail	bɩž	
4	190	back	tɩbɩr̃; mɩš	
4	191	spine	sʸur̃lɩ	
4	200	head	yɩr̃	
4	201	side of head, temple	pelʸdor̃	
4	202	skull	yɩr̃kobɩ	
4	203	brain	vim	
4	204	face	imnɩr̃	
4	205	forehead	kɩmes	
4	207	jaw	an; anlɩ	
4	208	cheek	bam	
4	209	chin	anges	
4	210	eye	sʸin	
4	212	eyebrow	sʸinkač	
4	213	eyelid	sʸinkabak	
4	214	eyelash	sʸinlɩs	
4	215	blink	kɩnʸɩr̃yanɩ; kɩr̃mɩšyanɩ	
4	220	ear	pelʸ	
4	221	earlobe	pelʸ nʸebɩt	
4	222	earwax	pelʸ sʸir̃	
4	230	nose	nɩr̃	
4	231	nostril	nɩr̃ pelʸes	
4	232	mucus (nasal)	zɩr̃ɩm	
4	240	mouth	ɩm	
4	241	beak	nɩr̃; tɩlobur̃do nɩr̃	
4	250	lip	ɩmdur̃	
4	260	tongue	kɩl	
4	270	tooth	pinʸ	
4	271	gums	pinʸsilʸ	
4	272	molartooth	yɩr̃pinʸ	
4	280	neck	c̷ʸɩr̃tɩ	
4	281	nape of neck	yɩr̃ber̃; yɩr̃tɩš	
4	290	throat	gulʸɩm; nʸɩlon	
4	300	shoulder	pelʸpum	
4	301	shoulderblade	punʸɩ lɩ	
4	302	collarbone	kar̃nan lɩ	
4	310	arm	suy	
4	312	armpit	kunul	
4	320	elbow	gɩr̃pum	
4	321	wrist	suypos	
4	330	hand	ki	
4	331	palm of hand	kɩr̃ɩm pɩdes	
4	340	finger	c̷ʸinʸɩ	
4	342	thumb	pëlɩ	
4	344	fingernail	gižɩ	
4	345	claw	gižɩ	
4	350	leg	pɩd; kuk	
4	351	thigh	makes	
4	352	calf of leg	pɩd yumɩl	
4	360	knee	pɩdʸes	
4	370	foot	pɩd	
4	371	ankle	lodiga	
4	372	heel	pɩdtɩš; pɩdber̃	
4	374	footprint	pɩtʸɩ	
4	380	toe	pɩd c̷ʸinʸɩ	
4	392	wing	bur̃d	
4	393	feather	tɩlɩ	
4	400	chest	gadʸ; mëlʸa	
4	410	breast (of woman)	nonɩ; gadʸ	
4	412	nipple, teat	nonɩ	
4	420	udder	ver̃a	
4	430	navel	gogɩ	
4	440	heart	sʸulem	
4	441	lung	tɩ	
4	450	liver	mus	
4	451	kidney	peklʸa	
4	452	spleen	lup	
4	460	stomach	ǰuš	
4	461	intestines, guts	sʸul	
4	462	waist	kus	
4	463	hip	makes	
4	464	buttocks	sar̃vɩl	
4	470	womb	matka	
4	490	testicle	puz	
4	492	penis	kulʸɩ	
4	510	breathe, breath	šokanɩ; šokan	
4	520	yawn, gape	vušyɩlɩnɩ	
4	521	hiccough	kučektɩnɩ	
4	530	cough	kɩzɩnɩ	
4	540	sneeze	kizʸnɩlɩnɩ	
4	550	perspire	pësʸanɩ	
4	560	spit	sʸalanɩ	
4	570	vomit	ëskɩnɩ	
4	580	bite	kur̃tc̷ʸɩlɩnɩ	
4	590	lick	nʸulɩnɩ	
4	591	dribble	šapɩkyanɩ; vɩyanɩ	
4	610	sleep	izʸɩnɩ; këlɩnɩ; izʸon; këlon	
4	612	snore	sor̃getɩnɩ; sor̃getem	
4	620	dream	vët adǰʸɩnɩ	
4	630	wake up	saykanɩ	
4	640	break wind	sur̃ttɩnɩ	
4	650	urinate	pedlo potanɩ; kizʸanɩ; kizʸ	
4	660	defecate	sɩtʸasʸkɩnɩ; sɩtʸ	
4	670	have sexual intercourse	nʸokasʸkɩnɩ	
4	680	shiver	kualʸekyanɩ	
4	690	bathe	pɩlatɩnɩ; pɩlasʸkɩnɩ	
4	710	beget (of father)	piyanɩ	
4	720	born (to be)	piyanɩ	
4	730	pregnant	sʸekɩten; pinal vayono	
4	732	conceive	malpanɩ; medɩnɩ	
4	740	live, living, life	ulɩnɩ; lulo; ulep; ulon	
4	750	die, dead	kulɩnɩ; kulem; kulon	
4	751	drowned	vue vɩyɩnɩ	
4	760	kill	viɩnɩ; bɩdtɩnɩ	
4	770	corpse	šëy	
4	780	bury (the dead)	vatɩnɩ	
4	790	grave, tomb	šaygu	
4	810	strong, mighty, powerful	yun; zol; kužmo	
4	820	weak	lʸab; lʸabɩt	
4	830	well, health	taza; visʸisʸtem; tazalɩk	
4	840	sick, sickness	visʸisʸ; visʸon	
4	841	fever	kezʸeg; kezʸegyan	
4	842	goiter	gadʸ	
4	843	cold (catarrh)	kezʸɩt	
4	850	wound, sore	yar̃a	
4	852	bruise	lɩzektem	
4	853	swelling	pɩktos	
4	854	itch	lɩdon	
4	855	blister	vu pulʸɩ	
4	856	boil (noun)	pësʸkɩ	
4	857	pus	ur̃	
4	858	scar	vur̃ɩs	
4	860	cure, heal	yënatɩnɩ	
4	870	physician	yënatisʸ; vr̃ac̷ʸ	
4	880	medicine, drug	emyum	
4	890	poison	yad	
4	910	tired, weary	žadʸem; katʸtem	
4	912	rest	šutetskɩnɩ; šutetskon	
4	920	lazy	azʸtem	
4	930	bald	plʸeš	
4	940	lame	c̷ʸut	
4	950	deaf	pelʸtem	
4	960	mute	kɩltem	
4	970	blind	sʸintem; sukɩr̃	
4	980	intoxicated	kudǰʸem; kudǰʸemɩn	
4	990	naked, bare	golʸɩk	
5	110	eat	sʸisʸkɩnɩ	
5	120	food	sʸion; sʸion-yuon	
5	121	cooked	për̃anɩ	
5	122	raw	kot	
5	123	ripe	vuem; kɩsʸmam	
5	124	green, unripe	vuɩmte; kɩsʸmamte	
5	125	rotten	sʸisʸmem; sër̃isʸkem	
5	130	drink	yuɩnɩ	
5	140	hunger	kët sʸuman; sʸiem poton	
5	141	famine	sʸiem poton	
5	150	thirst	yuem poton	
5	160	suck	nonɩnɩ	
5	180	chew	sɩskɩnɩ	
5	181	swallow	nʸɩlɩnɩ	
5	190	choke	ǰokanɩ	
5	210	cook	pësʸtɩnɩ	
5	220	boil (vb)	pëzʸɩnɩ	
5	230	roast, fry	pɩžɩnɩ; žar̃itʸ kar̃ɩnɩ	
5	240	bake	pɩžɩnɩ	
5	250	oven	gur̃	
5	260	pot, cooking vessel	gor̃šok	
5	270	kettle	pur̃tɩ	
5	280	pan	taba	
5	310	dish	ter̃kɩ	
5	320	plate	ter̃kɩ	
5	330	bowl	c̷ʸaša	
5	340	pitcher, jug	kuvšin; kungan	
5	350	cup, drinking vessel	c̷ʸaša; kr̃užka	
5	360	saucer	blʸuda; pic̷ʸi ter̃kɩ	
5	370	spoon	punʸɩ	
5	380	knife (2)	pur̃t	
5	390	fork (2)	vilka	
5	391	tongs	kis	
5	410	meal (a)	sʸisʸkon dɩr̃	
5	420	breakfast	čuk sʸisʸkon	
5	440	dinner	nunazʸe sʸisʸkon	
5	450	supper	ǰɩt sʸisʸkon	
5	460	peel	palanɩ	
5	470	sieve, strain	pužnɩnɩ	
5	480	scrape	suzʸanɩ; tazatɩnɩ	
5	490	stir, mix	sur̃anɩ	
5	510	bread	nʸanʸ	
5	530	dough	ɩlʸnʸanʸ; kolǰʸo	
5	540	knead	nɩr̃kɩnɩ	
5	550	meal, flour	pɩzʸ	
5	560	crush, grind	izɩnɩ	
5	570	mill	vuko	
5	580	mortar (2)	izvʸostka	
5	590	pestle	pestʸik	
5	610	meat	silʸ	
5	630	sausage	kolbasa	
5	640	soup, broth	šɩd	
5	650	vegetables	bakc̷ʸa sʸion	
5	660	bean	sʸëd këžɩ	
5	700	potato	kar̃toška	
