		#definitely:
𓀄		A5 	crouching man hiding behind wall 
𓀎		A12 	soldier with bow and quiver 
𓀒		A15 	man falling 
𓀗		A19 	bent man leaning on staff 
𓀞		A26 	man with one arm pointing forward 
𓀦		A33 	man with stick and bundle on shoulder 
𓁌		A67 	dwarf 
𓂂		D12 	pupil
𓂃		D13 	eyebrow 
𓂷		D51 	finger
𓄢		F33 	tail
𓃲		E28 	oryx
𓃴		E29 	gazelle 
𓃵		E30 	ibex 
𓃷		E32 	baboon
𓃭		E23 	lying lion 
𓄀		F2 	charging ox head 
𓄁		F3 	hippopotamus head
𓄃		F5 	hartebeest head 
𓄅		F7 	ram head 
𓄇		F9 	leopard head 
𓄋		F13 	horns
𓄏		F16 	horn 
𓄑		F18 	tusk 
𓄬		F41 	vertebrae 
𓄭		F42 	rib 
𓄮		F43 	ribs 
𓄲		F46 	intestine
𓄦		F37 	backbone and ribs and spinal cord
𓅂		G4 	buzzard 
𓅃		G5 	falcon
𓅐		G14 	vulture 
𓅘		G21 	Guineafowl
𓅙		G22 	hoopoe 
𓅚		G23 	lapwing 
𓅜		G25 	northern bald ibis
𓅣		G31 	heron
𓅥		G33 	cattle egret 
𓅦		G34 	ostrich 
𓅧		G35 	cormorant 
𓅪		G37 	sparrow 
𓆐		I8 	tadpole 
𓆆		H7 	claw 
𓆑		I9 	horned viper 
𓆓		I10 	cobra
𓇓		M23 	sedge 
𓇕		M24A 	lily 
𓇜		M30 	root 
𓇝		M31 	rhizome 
𓇭		M43 	vine on trellis 
𓇮		M44 	thorn
𓈎		N29 	slope of hill 
𓈒		N33 	grain 
𓈚		N37A 	pool 
𓈟		N42 	well with line of water 
𓉴		O24 	pyramid 
𓉶		O25 	obelisk
𓊏		O42 	fence
𓊡		P5 	sail 
𓊢		P6 	mast 
𓊤		P8 	oar
𓊦		P10 	rudder
𓊨		Q1 	seat throne 
𓊬		Q5 	chest 
𓊮		Q7 	Brazier 
𓊳		R3A 	low table 
𓋁		R15 	spear
𓋜		S10 	headband 
𓋯		S26 	apron 
𓋿		S39 	shepherd's crook 
𓌁		S41 	sceptre 
𓌅		S45 	flagellum 
𓌇		T1 	mace with flat head 
𓌕		T11 	arrow 
𓌛		T16 	scimitar 
𓌝		T17 	chariot
𓌤		T24 	fishingnet
𓌳		U1 	sickle 
𓌻		U7 	hoe
𓍉		U21 	adze-on-block
𓍋		U23 	chisel
𓍍		U24 	hand drill 
𓍔		U30 	kiln 
𓍘		U33 	pestle
𓍡		U42 	pitchfork 
𓍯		V4 	lasso
𓎔		V22 	whip
𓏢		Y7 	harp
𓏠		Y5 	board game
𓐍		Aa1 	sieve 

		#probably not going to happen:
𓐓		Aa7 	A Smiting-blade symbol 
𓁒		B3 	woman giving birth 
𓂸		D52 	phallus 
𓂺		D53 	phallus with emission
𓂑		D27 	small breast 
𓂒		D27A 	large breast 
𓄰		F45 	uterus 
𓐍		Aa1 	Placenta or sieve 
𓐎		Aa2 	Pustule 
𓐏		Aa3 	Pustule with liquid issuing from it 
