*	singular	singular	dual	dual	plural	plural	#				
*	heiroglyphs	latin	heiroglyphs	latin	heiroglyphs	latin	#				
water	𓈗	mw	𓈗𓅱𓏭	mwwj	𓈗𓅱	mww	#	feminine	a-stem		
snake	𓎛𓆑𓄫𓅱𓆙	ḥfꜣw	𓎛𓆑𓄫𓅱𓅱𓏭𓆙𓆙	ḥfꜣwwj	𓎛𓆑𓄫𓅱𓅱𓏭𓆙	ḥfꜣww	#	masculine	a-stem		
mouth	𓂋𓏤	r	𓂋𓏤𓅱𓏭	rwj	𓂋𓏤𓅱	rw	#	masculine	consonant-stem		
woman	𓈞𓏏𓁐	ḥmt	𓈞𓏏𓏭𓁐𓁐	ḥmtj	𓈞𓅱𓏏𓁐	ḥmwt	#	feminine	consonant-stem		
livestock	𓇋𓎛𓃒	jḥ	𓇋𓎛𓅱𓏭𓃒𓃒	jḥwj	𓇋𓎛𓅱𓃒	jḥw	#	masculine	i-stem		
father	𓇋𓏏𓆑𓀀	jt	𓇋𓏏𓆑𓅱𓏭𓀀𓀀	jtwj	𓇋𓏏𓆑𓅱𓀀	jtw	#	masculine	i-stem		
sky	𓊪𓏏𓇯	pt	𓊪𓏏𓏭𓇯𓇯	ptj	𓊪𓅱𓏏𓇯	pwt	#	feminine	i-stem		
boat	𓂧𓊪𓏏𓊛	dpt	𓂧𓊪𓏏𓏭𓊛𓊛	dptj	𓂧𓊪𓅱𓏏𓊛	dpwt	#	feminine	u-stem	conjugation templates	
house	𓉐𓏤	pr	𓉐𓏤𓅱𓏭	prwj	𓉐𓏤𓅱	prw	#	masculine	u-stem	conjugation templates	
enemy	𓐍𓆑𓏏𓏭𓀏	ḫftj	𓐍𓆑𓏏𓏭𓅱𓏭𓀏𓀏	ḫftjwj	𓐍𓆑𓏏𓏭𓅱𓀏	ḫftjw	#			conjugation templates	
man	𓊃𓀀	s	𓊃𓅱𓏭𓀀𓀀	swj	𓊃𓅱𓀀	sw	#			declension templates	
name	𓂋𓈖	rn	𓂋𓈖𓅱𓏭	rnwj	𓂋𓈖𓅱	rnw	#			declension templates	
son	𓅭𓏤	sꜣ	𓅭𓏤𓅱𓏭	sꜣwj	𓅭𓏤𓅱	sꜣw	#			declension templates	
brother	𓌢𓈖𓀀	sn	𓌢𓈖𓀀𓅱𓏭	snwj	𓌢𓈖𓀀𓅱	snw	#			declension templates	
fire	𓐍𓏏𓊮	ḫt	𓐍𓏏𓅱𓏭𓊮𓊮	ḫtj	𓐍𓅱𓏏𓊮	ḫwt	#				
food	𓇬𓀁𓅱𓏒𓏥	wnmw	𓇬𓀁𓅱𓅱𓏭𓏒𓏥	wnmwwj	𓇬𓀁𓅱𓅱𓏒𓏥	wnmww	#				
picture	𓊏𓊪𓀾	šsp	𓊏𓊪𓀾𓅱𓏭	šspwj	𓊏𓊪𓀾𓅱	šspw	#				
