*	*	*	*	*	masculine	masculine	feminine	feminine	#	middle
					hieroglyphs	latin	hieroglyphs	latin	#	
personal	predicate	tonic	singular	1	𓏌𓎡𓀀	ink	𓏌𓎡𓀀	ink	#	"""independant"""
personal	predicate	tonic	singular	2	𓈖𓏏𓎡	ntk	𓈖𓏏𓍿/𓈖𓏏𓏏	ntṯ/ntt	#	"""independant"""
personal	predicate	tonic	singular	3	𓈖𓏏𓆑	ntf	𓈖𓏏𓋴/𓈖𓏏𓊃	nts	#	"""independant"""
personal	predicate	tonic	plural	1	𓇋𓀁𓈖𓈖𓏥 /𓇋𓏌𓈖𓏥 	inn	𓇋𓀁𓈖𓈖𓏥 /𓇋𓏌𓈖𓏥 	inn	#	"""independant"""
personal	predicate	tonic	plural	2	𓈖𓏏𓍿𓈖𓏥/𓈖𓏏𓏏𓈖𓏪	ntṯn/nttn	𓈖𓏏𓍿𓈖𓏥/𓈖𓏏𓏏𓈖𓏪	ntṯn/nttn	#	"""independant"""
personal	predicate	tonic	plural	3	𓈖𓏏𓋴 𓈖𓏥/𓈖𓏏 𓊃𓈖	ntsn	𓈖𓏏𓋴 𓈖𓏥/𓈖𓏏 𓊃𓈖	ntsn	#	"""independant"""
personal	possessor	tonic	singular	1	𓏌𓎡𓀀	ink	𓏌𓎡𓀀	ink	#	"""independant"""
personal	possessor	tonic	singular	2	𓈖𓏏𓎡	ntk	𓈖𓏏𓍿/𓈖𓏏𓏏	ntṯ/ntt	#	"""independant"""
personal	possessor	tonic	singular	3	𓈖𓏏𓆑	ntf	𓈖𓏏𓋴/𓈖𓏏𓊃	nts	#	"""independant"""
personal	possessor	tonic	plural	1	𓇋𓀁𓈖𓈖𓏥 /𓇋𓏌𓈖𓏥 	inn	𓇋𓀁𓈖𓈖𓏥 /𓇋𓏌𓈖𓏥 	inn	#	"""independant"""
personal	possessor	tonic	plural	2	𓈖𓏏𓍿𓈖𓏥/𓈖𓏏𓏏𓈖𓏪	ntṯn/nttn	𓈖𓏏𓍿𓈖𓏥/𓈖𓏏𓏏𓈖𓏪	ntṯn/nttn	#	"""independant"""
personal	possessor	tonic	plural	3	𓈖𓏏𓋴 𓈖𓏥/𓈖𓏏 𓊃𓈖	ntsn	𓈖𓏏𓋴 𓈖𓏥/𓈖𓏏 𓊃𓈖	ntsn	"#	"	"""independant"""
personal	solitary	enclitic	singular	1	𓀀/𓇋	i	𓀀/𓇋	i	#	"""suffix"""
personal	solitary	enclitic	singular	2	𓎡	k	𓍿/𓏏	ṯ/t	#	"""suffix"""
personal	solitary	enclitic	singular	3	𓆑	f	𓋴	s	#	"""suffix"""
personal	solitary	enclitic	plural	1	𓈖𓏥	n	𓈖𓏥	n	#	"""suffix"""
personal	solitary	enclitic	plural	2	𓏏𓈖𓏥/𓍿𓈖𓏥	tn/ṯn	𓏏𓈖𓏥/𓍿𓈖𓏥	tn/ṯn	#	"""suffix"""
personal	solitary	enclitic	plural	3	𓋴𓈖𓏥/𓊃𓈖𓏥	sn	𓋴𓈖𓏥/𓊃𓈖𓏥	sn	#	"""suffix"""
