climb	infinitival forms	infinitival forms	infinitival forms	imperative	imperative
climb	infinitive	negatival complement	complementary infinitive1	singular	plural
climb	jꜣq	jꜣqw, jꜣq	jꜣqt	jꜣq	jꜣq
eat	infinitival forms	infinitival forms	infinitival forms	imperative	imperative
eat	infinitive	negatival complement	complementary infinitive1	singular	plural
eat	wnm	wnmw, wnm	wnmt	wnm	wnm
resemble	infinitival forms	infinitival forms	infinitival forms	imperative	imperative
resemble	infinitive	negatival complement	complementary infinitive1	singular	plural
resemble	nḥr	nḥrw, nḥr	nḥrt	nḥr	nḥr
see	infinitival forms	infinitival forms	infinitival forms	imperative	imperative
see	infinitive	negatival complement	complementary infinitive1	singular	plural
see	mꜣꜣ8, mꜣ, mꜣn	mꜣꜣ	mꜣꜣt	mꜣꜣ, mꜣ	mꜣꜣ, mꜣ
see	singular	mꜣꜣ
see	dual	mꜣꜣwj
see	plural	mꜣꜣw
