*	*	aorist 	present 	past 	future 	perfect 	gerund 		
see	singular	henta	hentëa	hentanë	hentuva	ehentië	hentië	#	strong
see	plural	hentar	hentëar	hentaner	hentuvar	ehentier	hentier	#	strong
do	singular	carë	cára	carnë	caruva	acárië	cárië	#	weak
do	plural	carir	cárar	carner	caruvar	acárier	cárier 	#	weak
make	singular	carë	cára	carnë	caruva	acárië	cárië	#	weak
make	plural	carir	cárar	carner	caruvar	acárier	cárier 	#	weak
pass	singular	ava	avëa, auta	vánë (< wánë), avantë	auva, autuva	(a)vánië		#	
pass	plural	avar	avëar, autar	váner (< wáner), avanter	auvar, autuvar	(a)vánier 		#	
not do	singular	uan / uin	uan	uan	uan	uan		#	
not do	plural	uan / uin	uan carë	únen	úvan carë	uien carë		#	
be	singular	na	ná	né	nauva	anaië		#	
be	plural	nar	nár	ner	nauvar	anaier		#	
exist	singular	ëa	ëa	engë	euva	engië		#	
exist	plural	ëar	ëar	enger	euvar	engier 		#	
									
									
									
