*	*	*	*		#	adposition	this file represents situations involving nouns and adpositions								
	addressee			👋	#										
	subject			\actor \argument	#										
	direct-object			\actor \argument	#										
	adnominal		possessor	💁\c3\m \argument \actor											
	adverbial	departed	possessor	\group{←\possession \r{\argument}}	#	of									
	adverbial	associated	possessor	\group{\possession \r{\argument}}	#	of									
	adverbial	approached	possessor	\group{\mirror{←\possession} \r{\argument}}	#	of									
	adverbial	acquired	possessor	\group{\mirror{\possession←} \r{\argument}}	#	of									
	adverbial	surpassed	possessor	\group{\mirror{\possession←} \r{\argument} \mirror{←}}	#	of									
	adverbial	leveraged	possessor	\group{\mirror{\possession←} \r{\argument} \mirror{←}}	#	of									
	adverbial	departed	location	←\actor \argument	#	away from									
	adverbial	associated	location	\group{\actor \r{\argument}}	#	by									
	adverbial	approached	location	\mirror{←\actor}\argument	#	to									
	adverbial	acquired	location	\mirror{\actor←}\argument	#	to									
	adverbial	surpassed	location	\mirror{←}\argument\mirror{←\actor}	#	to									
	adverbial	leveraged	location	←\group{\actor \r{\argument↙}}	#	via									
	adverbial	departed	extent	←\actor \argument	#	starting from									
	adverbial	associated	extent	\group{\actor \r{\argument}}	#	beside									
	adverbial	approached	extent	\mirror{←\actor}\argument	#	up to									
	adverbial	acquired	extent	\mirror{\actor←}\argument	#	up to									
	adverbial	surpassed	extent	\mirror{←}\argument\mirror{←\actor}	#	up to									
	adverbial	leveraged	extent	←\group{\actor \r{\argument↙}}	#	along									
	adverbial	departed	vicinity	←\actor \argument	#	from around									
	adverbial	associated	vicinity	\group{\actor \r{\argument}}	#	by									
	adverbial	approached	vicinity	\mirror{←\actor}\argument	#	to around									
	adverbial	acquired	vicinity	\mirror{\actor←}\argument	#	to around									
	adverbial	surpassed	vicinity	\mirror{←}\argument\mirror{←\actor}	#	to around									
	adverbial	leveraged	vicinity	←\group{\actor \r{\argument↙}}	#	via									
	adverbial	departed	interior	\group{\inllo{←\actor}\large{\argument}}	#	out of									
	adverbial	associated	interior	\group{\inllo{\actor}\large{\argument}}	#	in									
	adverbial	approached	interior	\group{\large{\argument}\inrlo{←\actor}}	#	into									
	adverbial	acquired	interior	\group{\large{\argument}\inrlo{\actor←}}	#	into									
	adverbial	surpassed	interior	\group{\inllo{←\actor}\large{\argument}\inrlo{←}}	#	into									
	adverbial	leveraged	interior	\group{\inllo{←}\large{\argument}\inrlo{\actor←}}	#	through									
	adverbial	departed	surface	\group{\inlhi{↙\actor}\large{\argument}}	#	off of									
	adverbial	associated	surface	\group{\inlhi{\actor}\large{\argument}}	#	on									
	adverbial	approached	surface	\group{\large{\argument}\inrhi{↖\actor}}	#	onto									
	adverbial	acquired	surface	\group{\large{\argument}\inrhi{\actor↖}}	#	onto									
	adverbial	surpassed	surface	\group{\inlhi{\actor↙}\large{\argument}\inrhi{↖}}	#	onto									
