*	*	nominative	oblique	genitive	#	possessive	usage						
sound	singular	sound	sound	sound	#	sound's	declension templates						
sound	dual	sounds	sounds	sounds	#	sounds'	declension templates						
sound	plural	sounds	sounds	sounds	#	sounds'	declension templates						
size	singular	size	size	size	#	size's	declension templates						
size	dual	sizes	sizes	sizes	#	sizes'	declension templates						
size	plural	sizes	sizes	sizes	#	sizes'	declension templates						
food	singular	food	food	food	#	food's	declension templates						
food	dual	food	food	food	#	food's	declension templates						
food	plural	food	food	food	#	food's	declension templates						
thought	singular	thought	thought	thought	#	thought's	declension templates						
thought	dual	thought	thought	thought	#	thoughts'	declension templates						
thought	plural	thought	thought	thought	#	thoughts'	declension templates						
attention	singular	attention	attention	attention	#	attention's	declension templates						
attention	dual	attentions	attentions	attentions	#	attentions'	declension templates						
attention	plural	attentions	attentions	attentions	#	attentions'	declension templates						
animal	singular	animal	animal	animal	#	animal's	declension templates						
animal	dual	animals	animals	animals	#	animals'	declension templates						
animal	plural	animals	animals	animals	#	animals'	declension templates						
livestock	singular	livestock	livestock	livestock	#	livestock's	declension templates						
livestock	dual	livestock	livestock	livestock	#	livestock's	declension templates						
livestock	plural	livestock	livestock	livestock	#	livestock's	declension templates						
man	singular	man	man	man	#	man's	declension templates						
man	dual	men	men	men	#	men's	declension templates						
man	plural	men	men	men	#	men's	declension templates						
woman	singular	woman	woman	woman	#	woman's	declension templates						
woman	dual	women	women	women	#	women's	declension templates						
woman	plural	women	women	women	#	women's	declension templates						
son	singular	son	son	son	#	son's	declension templates						
son	dual	sons	sons	sons	#	sons'	declension templates						
son	plural	sons	sons	sons	#	sons'	declension templates						
daughter	singular	daughter	daughter	daughter	#	daughter's	declension templates						
daughter	dual	daughters	daughters	daughters	#	daughters'	declension templates						
daughter	plural	daughters	daughters	daughters	#	daughters'	declension templates						
father	singular	father	father	father	#	father's	proto-indo-european	 old-english					
father	dual	fathers	fathers	fathers	#	fathers'	proto-indo-european	 old-english					
father	plural	fathers	fathers	fathers	#	fathers'	proto-indo-european	 old-english					
mother	singular	mother	mother	mother	#	mother's	old-english						
mother	dual	mothers	mothers	mothers	#	mothers'	old-english						
mother	plural	mothers	mothers	mothers	#	mothers'	old-english						
brother	singular	brother	brother	brother	#	brother's	old-english						
brother	dual	brothers	brothers	brothers	#	brothers'	old-english						
brother	plural	brothers	brothers	brothers	#	brothers'	old-english						
sister	singular	sister	sister	sister	#	sister's	old-english						
sister	dual	sisters	sisters	sisters	#	sisters'	old-english						
sister	plural	sisters	sisters	sisters	#	sisters'	old-english						
hand       	singular	hand	hand	hand	#	hand's	latin	 old-english	" attic-greek"""				
hand       	dual	hands	hands	hands	#	hands'	latin	 old-english	" attic-greek"""				
hand       	plural	hands	hands	hands	#	hands'	latin	 old-english	" attic-greek"""				
person	singular	person	person	person	#	person's	old-english	 attic-greek					
person	dual	people	people	people	#	people's	old-english	 attic-greek					
person	plural	people	people	people	#	people's	old-english	 attic-greek					
hero	singular 	hero	hero	hero	#	hero's	attic-greek	 russian					
hero	dual 	heroes	heroes	heroes	#	heroes'	attic-greek	 russian					
hero	plural 	heroes	heroes	heroes	#	heroes'	attic-greek	 russian					
bone	singular 	bone	bone	bone	#	bone's	attic-greek	 russian					
bone	dual 	bones	bones	bones	#	bones'	attic-greek	 russian					
bone	plural	bones	bones	bones	#	bones'	attic-greek	 russian					
name       	singular	name	name	name	#	name's	latin	 sanskrit	" russian"""				
name       	dual	names	names	names	#	names'	latin	 sanskrit	" russian"""				
name       	plural	names	names	names	#	names'	latin	 sanskrit	" russian"""				
water	singular	water	water	water	#	water's	proto-indo-european	 attic-greek					
water	dual	waters	waters	waters	#	waters'	proto-indo-european	 attic-greek					
