aspect→		infinitive	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	perfect	imperfect
person→			1	2	3			1	2	3				
plurality→			singular	singular	singular	dual	plural	singular	singular	singular	dual	plural		
tense→			present	present	present	present	present	past	past	past	past	past		
be     	templates	be     	am	are	is	are	are	was	were	was	were	were	been	being
have   	templates	have   	have	have	has	have	have	had	had	had	had	had	had	having
command	templates	command	command	command	commands	command	command	commanded	commanded	commanded	commanded	commanded	commanded	commanding
forbid	templates	forbid	forbid	forbid	forbids	forbid	forbid	forbade	forbade	forbade	forbade	forbade	forbidden	forbidding
permit	templates	permit	permit	permit	permits	permit	permit	permitted	permitted	permitted	permitted	permitted	permitted	permitting
intend	templates	intend	intend	intend	intends	intend	intend	intended	intended	intended	intended	intended	intended	intending
wish	templates	wish	wish	wish	wishes	wish	wish	wished	wished	wished	wished	wished	wished	wishing
push	templates	push	push	push	pushes	push	push	pushed	pushed	pushed	pushed	pushed	pushed	pushing
do	common	do	do	do	does	do	do	did	did	did	did	did	done	doing
go     	common	go     	go	go	goes	go	go	went	went	went	went	went	gone	going
want	common	want	want	want	wants	want	want	wanted	wanted	wanted	wanted	wanted	wanted	wanting
give	common	give	give	give	gives	give	give	gave	gave	gave	gave	gave	given	giving
say	common	say	say	say	say	say	say	said	said	said	said	said	said	saying
be able	common	be able	am able	are able	is able	are able	are able	was able	were able	was able	were able	were able	been able	being able
live	common	live	live	live	lives	live	live	lived	lived	lived	lived	lived	lived	living
read	common	read	read	read	reads	read	read	read	read [in the past]	read [in the past]	read [in the past]	read [in the past]	read	reading
carry	common	carry	carry	carry	carries	carry	carry	carried	carried	carried	carried	carried	carried	carrying
become	common	become	become	become	becomes	become	become	became	became	became	became	became	become	becoming
eat	common	eat	eat	eat	eats	eat	eat	ate	ate	ate	ate	ate	eaten	eating
sew	common	sew	sew	sew	sews	sew	sew	sewed	sewed	sewed	sewed	sewed	sewn	sewing
love	common	love	love	love	loves	love	love	loved	loved	loved	loved	loved	loved	loving
work	common	work	work	work	works	work	work	worked	worked	worked	worked	worked	worked	working
ask	common	ask	ask	ask	asks	ask	ask	asked	asked	asked	asked	asked	asked	asking
release	ancient-greek	release	release	release	releases	release	release	released	released	released	released	released	released	releasing
choose 	french	choose 	choose	choose	chooses	choose	choose	chose	chose	chose	chose	chose	chosen	choosing
lose   	french	lose   	lose	lose	loses	lose	lose	lost	lost	lost	lost	lost	lost	losing
receive	french	receive	receive	receive	receives	receive	receive	received	received	received	received	received	received	receiving
act	german	act	act	act	acts	act	act	acted	acted	acted	acted	acted	acted	acting
may	german	may	am allowed	are allowed	is allowed	are allowed	are allowed	was allowed	were allowed	was allowed	were allowed	were allowed	been allowed	being allowed
speak  	latin	speak  	speak	speak	speaks	speak	speak	spoke	spoke	spoke	spoke	spoke	spoken	speaking
advise	latin	advise	advise	advise	advises	advise	advise	advised	advised	advised	advised	advised	advised	advising
direct	latin	direct	direct	direct	directs	direct	direct	directed	directed	directed	directed	directed	directed	directing
capture	latin	capture	capture	capture	captures	capture	capture	captured	captured	captured	captured	captured	captured	capturing
hear	latin	hear	hear	hear	hears	hear	hear	heard	heard	heard	heard	heard	heard	hearing
steal	old-english	steal	steal	steal	steals	steal	steal	stole	stole	stole	stole	stole	stolen	stealing
share	old-english	share	share	share	shares	share	share	shared	shared	shared	shared	shared	shared	sharing
tame	old-english	tame	tame	tame	tames	tame	tame	tamed	tamed	tamed	tamed	tamed	tamed	taming
move	old-english	move	move	move	moves	move	move	moved	moved	moved	moved	moved	moved	moving
think	old-english	think	think	think	thinks	think	think	thought	thought	thought	thought	thought	thought	thinking
leave	proto-indo-european	leave	leave	leave	leaves	leave	leave	left	left	left	left	left	left	leaving
stretch	proto-indo-european	stretch	stretch	stretch	stretches	stretch	stretch	stretched	stretched	stretched	stretched	stretched	stretched	stretching
sit	proto-indo-european	sit	sit	sit	sits	sit	sit	sat	sat	sat	sat	sat	sat	sitting
