motion	attribute	finnish grammatical case
subject		nominative
addressed		
direct object		accusative
associated		genitive
departed	location	ablative
associated	location	adessive
acquired	location	allative
leveraged	location	
departed	extent	
associated	extent	
acquired	extent	
leveraged	extent	
departed	vicinity	
associated	vicinity	
acquired	vicinity	
leveraged	vicinity	
departed	interior	elative
associated	interior	inessive
acquired	interior	illative
leveraged	interior	
departed	surface	
associated	surface	
acquired	surface	
leveraged	surface	
departed	presence	
associated	presence	
acquired	presence	
leveraged	presence	
departed	aid	
associated	aid	instructive
acquired	aid	
leveraged	aid	
departed	lack	
associated	lack	abessive
acquired	lack	
leveraged	lack	
departed	interest	
associated	interest	
acquired	interest	
leveraged	interest	
departed	purpose	
associated	purpose	essive
acquired	purpose	
leveraged	purpose	
departed	owner	
associated	owner	
acquired	owner	allative
leveraged	owner	
departed	time	elative
associated	time	inessive
acquired	time	illative
leveraged	time	
departed	state of being	exessive
associated	state of being	essive
acquired	state of being	translative
leveraged	state of being	
departed	topic	
associated	topic	
acquired	topic	
leveraged	topic	
associated	company	comitative
associated	resemblance	
