*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic														
the	singular	masculine	greek	ὁ	τοῦ	τῷ	τόν		#															
the	singular	masculine	latin	ho 	toû 	tôi 	tón 		#															
the	singular	feminine	greek	ἡ	τῆς	τῇ	τήν		#															
the	singular	feminine	latin	hē 	tês 	têi 	tḗn 		#															
the	singular	neuter	greek	τό	τοῦ	τῷ	τό		#															
the	singular	neuter	latin	tó 	toû 	tôi 	tó 		#															
									#															
the	dual	masculine	greek	τώ	τοῖν	τοῖν	τώ		#															
the	dual	masculine	latin	tṓ 	toîn 	toîn 	tṓ 		#															
the	dual	feminine	greek	τώ	τοῖν	τοῖν	τώ		#															
the	dual	feminine	latin	tṓ 	toîn 	toîn 	tṓ 		#															
the	dual	neuter	greek	τώ	τοῖν	τοῖν	τώ		#															
the	dual	neuter	latin	tṓ 	toîn 	toîn 	tṓ 		#															
									#															
the	plural	masculine	greek	οἱ	τῶν	τοῖς	τούς		#															
the	plural	masculine	latin	hoi 	tôn 	toîs 	toús 		#															
the	plural	feminine	greek	αἱ	τῶν	ταῖς	τᾱ́ς		#															
the	plural	feminine	latin	hai 	tôn 	taîs 	tā́s 		#															
the	plural	neuter	greek	τᾰ́	τῶν	τοῖς	τᾰ́		#															
the	plural	neuter	latin	tá	tôn	toîs	tá 		#															
									#															
young man	singular 	masculine	greek	νεᾱνῐ́ᾱς	νεᾱνῐ́ου	νεᾱνῐ́ᾳ	νεᾱνῐ́ᾱν	νεᾱνῐ́ᾱ	#	1														
young man	singular 	masculine	latin	neāníās	neāníou	neāníāi	neāníān	neāníā	#	1														
young man	dual 	masculine	greek	νεᾱνῐ́ᾱ	νεᾱνῐ́αιν	νεᾱνῐ́αιν	νεᾱνῐ́ᾱ	νεᾱνῐ́ᾱ	#	1														
young man	dual 	masculine	latin	neāníā	neāníain	neāníain	neāníā	neāníā	#	1														
young man	plural	masculine	greek	νεᾱνῐ́αι	νεᾱνῐῶν	νεᾱνῐ́αις	νεᾱνῐ́ᾱς	νεᾱνῐ́αι	#	1														
young man	plural	masculine	latin	neāníai	neāniôn	neāníais	neāníās	neāníai	#	1														
									#															
soldier	singular 	masculine	greek	στρᾰτῐώτης	στρᾰτῐώτου	στρᾰτῐώτῃ	στρᾰτῐώτην	στρᾰτῐῶτᾰ	#	1														
soldier	singular 	masculine	latin	stratiṓtēs	stratiṓtou	stratiṓtēi	stratiṓtēn	stratiôta	#	1														
soldier	dual 	masculine	greek	στρᾰτῐώτᾱ	στρᾰτῐώταιν	στρᾰτῐώταιν	στρᾰτῐώτᾱ	στρᾰτῐώτᾱ	#	1														
soldier	dual 	masculine	latin	stratiṓtā	stratiṓtain	stratiṓtain	stratiṓtā	stratiṓtā	#	1														
soldier	plural	masculine	greek	στρᾰτῐῶται	στρᾰτῐωτῶν	στρᾰτῐώταις	στρᾰτῐώτᾱς	στρᾰτῐῶται	#	1														
soldier	plural	masculine	latin	stratiôtai	stratiōtôn	stratiṓtais	stratiṓtās	stratiôtai	#	1														
									#															
polity	singular 	feminine	greek	πολῑτείᾱ	πολῑτείᾱς	πολῑτείᾳ	πολῑτείᾱν	πολῑτείᾱ	#	1														
polity	singular 	feminine	latin	polīteíā	polīteíās	polīteíāi	polīteíān	polīteíā	#	1														
polity	dual 	feminine	greek	πολῑτείᾱ	πολῑτείαιν	πολῑτείαιν	πολῑτείᾱ	πολῑτείᾱ	#	1														
polity	dual 	feminine	latin	polīteíā	polīteíain	polīteíain	polīteíā	polīteíā	#	1														
polity	plural	feminine	greek	πολῑτεῖαι	πολῑτειῶν	πολῑτείαις	πολῑτείᾱς	πολῑτεῖαι	#	1														
polity	plural	feminine	latin	polīteîai	polīteiôn	polīteíais	polīteíās	polīteîai	#	1														
									#															
village	singular 	feminine	greek	κώμη	κώμης	κώμῃ	κώμην	κώμη	#	1														
village	singular 	feminine	latin	kṓmē	kṓmēs	kṓmēi	kṓmēn	kṓmē	#	1														
village	dual 	feminine	greek	κώμᾱ	κώμαιν	κώμαιν	κώμᾱ	κώμᾱ	#	1														
village	dual 	feminine	latin	kṓmā	kṓmain	kṓmain	kṓmā	kṓmā	#	1														
village	plural	feminine	greek	κῶμαι	κωμῶν	κώμαις	κώμᾱς	κῶμαι	#	1														
village	plural	feminine	latin	kômai	kōmôn	kṓmais	kṓmās	kômai	#	1														
									#															
person	singular 	masculine	greek	ἄνθρωπος	ἀνθρώπου	ἀνθρώπῳ	ἄνθρωπον	ἄνθρωπε	#	2														
person	singular 	masculine	latin	ánthrōpos	anthrṓpou	anthrṓpōi	ánthrōpon	ánthrōpe	#	2														
person	dual 	masculine	greek	ἀνθρώπω	ἀνθρώποιν	ἀνθρώποιν	ἀνθρώπω	ἀνθρώπω	#	2														
person	dual 	masculine	latin	anthrṓpō	anthrṓpoin	anthrṓpoin	anthrṓpō	anthrṓpō	#	2														
person	plural	masculine	greek	ἄνθρωποι	ἀνθρώπων	ἀνθρώποις	ἀνθρώπους	ἄνθρωποι	#	2														
person	plural	masculine	latin	ánthrōpoi	anthrṓpōn	anthrṓpois	anthrṓpous	ánthrōpoi	#	2														
																								
person	singular 	feminine	greek	ἄνθρωπος	ἀνθρώπου	ἀνθρώπῳ	ἄνθρωπον	ἄνθρωπε	#	2														
person	singular 	feminine	latin	ánthrōpos	anthrṓpou	anthrṓpōi	ánthrōpon	ánthrōpe	#	2														
person	dual 	feminine	greek	ἀνθρώπω	ἀνθρώποιν	ἀνθρώποιν	ἀνθρώπω	ἀνθρώπω	#	2														
person	dual 	feminine	latin	anthrṓpō	anthrṓpoin	anthrṓpoin	anthrṓpō	anthrṓpō	#	2														
person	plural	feminine	greek	ἄνθρωποι	ἀνθρώπων	ἀνθρώποις	ἀνθρώπους	ἄνθρωποι	#	2														
person	plural	feminine	latin	ánthrōpoi	anthrṓpōn	anthrṓpois	anthrṓpous	ánthrōpoi	#	2														
									#															
street	singular 	feminine	greek	ὁδός	ὁδοῦ	ὁδῷ	ὁδόν	ὁδέ	#	2														
street	singular 	feminine	latin	hodós	hodoû	hodôi	hodón	hodé	#	2														
street	dual 	feminine	greek	ὁδώ	ὁδοῖν	ὁδοῖν	ὁδώ	ὁδώ	#	2														
street	dual 	feminine	latin	hodṓ	hodoîn	hodoîn	hodṓ	hodṓ	#	2														
street	plural	feminine	greek	ὁδοί	ὁδῶν	ὁδοῖς	ὁδούς	ὁδοί	#	2														
street	plural	feminine	latin	hodoí	hodôn	hodoîs	hodoús	hodoí	#	2														
									#															
gift	singular 	neuter	greek	δῶρον	δώρου	δώρῳ	δῶρον	δῶρον	#	2														
gift	singular 	neuter	latin	dôron	dṓrou	dṓrōi	dôron	dôron	#	2														
gift	dual 	neuter	greek	δώρω	δώροιν	δώροιν	δώρω	δώρω	#	2														
gift	dual 	neuter	latin	dṓrō	dṓroin	dṓroin	dṓrō	dṓrō	#	2														
gift	plural	neuter	greek	δῶρᾰ	δώρων	δώροις	δῶρᾰ	δῶρᾰ	#	2														
gift	plural	neuter	latin	dôra	dṓrōn	dṓrois	dôra	dôra	#	2														
									#															
circumnavigation	singular 	masculine	greek	περίπλους	περίπλου	περίπλῳ	περίπλουν	περίπλου	#	2														
circumnavigation	dual 	masculine	greek	περίπλω	περίπλοιν	περίπλοιν	περίπλω	περίπλω	#	2														
circumnavigation	plural 	masculine	greek	περίπλοι	περίπλων	περίπλοις	περίπλους	περίπλοι	#	2														
									#															
bone	singular 	neuter	greek	ὀστοῦν	ὀστοῦ	ὀστῷ	ὀστοῦν	ὀστοῦν	#	2														
bone	singular 	neuter	latin	ostoûn	ostoû	ostôi	ostoûn	ostoûn 	#	2														
bone	dual 	neuter	greek	ὀστώ	ὀστοῖν	ὀστοῖν	ὀστώ	ὀστώ	#	2														
bone	dual 	neuter	latin	ostṓ	ostoîn	ostoîn	ostṓ	ostṓ 	#	2														
bone	plural	neuter	greek	ὀστᾶ	ὀστῶν	ὀστοῖς	ὀστᾶ	ὀστᾶ	#	2														
bone	plural	neuter	latin	ostâ	ostôn	ostoîs	ostâ	ostâ 	#	2														
									#															
hero	singular 	masculine	greek	ἥρως	ἥρωος	ἥρῳ / ἥρωῐ̈	ἥρω / ἥρωᾰ	ἥρως	#	3														
hero	singular 	masculine	latin	hḗrōs	hḗrōos	hḗrōi / hḗrōï	hḗrō / hḗrōa	hḗrōs	#	3														
hero	dual 	masculine	greek	ἥρωε	ἡρώοιν	ἡρώοιν	ἥρωε	ἥρωε	#	3														
hero	dual 	masculine	latin	hḗrōe	hērṓoin	hērṓoin	hḗrōe	hḗrōe	#	3														
hero	plural	masculine	greek	ἥρωες	ἡρώων	ἥρωσῐ / ἥρωσῐν	ἥρωᾰς	ἥρωες	#	3														
hero	plural	masculine	latin	hḗrōes	hērṓōn	hḗrōsi(n)	hḗrōas	hḗrōes	#	3														
									#															
fish	singular 	masculine	greek	ἰχθῡ́ς	ἰχθῠ́ος	ἰχθῠ́ῐ̈	ἰχθῡ́ν / ἰχθῠ́ᾰ	ἰχθῡ́	#	3														
fish	singular 	masculine	latin	ikhthū́s	ikhthúos	ikhthúï	ikhthū́n / ikhthúa	ikhthū́	#	3														
fish	dual 	masculine	greek	ἰχθῠ́ε	ἰχθῠ́οιν	ἰχθῠ́οιν	ἰχθῠ́ε	ἰχθῠ́ε	#	3														
fish	dual 	masculine	latin	ikhthúe	ikhthúoin	ikhthúoin	ikhthúe	ikhthúe	#	3														
fish	plural	masculine	greek	ἰχθῠ́ες	ἰχθῠ́ων	ἰχθῠ́σῐ / ἰχθῠ́σῐν	ἰχθῦς / ἰχθῠ́ᾰς	ἰχθῠ́ες	#	3														
fish	plural	masculine	latin	ikhthúes	ikhthúōn	ikhthúsi(n)	ikhthûs / ikhthúas	ikhthúes	#	3														
									#															
oak	singular 	feminine	greek	δρῦς	δρῠός	δρῠῐ̈́	δρῦν	δρῦ	#	3														
oak	singular 	feminine	latin	drûs	druós	druḯ	drûn	drû	#	3														
oak	dual 	feminine	greek	δρῠ́ε	δρῠοῖν	δρῠοῖν	δρῠ́ε	δρῠ́ε	#	3														
oak	dual 	feminine	latin	drúe	druoîn	druoîn	drúe	drúe	#	3														
oak	plural	feminine	greek	δρῠ́ες	δρῠῶν	δρῠσῐ́ / δρῠσῐ́ν	δρῦς / δρῠ́ᾰς	δρῠ́ες	#	3														
oak	plural	feminine	latin	drúes	druôn	drusí(n)	drûs / drúas	drúes	#	3														
									#															
city	singular 	feminine	greek	πόλῐς	πόλεως	πόλει	πόλῐν	πόλῐ	#	3														
city	singular 	feminine	latin	pólis	póleōs	pólei	pólin	póli	#	3														
city	dual 	feminine	greek	πόλει	πολέοιν	πολέοιν	πόλει	πόλει	#	3														
