*	*	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	foreign	native	foreign	foreign	foreign	
*	*	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	latin	greek	greek	greek	emoji
*	*	infinitive	participle	participle	participle	infinitive	participle	participle	participle	infinitive	participle	participle	participle	infinitive	participle	participle	participle	infinitive	participle	participle	participle					
*	*	present	present	present	present	future	future	future	future	past	past	past	past	present	present	present	present	future	future	future	future					
*	*	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	aorist	perfective	perfective	perfective	perfective	perfective	perfective	perfective	perfective	argument	argument	argument	argument	argument
*	*		masculine	feminine	neuter		masculine	feminine	neuter		masculine	feminine	neuter		masculine	feminine	neuter		masculine	feminine	neuter		neuter	masculine	feminine	
*	*		singular	singular	singular		singular	singular	singular		singular	singular	singular		singular	singular	singular		singular	singular	singular		singular	singular	singular	
be	active	εἶναι	ὤν	οὖσα	ὄν	ἔσεσθαι	ἐσόμενος	ἐσομένη	ἐσόμενον													well	ὑγῐές	ὑγῐῆ	ὑγῐᾶ	\nx{🧘\cx\gx}
go	active	ἰέναι	ἰών	ἰοῦσα	ἰόν		ὤν	οὖσα	ὄν													to the temple	τῷ ἱερῷ	τῷ ἱερῷ	τῷ ἱερῷ	<big>🏛️</big><span style='font-size:60%'>←\nx{🚶\cx\gx}</span>
release	active	λῡ́ειν	λῡ́ων	λῡ́ουσα	λῦον	λῡ́σειν	λῡ́σων	λῡ́σουσα	λῦσον 	λῦσαι	λῡ́σας	λῡ́σασα	λῦσαν	λελυκέναι	λελυκώς	λελυκυῖα	λελυκός					the dog	τὴν κῠ́νᾰ	τὴν κῠ́νᾰ	τὴν κῠ́νᾰ	←<span style='font-size:60%'>🐕</span><big>\nx{🧎\cx\gx}</big>
release	middle	λῡ́εσθαι	λῡόμενος	λῡομένη	λῡόμενον	λῡ́σεσθαι	λυθησόμενος	λυθησομένη	λυθησόμενον	λυθῆναι	λυθείς	λυθεῖσα	λυθέν	λελύσθαι	λελυμένος	λελυμένη	λελυμένον	*λελύσεσθαι	*λελυσόμενος	*λελυσομένη	*λελυσόμενον	by the guard	ἀπό τοῦ τηροῦ	ἀπό τοῦ τηροῦ	ἀπό τοῦ τηροῦ	←\nx{🧑\gx\cx}💂\c4
release	passive	λῡ́εσθαι	λῡόμενος	λῡομένη	λῡόμενον	λυθήσεσθαι	λυθησόμενος	λυθησομένη	λυθησόμενον	λυθῆναι	λυθείς	λυθεῖσα	λυθέν	λελύσθαι	λελυμένος	λελυμένη	λελυμένον	*λελύσεσθαι	*λελυσόμενος	*λελυσομένη	*λελυσόμενον	by the guard	ἀπό τοῦ τηροῦ	ἀπό τοῦ τηροῦ	ἀπό τοῦ τηροῦ	←\nx{🧑\gx\cx}💂\c4
