*	*	*	*	*	nominative 	genitive 	dative 	accusative 	vocative 	#attic																
singular-possessor	1st-possessor	singular	masculine	greek	ἐμός	ἐμοῦ	ἐμῷ	ἐμόν	ἐμέ																	
singular-possessor	1st-possessor	singular	masculine	latin	emós 	emoû 	emôi 	emón 	emé 																	
singular-possessor	1st-possessor	singular	feminine	greek	ἐμή	ἐμῆς	ἐμῇ	ἐμήν	ἐμή																	
singular-possessor	1st-possessor	singular	feminine	latin	emḗ 	emês 	emêi 	emḗn 	emḗ 																	
singular-possessor	1st-possessor	singular	neuter	greek	ἐμόν	ἐμοῦ	ἐμῷ	ἐμόν	ἐμόν																	
singular-possessor	1st-possessor	singular	neuter	latin	emón 	emoû 	emôi 	emón 	emón 																	
																										
singular-possessor	1st-possessor	dual	masculine	greek	ἐμώ	ἐμοῖν	ἐμοῖν	ἐμώ	ἐμώ																	
singular-possessor	1st-possessor	dual	masculine	latin	emṓ 	emoîn 	emoîn 	emṓ 	emṓ 																	
singular-possessor	1st-possessor	dual	feminine	greek	ἐμᾱ́	ἐμαῖν	ἐμαῖν	ἐμᾱ́	ἐμᾱ́																	
singular-possessor	1st-possessor	dual	feminine	latin	emā́ 	emaîn 	emaîn 	emā́ 	emā́ 																	
singular-possessor	1st-possessor	dual	neuter	greek	ἐμώ	ἐμοῖν	ἐμοῖν	ἐμώ	ἐμώ																	
singular-possessor	1st-possessor	dual	neuter	latin	emṓ 	emoîn 	emoîn 	emṓ 	emṓ 																	
																										
singular-possessor	1st-possessor	plural	masculine	greek	ἐμοί	ἐμῶν	ἐμοῖς	ἐμούς	ἐμοί																	
singular-possessor	1st-possessor	plural	masculine	latin	emoí 	emôn 	emoîs 	emoús 	emoí 																	
singular-possessor	1st-possessor	plural	feminine	greek	ἐμαί	ἐμῶν	ἐμαῖς	ἐμᾱ́ς	ἐμαί																	
singular-possessor	1st-possessor	plural	feminine	latin	emaí 	emôn 	emaîs 	emā́s 	emaí 																	
singular-possessor	1st-possessor	plural	neuter	greek	ἐμᾰ́	ἐμῶν	ἐμοῖς	ἐμᾰ́	ἐμᾰ́																	
singular-possessor	1st-possessor	plural	neuter	latin	emá	emôn	emoîs	emá	emá 																	
																										
plural-possessor	1st-possessor	singular	masculine	greek	ἡμέτερος	ἡμετέρου	ἡμετέρῳ	ἡμέτερον	ἡμέτερε																	
plural-possessor	1st-possessor	singular	masculine	latin	hēméteros 	hēmetérou 	hēmetérōi 	hēméteron 	hēmétere 																	
plural-possessor	1st-possessor	singular	feminine	greek	ἡμετέρᾱ	ἡμετέρᾱς	ἡμετέρᾳ	ἡμετέρᾱν	ἡμετέρᾱ																	
plural-possessor	1st-possessor	singular	feminine	latin	hēmetérā 	hēmetérās 	hēmetérāi 	hēmetérān 	hēmetérā 																	
