*	*	*	*	*	nominative 	genitive 	dative 	accusative 	vocative 	#epic																
singular-possessor	1-possessor	singular	masculine	greek	ἐμός	ἐμοῦ / ἐμοῖο / ἐμόο	ἐμῷ	ἐμόν	ἐμέ																	
singular-possessor	1-possessor	singular	masculine	latin	emós 	emoû / emoîo / emóo 	emôi 	emón 	emé 																	
singular-possessor	1-possessor	singular	feminine	greek	ἐμή	ἐμῆς	ἐμῇ	ἐμήν	ἐμή																	
singular-possessor	1-possessor	singular	feminine	latin	emḗ 	emês 	emêi 	emḗn 	emḗ 																	
singular-possessor	1-possessor	singular	neuter	greek	ἐμόν	ἐμοῦ / ἐμοῖο / ἐμόο	ἐμῷ	ἐμόν	ἐμόν																	
singular-possessor	1-possessor	singular	neuter	latin	emón 	emoû / emoîo / emóo 	emôi 	emón 	emón 																	
																										
singular-possessor	1-possessor	dual	masculine	greek	ἐμώ	ἐμοῖῐν	ἐμοῖῐν	ἐμώ	ἐμώ																	
singular-possessor	1-possessor	dual	masculine	latin	emṓ 	emoîin 	emoîin 	emṓ 	emṓ 																	
singular-possessor	1-possessor	dual	feminine	greek	ἐμᾱ́	ἐμαῖν / ἐμαῖῐν / ἐμῇῐν	ἐμαῖν / ἐμαῖῐν / ἐμῇῐν	ἐμᾱ́	ἐμᾱ́																	
singular-possessor	1-possessor	dual	feminine	latin	emā́ 	emaî(i)n / emêiin 	emaî(i)n / emêiin 	emā́ 	emā́ 																	
singular-possessor	1-possessor	dual	neuter	greek	ἐμώ	ἐμοῖῐν	ἐμοῖῐν	ἐμώ	ἐμώ																	
singular-possessor	1-possessor	dual	neuter	latin	emṓ 	emoîin 	emoîin 	emṓ 	emṓ 																	
																										
singular-possessor	1-possessor	plural	masculine	greek	ἐμοί	ἐμῶν	ἐμοῖσῐ / ἐμοῖσῐν / ἐμοῖς	ἐμούς	ἐμοί																	
singular-possessor	1-possessor	plural	masculine	latin	emoí 	emôn 	emoîsi(n) / emoîs 	emoús 	emoí 																	
singular-possessor	1-possessor	plural	feminine	greek	ἐμαί	ἐμᾱ́ων / ἐμέ͜ων / ἐμῶν	ἐμῇσῐ / ἐμῇσῐν / ἐμῇς / ἐμαῖς	ἐμᾱ́ς	ἐμαί																	
singular-possessor	1-possessor	plural	feminine	latin	emaí 	emā́ōn / emé͜ōn / emôn 	emêisi(n) / emêis / emaîs 	emā́s 	emaí 																	
singular-possessor	1-possessor	plural	neuter	greek	ἐμᾰ́	ἐμῶν	ἐμοῖσῐ / ἐμοῖσῐν / ἐμοῖς	ἐμᾰ́	ἐμᾰ́																	
singular-possessor	1-possessor	plural	neuter	latin	emá	emôn	emoîsi(n) / emoîs	emá	emá 																	
																										
plural-possessor	1-possessor	singular	masculine	greek	ἡμέτερος	ἡμετέρου / ἡμετεροῖο / ἡμετέροιο / ἡμετερόο / ἡμετέροο	ἡμετέρῳ	ἡμέτερον	ἡμέτερε																	
plural-possessor	1-possessor	singular	masculine	latin	hēméteros 	hēmetérou / hēmeteroîo / hēmetéroio / hēmeteróo / hēmetéroo 	hēmetérōi 	hēméteron 	hēmétere 																	
plural-possessor	1-possessor	singular	feminine	greek	ἡμετέρη	ἡμετέρης	ἡμετέρῃ	ἡμετέρην	ἡμετέρη																	
plural-possessor	1-possessor	singular	feminine	latin	hēmetérē 	hēmetérēs 	hēmetérēi 	hēmetérēn 	hēmetérē 																	
