*	*	*	*	nominative	genitive	dative	accusative	vocative	#	koine
the	singular	masculine	greek	ὁ	τοῦ	τῷ	τόν		#	
the	singular	masculine	latin	ho 	toû 	tôi 	tón 		#	
the	singular	feminine	greek	ἡ	τῆς	τῇ	τήν		#	
the	singular	feminine	latin	hē 	tês 	têi 	tḗn 		#	
the	singular	neuter	greek	τό	τοῦ	τῷ	τό		#	
the	singular	neuter	latin	tó 	toû 	tôi 	tó 		#	
									#	
the	dual	masculine	greek	τώ	τοῖν	τοῖν	τώ		#	
the	dual	masculine	latin	tṓ 	toîn 	toîn 	tṓ 		#	
the	dual	feminine	greek	τώ	τοῖν	τοῖν	τώ		#	
the	dual	feminine	latin	tṓ 	toîn 	toîn 	tṓ 		#	
the	dual	neuter	greek	τώ	τοῖν	τοῖν	τώ		#	
the	dual	neuter	latin	tṓ 	toîn 	toîn 	tṓ 		#	
									#	
the	plural	masculine	greek	οἱ	τῶν	τοῖς	τούς		#	
the	plural	masculine	latin	hoi 	tôn 	toîs 	toús 		#	
the	plural	feminine	greek	αἱ	τῶν	ταῖς	τᾱ́ς		#	
the	plural	feminine	latin	hai 	tôn 	taîs 	tā́s 		#	
the	plural	neuter	greek	τᾰ́	τῶν	τοῖς	τᾰ́		#	
the	plural	neuter	latin	tá	tôn	toîs	tá 		#	
