	infinitive 	infinitive 	infinitive 	participle 	participle 	participle 	noun 	noun 	noun 	supine 	supine 	supine 	
	cuneiform	transliteration	latin	cuneiform	transliteration	latin	cuneiform	transliteration	latin	cuneiform	transliteration	latin	
be	𒀀𒊭𒀭𒈾	a-ša-an-na	ašanna	𒀀𒊭𒀭𒍝	a-ša-an-za	ašanz	𒀀𒊭𒀜𒅈	a-ša-at-ar	ašātar	𒂊𒋗𒉿𒀭	e-šu-wa-an 	ēšuan	consonant stem
cool	𒄿𒂵𒀀𒌋𒉿𒀭𒍣	i-ga-a-u-wa-an-zi	igāwanzi	𒄿𒂵𒀀𒀭𒍝	i-ga-a-an-za	igānz	𒄿𒂵𒀀𒌋𒉿𒅈	i-ga-a-u-wa-ar	igāwar	𒄿𒂵𒀀𒌋𒉿𒀭	i-ga-a-u-wa-an 	igāwan	-ai stem
become cold	𒄿𒆪𒉈𒌍𒋗𒉿𒀭𒍣	i-ku-ne-eš-šu-wa-an-zi	ikuneššuanzi	𒄿𒆪𒉈𒌍𒊭𒀭𒍝	i-ku-ne-eš-ša-an-za	ikuneššanz	𒄿𒆪𒉈𒌍𒌋𒉿𒅈	i-ku-ne-eš-šu-wa-ar	ikuneššuar	𒄿𒆪𒉈𒌍𒋗𒉿𒀭	i-ku-ne-eš-šu-wa-an 	ikuneššuan	-ešš stem
work	𒀭𒉌𒅀𒉿𒀭𒍣	an-ni-ya-wa-an-zi	anniyawanzi	𒀭𒉌𒅀𒀭𒍝	an-ni-ya-an-za	anniyanz	𒀭𒉌𒅀𒉿𒅈	an-ni-ya-wa-ar	anniyawar	𒀭𒉌𒅀𒉿𒀭	an-ni-ya-wa-an 	anniyawan	-ye stem
teach	𒀭𒈾𒉡𒈠𒀭𒍣	an-na-nu-ma-an-zi	annanumanzi	𒀭𒈾𒉡𒉿𒀭𒍝	an-na-nu-wa-an-za	annanuwanz	𒀭𒈾𒉡𒈠𒅈	an-na-nu-ma-ar	annanumar	𒀭𒈾𒉡𒈠𒀭	an-na-nu-ma-an 	annanuman	-nu stem
eat	𒀀𒁕𒀭𒈾	a-da-an-na	adanna	𒀀𒁕𒀭𒍝	a-da-an-za	adanz	𒀀𒁕𒀜𒅈	a-da-at-ar	adātar	𒂊𒁺𒉿𒀭	e-du-wa-an 	ēduan	irregular
burn	𒉿𒊏𒀭𒈾	wa-ra-an-na	waranna	𒉿𒊏𒀭𒍝	wa-ra-an-za	waranz	𒉿𒊏𒀜𒅈	wa-ra-at-ar	warātar	𒉿𒊒𒉿𒀭	wa-ru-wa-an 	waruan	irregular
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
