*	*	*	nominative	vocative	accusative 	genitive 	dative 	instrumental 	locative 	#	
wide	singular	feminine	litan-ā	litan-a	litan-in	litan-ās	litan-ī	litan-ī, litan-iā	litan-ī	#	o/a stem
wide	singular	masculine	litan-os	litan-e	litan-on	litan-ī	litan-ū	litan-ū	litan-ē	#	
wide	singular	neuter	litan-on	litan-on	litan-on	litan-ī	litan-ū	litan-ū	litan-ē	#	
wide	plural	feminine	litan-ās	litan-ās	litan-ās	litan-ānon	litan-ābo	litan-ābi	litan-ābi	#	
wide	plural	masculine	litan-ii	litan-ūs	litan-ūs	litan-on	litan-obo	litan-obi	litan-obi	#	
wide	plural	neuter	litan-ā	litan-ā	litan-ā	litan-on	litan-obo	litan-obi	litan-obi	#	
proper	singular	feminine	couīr-is	couīr-i	couīr-in	couīr-iās	couīr-ē	couīr-ī	couīr-ī	#	i-stem
proper	singular	masculine	couīr-is	couīr-i	couīr-in	couīr-ēs	couīr-ē	couīr-ī	couīr-ī	#	
proper	singular	neuter	couīr-i	couīr-i	couīr-i	couīr-ēs	couīr-ē	couīr-ī	couīr-ī	#	
proper	plural	feminine	couīr-ies	couīr-ies	couīr-īs	couīr-ion	couīr-ibo	couīr-ibi	couīr-ibi	#	
proper	plural	masculine	couīr-ies	couīr-ies	couīr-īs	couīr-ion	couīr-ibo	couīr-ibi	couīr-ibi	#	
proper	plural	neuter	couīr-iā	couīr-iā	couīr-iā	couīr-ion	couīr-ibo	couīr-ibi	couīr-ibi	#	
black	singular	feminine	dub-us	dub-u	dub-uin	dub-uās	dub-uī	dub-uī	dub-uī	#	u-stem
black	singular	masculine	dub-us	dub-u	dub-un	dub-ous, dub-ōs	dub-ou, dub-ō	dub-ū	dub-ū	#	
black	singular	neuter	dub-u	dub-u	dub-u	dub-ous, dub-ōs	dub-ou, dub-ō	dub-ū	dub-ū	#	
black	plural	feminine	dub-iās	dub-iās	dub-iās	dub-uion	dub-uābo	dub-uābi	dub-uābi	#	
black	plural	masculine	dub-iies	dub-iies	dub-ūs	dub-uion	dub-uibo	dub-uibi	dub-uibi	#	
black	plural	neuter	dub-iā	dub-iā	dub-iā	dub-uion	dub-uibo	dub-uibi	dub-uibi	#	
doomed	singular	feminine	trūx-s	trūx-s, trūc	trūc-en	trūc-os	trūc-ē	trūc-ī	trūc-ī	#	constant stem
doomed	singular	masculine	trūx-s	trūx-s, trūc	trūc-en	trūc-os	trūc-ē	trūc-ī	trūc-ī	#	
doomed	singular	neuter	trūx-s, trūc	trūx-s, trūc	trūx-s, trūc	trūc-os	trūc-ē	trūc-ī	trūc-ī	#	
doomed	plural	feminine	trūc-es	trūc-es	trūc-ās	trūc-on	trūc-obo	trūc-obi	trūc-obi	#	
doomed	plural	masculine	trūc-es	trūc-es	trūc-ās	trūc-on	trūc-obo	trūc-obi	trūc-obi	#	
doomed	plural	neuter	trūc-ā	trūc-ā	trūc-ā	trūc-on	trūc-obo	trūc-obi	trūc-obi	#	
old	singular	feminine	sen-ā	sen-a	sen-in	sen-ās	sen-ī	sen-ī, sen-iā	sen-ī	#	o/a stem
old	singular	masculine	sen-os	sen-e	sen-on	sen-ī	sen-ū	sen-ū	sen-ē	#	
old	singular	neuter	sen-on	sen-on	sen-on	sen-ī	sen-ū	sen-ū	sen-ē	#	
old	plural	feminine	sen-ās	sen-ās	sen-ās	sen-ānon	sen-ābo	sen-ābi	sen-ābi	#	
old	plural	masculine	sen-ii	sen-ūs	sen-ūs	sen-on	sen-obo	sen-obi	sen-obi	#	
old	plural	neuter	sen-ā	sen-ā	sen-ā	sen-on	sen-obo	sen-obi	sen-obi	#	
good	singular	feminine	dag-ā	dag-a	dag-in	dag-ās	dag-ī	dag-ī, dag-iā	dag-ī	#	o/a stem
good	singular	masculine	dag-os	dag-e	dag-on	dag-ī	dag-ū	dag-ū	dag-ē	#	
good	singular	neuter	dag-on	dag-on	dag-on	dag-ī	dag-ū	dag-ū	dag-ē	#	
good	plural	feminine	dag-ās	dag-ās	dag-ās	dag-ānon	dag-ābo	dag-ābi	dag-ābi	#	
good	plural	masculine	dag-ii	dag-ūs	dag-ūs	dag-on	dag-obo	dag-obi	dag-obi	#	
good	plural	neuter	dag-ā	dag-ā	dag-ā	dag-on	dag-obo	dag-obi	dag-obi	#	
bad	singular	feminine	druc-ā	druc-a	druc-in	druc-ās	druc-ī	druc-ī, druc-iā	druc-ī	#	o/a stem
bad	singular	masculine	druc-os	druc-e	druc-on	druc-ī	druc-ū	druc-ū	druc-ē	#	
bad	singular	neuter	druc-on	druc-on	druc-on	druc-ī	druc-ū	druc-ū	druc-ē	#	
bad	plural	feminine	druc-ās	druc-ās	druc-ās	druc-ānon	druc-ābo	druc-ābi	druc-ābi	#	
bad	plural	masculine	druc-ii	druc-ūs	druc-ūs	druc-on	druc-obo	druc-obi	druc-obi	#	
bad	plural	neuter	druc-ā	druc-ā	druc-ā	druc-on	druc-obo	druc-obi	druc-obi	#	
