	indefinite	negative	interrogative	demonstrative	identitative	alternative	universal
animate	someone	no one	who?	this, that	the same	another	all, every
	nepos	ne donios	peis?	sos, īs	somos	allos	ollos, pāpos
inanimate	something	nothing	what?	this, that	the same	another	all, every
	nepidā	ne pettiā	pidā?	so, id	somon	allon	"ollon, pāpi"""
disjunctive	either		which?			the other	
	nepoteros		poteros?			"altros, anteros"""	
source	from somewhere	from where?	from there	from the same place	from elsewhere	from everywhere	
	nepanā	panā?	endes	sampanā	allopanā	ollopanā	
destination	to somewhere	to where?	to there	to the same place	to elsewhere	to everywhere	
	necutrō	cutrō?	entro	sancutrō	allocu	ollocutrō	
locative	somewhere	nowhere	where?	there	in the same place	elsewhere	everywhere
	necu(ti)	ne legos	cuti?, puts?	endo	sancu(ti)	allocu(ti)	ollocu(ti)
temporal	sometimes	never	when?	then	at the same time	another time	always
	neponī, neponc	nāiui	ponī?, ponc?	toni	samponī, samponc	alloponī, alloponc	aiuī
qualitative	some sort	none, no such	what kind?, what sort?	such	the same type	another type	all kinds
	nepoios, nepoiācos	ne ixsos	poios?, poiācos?	ixsos	somios	allācos	ollācos
quantitative	somewhat	none, no amount	how much?	so much, so many	as much	a different amount	all, whole
	nepeti	ne oinos	peti?	soti	sampeti	allopeti	cantos
manner	somehow	no way	how?	so, thus	in the same way	another way	in every way
	nepū	ne inti	pū?, pō?	suā, ita	inti somon	inti allon	inti ollon
reason	for some reason	for no reason	why?	therefore, so	for the same reason	for another reason	for every reason
	neperi	ne pēllin	peri?	canti, ita	samperi	alloperi	olloperi
							
							
							
							
							
							
							
							
							
							
							
							
