*	*		*	active	active	active	active	passive	passive	passive	passive	#											
*	*		*	indicative	indicative	subjunctive	subjunctive	indicative	indicative	subjunctive	subjunctive	#											
*	*	*	*	singular	plural	singular	plural	singular	plural	singular	plural	#											
inhabit	simple	1	present	atrebā-iū	atrebā-mos	atrebā-n	atrebā-omos	atrebā-iūr	atrebā-mor	atrebā-r	atrebā-omor	#											
inhabit	simple	2	present	atrebā-i	atrebā-te	atrebā-ii	atrebā-ite	atrebā-tar	atrebā-te	atrebā-itar	atrebā-ite	#											
inhabit	simple	3	present	atrebā-t	atrebā-nt	atrebā-it	atrebā-ont	atrebā-tor	atrebā-ntor	atrebā-itor	atrebā-ontor	#											
inhabit	simple	1	future	atrebā-siū	atrebā-siomos	—	—	atrebā-siūr	atrebā-siomor	—	—	#											
inhabit	simple	2	future	atrebā-sies	atrebā-siete	—	—	atrebā-sietar	atrebā-siete	—	—	#											
inhabit	simple	3	future	atrebā-siet	atrebā-siont	—	—	atrebā-sietor	atrebā-siontor	—	—	#											
inhabit	imperfective	1	past	atrebā-nna	atrebā-mes	—	—	atrebā-nnar	atrebā-mor	—	—	#											
inhabit	imperfective	2	past	atrebāt-ās	atrebā-tē	—	—	atrebāt-ār	atrebā-tē	—	—	#											
inhabit	imperfective	3	past	atrebā-to	atrebā-nto	—	—	atrebā-tor	atrebā-ntor	—	—	#											
inhabit	perfective	1	past	atrebā-ssū	atrebā-ssamos	atrebā-ssīn	atrebā-ssīmos	atrebāt-ā/-os immi	atrebāt-ās/-oi emos	atrebāt-ā/-os buiū	atrebāt-ās/-oi buomos	#											
inhabit	perfective	2	past	atrebā-sses	atrebā-ssate	atrebā-ssīs	atrebā-ssītē	atrebāt-ā/-os ei	atrebāt-ās/-oi esue	atrebāt-ā/-os bues	atrebāt-ās/-oi buete	#											
inhabit	perfective	3	past	atrebā-sset	atrebā-ssar	atrebā-ssīt	atrebā-ssīnt	atrebāt-ā/-os essi	atrebāt-ās/-oi sent	atrebāt-ā/-os buet	atrebāt-ās/-oi buont	#											
occupy	simple	1	present	atrebā-iū	atrebā-mos	atrebā-n	atrebā-omos	atrebā-iūr	atrebā-mor	atrebā-r	atrebā-omor	#	A1										
occupy	simple	2	present	atrebā-i	atrebā-te	atrebā-ii	atrebā-ite	atrebā-tar	atrebā-te	atrebā-itar	atrebā-ite	#											
occupy	simple	3	present	atrebā-t	atrebā-nt	atrebā-it	atrebā-ont	atrebā-tor	atrebā-ntor	atrebā-itor	atrebā-ontor	#											
occupy	simple	1	future	atrebā-siū	atrebā-siomos	—	—	atrebā-siūr	atrebā-siomor	—	—	#											
occupy	simple	2	future	atrebā-sies	atrebā-siete	—	—	atrebā-sietar	atrebā-siete	—	—	#											
