*	foreign	foreign	foreign	native	foreign	emoji
*	infinitive	participle	participle	argument	argument	
*		present	past			
have   	avoir     	ayant             	eu             	cash     	de l'argent	\nx{💁\cx\gx}<sup>💶</sup> 
be     	être      	étant             	été            	well	bien	\nx{🧘\cx\gx}
go     	aller     	allant            	allé           	the store	la boutique	<big>🏬</big><span style='font-size:60%'>←\nx{🚶\cx\gx}</span>
speak  	parler    	parlant           	parlé          	french   	français   	\nx{🧑\gx\cx}<sup>💬</sup> 
choose 	choisir   	choisissant       	choisi         	an outfit	une tenue	<sup style='font-size:50%'>🧥👕</sup>\nx{🧍\cx\gx}
lose   	perdre    	perdant           	perdu          	cash     	de l'argent	\nx{💁\cx\gx}💸→
receive	recevoir  	recevant          	reçu           	cash     	de l'argent	\nx{💁\cx\gx}←💸
						
						
						
						
						
						
						
						
