*	*	*	*	possessive
1-possessor	singular-possessor		         	mein      
2-possessor	singular-possessor	familiar-possessor	         	dein      
2-possessor	singular-possessor	polite-possessor	masculine	sein      
3-possessor	singular-possessor		masculine	sein      
3-possessor	singular-possessor		feminine 	ihr       
3-possessor	singular-possessor		neuter   	sein      
1-possessor	plural-possessor		neuter   	unser     
2-possessor	singular-possessor	elevated-possessor	neuter   	Euer      
2-possessor	plural-possessor	elevated-possessor	neuter   	Euer      
2-possessor	plural-possessor	familiar-possessor	neuter   	euer      
2-possessor	singular-possessor	polite-possessor	neuter   	Ihr       
2-possessor	plural-possessor	polite-possessor	neuter   	Ihr       
3-possessor	plural-possessor		neuter   	ihr       
