*	*	*	*	*	present	past							
appear	infinitive				(to) aparen	(to) aparen							
appear	indicative	singular	1		apere	apere							
appear	indicative	singular	2	informal	aperest	aperest							
appear	indicative	singular	2	formal	aperen, apere	aperen, apere							
appear	indicative	singular	3		apereth	apere							
appear	subjunctive	singular			apere	apere							
appear	imperative	singular			apere	—							
appear	indicative	plural			aperen, apere	aperen, apere							
appear	subjunctive	plural			aperen, apere	aperen, apere							
appear	imperative	plural			apereth, apere	—							
appear	participle				aperynge, aperende	aperet, apered							
be-inherently	infinitive				(to) been, be	(to) been, be							
be-inherently	indicative	singular	1		am, be	was							
be-inherently	indicative	singular	2	informal	art, bist	were							
be-inherently	indicative	singular	2	formal	aren, are, been, be	weren, were							
be-inherently	indicative	singular	3		is, bith	was							
be-inherently	subjunctive	singular			be	were							
be-inherently	imperative	singular			be	—							
be-inherently	indicative	plural			aren, are, been, be	weren, were							
be-inherently	subjunctive	plural			been, be	weren, were							
be-inherently	imperative	plural			beth, be	—							
be-inherently	participle				beynge, beende	been, be, ybeen, ybe							
change	infinitive				(to) wenden, wende	(to) wenden, wende							
change	indicative	singular	1		wende	wente, wende							
change	indicative	singular	2	informal	wendest	wentest, wendest							
change	indicative	singular	2	formal	wenden, wende	wenten, wente, wenden, wende							
change	indicative	singular	3		wendeth, went	wente, wende							
change	subjunctive	singular			wende	wente, wende							
change	imperative	singular			wende	—							
change	indicative	plural			wenden, wende	wenten, wente, wenden, wende							
change	subjunctive	plural			wenden, wende	wenten, wente, wenden, wende							
change	imperative	plural			wendeth, wende	—							
change	participle				wendynge, wendende	went, wend, ywent, ywend							
climb	infinitive				(to) climben, climbe	(to) climben, climbe							
climb	indicative	singular	1		climbe	clamb, climbed							
climb	indicative	singular	2	informal	climbest	clumbe, clamb, climbedest							
climb	indicative	singular	2	formal	climben, climbe	clumben, clumbe, climbeden, climbede							
climb	indicative	singular	3		climbeth	clamb, climbed							
climb	subjunctive	singular			climbe	clumbeᴱ, climbedᴱ							
climb	imperative	singular			climbe	—							
climb	indicative	plural			climben, climbe	clumben, clumbe, climbeden, climbede							
climb	subjunctive	plural			climben, climbe	clumben, clumbe, climbeden, climbede							
climb	imperative	plural			climbeth, climbe	—							
climb	participle				climbynge, climbende	clumben, clumbe, climbed, yclumben, yclumbe							
direct	infinitive				(to) dressen, dresse	(to) dressen, dresse							
direct	indicative	singular	1		dresse	dressed, dreste							
direct	indicative	singular	2	informal	dressest	dressedest, drestest							
direct	indicative	singular	2	formal	dressen, dresse	dresseden, dressede, dresten, dreste							
direct	indicative	singular	3		dresseth	dressed, dreste							
direct	subjunctive	singular			dresse	dressed, dreste							
direct	imperative	singular			dresse	—							
direct	indicative	plural			dressen, dresse	dresseden, dressede, dresten, dreste							
direct	subjunctive	plural			dressen, dresse	dresseden, dressede, dresten, dreste							
direct	imperative	plural			dresseth, dresse	—							
direct	participle				dressynge, dressende	dressed, drest, ydressed, ydrest							
eat	infinitive				(to) eten, ete	(to) eten, ete							
eat	indicative	singular	1		ete	at, et							
eat	indicative	singular	2	informal	etest, est	ete, ate, at							
eat	indicative	singular	2	formal	eten, ete	eten, ete, aten, ate							
eat	indicative	singular	3		eteth, et	at, et							
eat	subjunctive	singular			ete	eteᴱ, ateᴱ							
eat	imperative	singular			ete	—							
eat	indicative	plural			eten, ete	eten, ete, aten, ate							
eat	subjunctive	plural			eten, ete	eten, ete, aten, ate							
eat	imperative	plural			eteth, ete	—							
eat	participle				etynge, etende	eten, ete, yeten, yete							
fall	infinitive				(to) fallen, falle	(to) fallen, falle							
fall	indicative	singular	1		falle	fell, falde							
fall	indicative	singular	2	informal	fallest	felle, fell, faldest							
fall	indicative	singular	2	formal	fallen, falle	fellen, felle, falden, falde							
fall	indicative	singular	3		falleth	fell, falde							
fall	subjunctive	singular			falle	felleᴱ, faldeᴱ							
fall	imperative	singular			falle	—							
fall	indicative	plural			fallen, falle	fellen, felle, falden, falde							
fall	subjunctive	plural			fallen, falle	fellen, felle, falden, falde							
fall	imperative	plural			falleth, falle	—							
fall	participle				fallynge, fallende	fallen, falle, fald, yfallen, yfalle							
fly	infinitive				(to) flien, flie	(to) flien, flie							
fly	indicative	singular	1		flie	fleigh, flow, flew							
fly	indicative	singular	2	informal	fliest	flowe, flewe, fleigh, flow, flew							
fly	indicative	singular	2	formal	flien, flie	flowen, flowe, flewen, flewe							
fly	indicative	singular	3		flieth	fleigh, flow, flew							
fly	subjunctive	singular			flie	floweᴱ, fleweᴱ							
fly	imperative	singular			flie	—							
fly	indicative	plural			flien, flie	flowen, flowe, flewen, flewe							
fly	subjunctive	plural			flien, flie	flowen, flowe, flewen, flewe							
fly	imperative	plural			flieth, flie	—							
fly	participle				fliynge, fliende	flowen, flowe, yflowen, yflowe							
flow	infinitive				(to) flowen, flowe	(to) flowen, flowe							
flow	indicative	singular	1		flowe	flowed, flew							
flow	indicative	singular	2	informal	flowest	flowedest, flewe, flew							
flow	indicative	singular	2	formal	flowen, flowe	floweden, flowede, flewen, flewe							
flow	indicative	singular	3		floweth	flowed, flew							
flow	subjunctive	singular			flowe	flowedᴱ, fleweᴱ							
flow	imperative	singular			flowe	—							
flow	indicative	plural			flowen, flowe	floweden, flowede, flewen, flewe							
flow	subjunctive	plural			flowen, flowe	floweden, flowede, flewen, flewe							
flow	imperative	plural			floweth, flowe	—							
flow	participle				flowynge, flowende	flowed, flowen, yflowed, yflowen							
see	infinitive				(to) seen, see, sene	(to) seen, see, sene							
see	indicative	singular	1		see	saugh, seigh, saw, sey							
see	indicative	singular	2	informal	seest, sixt	sawe, seye, saugh, seigh, saw, sey							
see	indicative	singular	2	formal	seen, see	sawen, sawe, seyen, seye							
see	indicative	singular	3		seeth, sikth	saugh, seigh, saw, sey							
see	subjunctive	singular			see	saweᴱ, seyeᴱ							
see	imperative	singular			see	—							
see	indicative	plural			seen, see	sawen, sawe, seyen, seye							
see	subjunctive	plural			seen, see	sawen, sawe, seyen, seye							
see	imperative	plural			seeth, see	—							
see	participle				seynge, seende	(y)seen, (y)see, (y)seyn, (y)sey							
show	infinitive				(to) schewen, schewe	(to) schewen, schewe							
show	indicative	singular	1		schewe	schewed							
show	indicative	singular	2	informal	schewest	schewedest							
show	indicative	singular	2	formal	schewen, schewe	scheweden, schewede							
show	indicative	singular	3		scheweth	schewed							
show	subjunctive	singular			schewe	schewed							
show	imperative	singular			schewe	—							
show	indicative	plural			schewen, schewe	scheweden, schewede							
show	subjunctive	plural			schewen, schewe	scheweden, schewede							
show	imperative	plural			scheweth, schewe	—							
show	participle				schewynge, schewende	schewed, yschewed							
startle	infinitive				(to) fryghten, fryghte	(to) fryghten, fryghte							
startle	indicative	singular	1		fryghte	fryghted							
startle	indicative	singular	2	informal	fryghtest	fryghtedest							
startle	indicative	singular	2	formal	fryghten, fryghte	fryghteden, fryghtede							
startle	indicative	singular	3		fryghteth	fryghted							
startle	subjunctive	singular			fryghte	fryghted							
startle	imperative	singular			fryghte	—							
startle	indicative	plural			fryghten, fryghte	fryghteden, fryghtede							
startle	subjunctive	plural			fryghten, fryghte	fryghteden, fryghtede							
startle	imperative	plural			fryghteth, fryghte	—							
startle	participle				fryghtynge, fryghtende	fryghted, yfryghted							
swim	infinitive				(to) swymmen, swymme	(to) swymmen, swymme							
swim	indicative	singular	1		swymme	swam, swymmed							
swim	indicative	singular	2	informal	swymmest	swumme, swam, swymmedest							
