*	*	*	*	case	preposition	postposition					
#	subjectivity	motion	role								
	subject			nominative	∅	∅					
	addressee			oblique	∅	∅					
	direct-object			oblique	∅	∅					
	indirect-object			oblique	∅	∅					
	adnominal		possessor	oblique	of	∅					
	adverbial	departed	agent	oblique	by	∅					
	adverbial	associated	agent	oblique	by	∅					
	adverbial	acquired	agent	oblique	by	∅					
	adverbial	approached	agent	oblique	by	∅					
	adverbial	surpassed	agent	oblique	by	∅					
	adverbial	leveraged	agent	oblique	by	∅					
	adverbial	departed	force	oblique	by	∅					
	adverbial	associated	force	oblique	by	∅					
	adverbial	acquired	force	oblique	by	∅					
	adverbial	approached	force	oblique	by	∅					
	adverbial	surpassed	force	oblique	by	∅					
	adverbial	leveraged	force	oblique	by	∅					
	adverbial	departed	possessor	oblique	from [the possession of]	∅					
	adverbial	associated	possessor	oblique	of	∅					
	adverbial	acquired	possessor	oblique	to [the possession of]	∅					
	adverbial	approached	possessor	oblique	towards [the possession of]	∅					
	adverbial	surpassed	possessor	oblique	beyond [the possession of]	∅					
	adverbial	leveraged	possessor	oblique	[due to the possession of]	∅					
	adverbial	departed	location	oblique	away from	∅					
	adverbial	associated	location	oblique	by	∅					
	adverbial	acquired	location	oblique	to	∅					
	adverbial	approached	location	oblique	towards	∅					
	adverbial	surpassed	location	oblique	past	∅					
	adverbial	leveraged	location	oblique	along	∅					
	adverbial	departed	extent	oblique	starting from	∅					
	adverbial	associated	extent	oblique	beside	∅					
	adverbial	acquired	extent	oblique	up to	∅					
	adverbial	approached	extent	oblique	towards [the edge of]	∅					
	adverbial	surpassed	extent	oblique	past [the edge of]	∅					
	adverbial	leveraged	extent	oblique	along [the edges of]	∅					
	adverbial	departed	vicinity	oblique	from around	∅					
	adverbial	associated	vicinity	oblique	by	∅					
	adverbial	acquired	vicinity	oblique	to around	∅					
	adverbial	approached	vicinity	oblique	towards [the vicinity of]	∅					
	adverbial	surpassed	vicinity	oblique	past [the vicinity of]	∅					
	adverbial	leveraged	vicinity	oblique	via	∅					
	adverbial	departed	interior	oblique	out of	∅					
	adverbial	associated	interior	oblique	in	∅					
	adverbial	acquired	interior	oblique	into	∅					
	adverbial	approached	interior	oblique	in towards	∅					
	adverbial	surpassed	interior	oblique	past [the inside of]	∅					
	adverbial	leveraged	interior	oblique	through	∅					
	adverbial	departed	medium	oblique	out of [the mass of]	∅					
	adverbial	associated	medium	oblique	in [the mass of]	∅					
	adverbial	acquired	medium	oblique	into [the mass of]	∅					
	adverbial	approached	medium	oblique	in towards [the mass of]	∅					
	adverbial	surpassed	medium	oblique	past [the mass of]	∅					
	adverbial	leveraged	medium	oblique	through [the mass of]	∅					
	adverbial	departed	side	oblique	from against	∅					
	adverbial	associated	side	oblique	against	∅					
	adverbial	acquired	side	oblique	up against	∅					
	adverbial	approached	side	oblique	towards [the side of]	∅					
	adverbial	surpassed	side	oblique	past [the side of]	∅					
	adverbial	leveraged	side	oblique	along [the side of]	∅					
	adverbial	departed	surface	oblique	off of	∅					
	adverbial	associated	surface	oblique	on	∅					
	adverbial	acquired	surface	oblique	onto	∅					
	adverbial	approached	surface	oblique	towards [the surface of]	∅					
	adverbial	surpassed	surface	oblique	past [the surface of]	∅					
	adverbial	leveraged	surface	oblique	over	∅					
	adverbial	departed	subsurface	oblique	out from under	∅					
	adverbial	associated	subsurface	oblique	under	∅					
	adverbial	acquired	subsurface	oblique	in under	∅					
	adverbial	approached	subsurface	oblique	heading under	∅					
	adverbial	surpassed	subsurface	oblique	past under	∅					
	adverbial	leveraged	subsurface	oblique	through under	∅					
	adverbial	departed	presence	oblique	[due to the presence of]	∅					
	adverbial	associated	presence	oblique	[in the presence of]	∅					
	adverbial	acquired	presence	oblique	[to draw in]	∅					
	adverbial	approached	presence	oblique	towards [the presence of]	∅					
	adverbial	surpassed	presence	oblique	beyond [the presence of]	∅					
	adverbial	leveraged	presence	oblique	by using [the presence of]	∅					
