*	*	singular	plural									
animal	nominative	nīeten	nīetenu									
animal	accusative	nīeten	nīetenu									
animal	genitive	nīetenes	nīetena									
animal	dative	nīetene	nīetenum									
attention	nominative	ġeþōht	ġeþōhtas									
attention	accusative	ġeþōht	ġeþōhtas									
attention	genitive	ġeþōhtes	ġeþōhta									
attention	dative	ġeþōhte	ġeþōhtum									
bird	nominative	fugol	fuglas									
bird	accusative	fugol	fuglas									
bird	genitive	fugles	fugla									
bird	dative	fugle	fuglum									
boat	nominative	bāt	bātas									
boat	accusative	bāt	bātas									
boat	genitive	bātes	bāta									
boat	dative	bāte	bātum									
book	nominative	bōc	bēċ									
book	accusative	bōc	bēċ									
book	genitive	bēċ, bōce	bōca									
book	dative	bēċ	bōcum									
bug	nominative	budda	buddan									
bug	accusative	buddan	buddan									
bug	genitive	buddan	buddena									
bug	dative	buddan	buddum									
clothing	nominative	sċrūd	sċrud									
clothing	accusative	sċrud	sċrud									
clothing	genitive	sċrudes	sċruda									
clothing	dative	sċryd	sċrudum									
daughter	nominative	dohtor	dohtor, dohtra, dohtru									
daughter	accusative	dohtor	dohtor, dohtra, dohtru									
daughter	genitive	dohtor	dohtra									
daughter	dative	dehter	dohtrum									
dog	nominative	hund	hundas									
dog	accusative	hund	hundas									
dog	genitive	hundes	hunda									
dog	dative	hunde	hundum									
enemy	nominative	fēond	fīend									
enemy	accusative	fēond	fīend									
enemy	genitive	fēondes	fēonda									
enemy	dative	fīend	fēondum									
fire	nominative	fȳr	fȳr									
fire	accusative	fȳr	fȳr									
fire	genitive	fȳres	fȳra									
fire	dative	fȳre	fȳrum									
food	nominative	fōda	fōdan									
food	accusative	fōdan	fōdan									
food	genitive	fōdan	fōdena									
food	dative	fōdan	fōdum									
gift	nominative	ġiefu	ġiefa, ġiefe									
gift	accusative	ġiefe	ġiefa, ġiefe									
gift	genitive	ġiefe	ġiefa									
gift	dative	ġiefe	ġiefum									
guard	nominative	weard	weardas									
guard	accusative	weard	weardas									
guard	genitive	weardes	wearda									
guard	dative	wearde	weardum									
horse	nominative	hors	hors									
horse	accusative	hors	hors									
horse	genitive	horses	horsa									
horse	dative	horse	horsum									
house	nominative	hūs	hūs									
house	accusative	hūs	hūs									
house	genitive	hūses	hūsa									
house	dative	hūse	hūsum									
livestock	nominative	feoh	—									
