*	*	*	*	present	past																					
appear	infinitive			ætīewan	ætīewenne																					
appear	indicative	1	singular	ætīewe	ætīewde																					
appear	indicative	2	singular	ætīewest, ætīewst	ætīewdest																					
appear	indicative	3	singular	ætīeweþ, ætīewþ	ætīewde																					
appear	indicative		plural	ætīewaþ	ætīewdon																					
appear	subjunctive		singular	ætīewe	ætīewde																					
appear	subjunctive		plural	ætīewen	ætīewden																					
appear	imperative		singular	ætīew																						
appear	imperative		plural	ætīewaþ																						
appear	participle			ætīewende	ætīewed																					
be-inherently	infinitive			wesan	wesenne																					
be-inherently	indicative	1	singular	eom	wæs																					
be-inherently	indicative	2	singular	eart	wǣre																					
be-inherently	indicative	3	singular	is	wæs																					
be-inherently	indicative		plural	sind, sindon	wǣron																					
be-inherently	subjunctive		singular	sīe	wǣre																					
be-inherently	subjunctive		plural	sīen	wǣren																					
be-inherently	imperative		singular	wes																						
be-inherently	imperative		plural	wesaþ																						
be-inherently	participle			wesende	—																					
be-momentarily	infinitive			bēon	bēonne																					
be-momentarily	indicative	1	singular	bēo	—																					
be-momentarily	indicative	2	singular	bist	—																					
be-momentarily	indicative	3	singular	biþ	—																					
be-momentarily	indicative		plural	bēoþ	—																					
be-momentarily	subjunctive		singular	bēo	—																					
be-momentarily	subjunctive		plural	bēon	—																					
be-momentarily	imperative		singular	bēo																						
be-momentarily	imperative		plural	bēoþ																						
be-momentarily	participle			bēonde	(ġe)bēon																					
change	infinitive			wendan	wendenne																					
change	indicative	1	singular	wende	wende																					
change	indicative	2	singular	wendest, wenst, wentst	wendest																					
change	indicative	3	singular	wendeþ, went	wende																					
change	indicative		plural	wendaþ	wendon																					
change	subjunctive		singular	wende	wende																					
change	subjunctive		plural	wenden	wenden																					
change	imperative		singular	wend																						
change	imperative		plural	wendaþ																						
change	participle			wendende	(ġe)wended																					
climb	infinitive			climban	climbenne																					
climb	indicative	1	singular	climbe	clamb																					
climb	indicative	2	singular	climbst	clumbe																					
climb	indicative	3	singular	climbþ	clamb																					
climb	indicative		plural	climbaþ	clumbon																					
climb	subjunctive		singular	climbe	clumbe																					
climb	subjunctive		plural	climben	clumben																					
climb	imperative		singular	climb																						
climb	imperative		plural	climbaþ																						
climb	participle			climbende	(ġe)clumben																					
cool	infinitive			cōlian	cōlienne																					
cool	indicative	1	singular	cōliġe	cōlode																					
cool	indicative	2	singular	cōlast	cōlodest																					
cool	indicative	3	singular	cōlaþ	cōlode																					
cool	indicative		plural	cōliaþ	cōlodon																					
cool	subjunctive		singular	cōliġe	cōlode																					
cool	subjunctive		plural	cōliġen	cōloden																					
cool	imperative		singular	cōla																						
cool	imperative		plural	cōliaþ																						
cool	participle			cōliende	(ġe)cōlod																					
displease	infinitive			drēfan	drēfenne																					
displease	indicative	1	singular	drēfe	drēfde																					
displease	indicative	2	singular	drēfest, drēfst	drēfdest																					
displease	indicative	3	singular	drēfeþ, drēfþ	drēfde																					
displease	indicative		plural	drēfaþ	drēfdon																					
displease	subjunctive		singular	drēfe	drēfde																					
displease	subjunctive		plural	drēfen	drēfden																					
displease	imperative		singular	drēf																						
displease	imperative		plural	drēfaþ																						
displease	participle			drēfende	(ġe)drēfed																					
eat	infinitive			etan	etenne																					
eat	indicative	1	singular	ete	ǣt																					
eat	indicative	2	singular	itst	ǣte																					
eat	indicative	3	singular	itt, it	ǣt																					
eat	indicative		plural	etaþ	ǣton																					
eat	subjunctive		singular	ete	ǣte																					
eat	subjunctive		plural	eten	ǣten																					
eat	imperative		singular	et																						
eat	imperative		plural	etaþ																						
eat	participle			etende	(ġe)eten																					
endure	infinitive			ādrēogan	ādrēogenne																					
endure	indicative	1	singular	ādrēoge	ādrēag, ādrēah																					
endure	indicative	2	singular	ādrīeġst	ādruge																					
endure	indicative	3	singular	ādrīeġþ	ādrēag, ādrēah																					
endure	indicative		plural	ādrēogaþ	ādrugon																					
endure	subjunctive		singular	ādrēoge	ādruge																					
endure	subjunctive		plural	ādrēogen	ādrugen																					
endure	imperative		singular	ādrēog, ādrēoh																						
endure	imperative		plural	ādrēogaþ																						
endure	participle			ādrēogende	ādrogen																					
fall	infinitive			feallan	feallenne																					
fall	indicative	1	singular	fealle	fēoll																					
fall	indicative	2	singular	fielst	fēolle																					
fall	indicative	3	singular	fielþ	fēoll																					
fall	indicative		plural	feallaþ	fēollon																					
fall	subjunctive		singular	fealle	fēolle																					
fall	subjunctive		plural	feallen	fēollen																					
fall	imperative		singular	feall																						
fall	imperative		plural	feallaþ																						
fall	participle			feallende	(ġe)feallen																					
fly	infinitive			flēogan	flēogenne																					
fly	indicative	1	singular	flēoge	flēag, flēah																					
fly	indicative	2	singular	flīeġst	fluge																					
fly	indicative	3	singular	flīeġþ	flēag, flēah																					
fly	indicative		plural	flēogaþ	flugon																					
fly	subjunctive		singular	flēoge	fluge																					
fly	subjunctive		plural	flēogen	flugen																					
fly	imperative		singular	flēog, flēoh																						
