appear	class 1 weak	class 1 weak	class 1 weak	class 1 weak	
appear	infinitive	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽atfarjan	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽atfarjan	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽atfarjan	
appear	indicative	present	past	present passive	
appear	1st singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌰atfarja	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌰atfarida	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌳𐌰atfarjada	
appear	2nd singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌹𐍃atfarjis	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐍃atfaridēs	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌶𐌰atfarjaza	
appear	3rd singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌹𐌸atfarjiþ	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌰atfarida	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌳𐌰atfarjada	
appear	1st dual	𐌰𐍄𐍆𐌰𐍂𐌾𐍉𐍃atfarjōs	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿atfaridēdu	—	
appear	2nd dual	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐍄𐍃atfarjats	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐍄𐍃atfaridēduts	—	
appear	1st plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌼atfarjam	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌼atfaridēdum	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐌰atfarjanda	
appear	2nd plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌹𐌸atfarjiþ	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌸atfaridēduþ	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐌰atfarjanda	
appear	3rd plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽𐌳atfarjand	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽atfaridēdun	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐌰atfarjanda	
appear	subjunctive	present	past	present passive	
appear	1st singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌿atfarjau	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌾𐌰𐌿atfaridēdjau	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌳𐌰𐌿atfarjaidau	
appear	2nd singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐍃atfarjais	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌴𐌹𐍃atfaridēdeis	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌶𐌰𐌿atfarjaizau	
appear	3rd singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹atfarjai	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌹atfaridēdi	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌳𐌰𐌿atfarjaidau	
appear	1st dual	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐍅𐌰atfarjaiwa	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌴𐌹𐍅𐌰atfaridēdeiwa	—	
appear	2nd dual	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐍄𐍃atfarjaits	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌴𐌹𐍄𐍃atfaridēdeits	—	
appear	1st plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌼𐌰atfarjaima	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌴𐌹𐌼𐌰atfaridēdeima	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌽𐌳𐌰𐌿atfarjaindau	
appear	2nd plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌸atfarjaiþ	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌴𐌹𐌸atfaridēdeiþ	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌽𐌳𐌰𐌿atfarjaindau	
appear	3rd plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌽𐌰atfarjaina	𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌴𐌹𐌽𐌰atfaridēdeina	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌹𐌽𐌳𐌰𐌿atfarjaindau	
appear	imperative				
appear	2nd singular	𐌰𐍄𐍆𐌰𐍂𐌴𐌹atfarei			
appear	3rd singular	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌳𐌰𐌿atfarjadau			
appear	2nd dual	𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐍄𐍃atfarjats			
appear	2nd plural	𐌰𐍄𐍆𐌰𐍂𐌾𐌹𐌸atfarjiþ			
