*	*	*	*	case	preposition	postposition	#	
#	subjectivity	motion	role				#	proto-indo-european
	subject			nominative	∅	∅	#	
	addressee			oblique	∅	∅	#	
	direct-object			oblique	∅	∅	#	
	indirect-object			oblique	∅	∅	#	
	adnominal			genitive	❕	∅	#	
	adverbial	departed	agent	oblique	på	∅	#	
	adverbial	associated	agent	oblique	på	∅	#	
	adverbial	acquired	agent	oblique	på	∅	#	
	adverbial	approached	agent	oblique	på	∅	#	
	adverbial	surpassed	agent	oblique	på	∅	#	
	adverbial	leveraged	agent	oblique	på	∅	#	
	adverbial	departed	force	oblique	på	∅	#	
	adverbial	associated	force	oblique	på	∅	#	
	adverbial	acquired	force	oblique	på	∅	#	
	adverbial	approached	force	oblique	på	∅	#	
	adverbial	surpassed	force	oblique	på	∅	#	
	adverbial	leveraged	force	oblique	på	∅	#	
	adverbial		patient	oblique	❕	∅	#	
	adverbial		theme	oblique	❕	∅	#	
	adverbial		experiencer	oblique	❕	∅	#	
	adverbial		stimulus	oblique	❕	∅	#	
	adverbial		predicate	oblique	❕	∅	#	
	adverbial		predicand	oblique	❕	∅	#	
	adverbial	departed	location	oblique	från	∅	#	
	adverbial	associated	location	oblique	vid	∅	#	
	adverbial	acquired	location	oblique	till	∅	#	
	adverbial	approached	location	oblique	mot	∅	#	
	adverbial	surpassed	location	oblique	❕	∅	#	
	adverbial	leveraged	location	oblique	genom	∅	#	
	adverbial	departed	extent	oblique	❕	∅	#	
	adverbial	associated	extent	oblique	❕	∅	#	
	adverbial	acquired	extent	oblique	❕	∅	#	
	adverbial	approached	extent	oblique	❕	∅	#	
	adverbial	surpassed	extent	oblique	❕	∅	#	
	adverbial	leveraged	extent	oblique	längs	∅	#	
	adverbial	departed	vicinity	oblique	❕	∅	#	
	adverbial	associated	vicinity	oblique	vid	∅	#	
	adverbial	acquired	vicinity	oblique	❕	∅	#	
	adverbial	approached	vicinity	oblique	❕	∅	#	
	adverbial	surpassed	vicinity	oblique	❕	∅	#	
	adverbial	leveraged	vicinity	oblique	❕	∅	#	
	adverbial	departed	interior	oblique	❕	∅	#	
	adverbial	associated	interior	oblique	i	∅	#	
	adverbial	acquired	interior	oblique	❕	∅	#	
	adverbial	approached	interior	oblique	❕	∅	#	
	adverbial	surpassed	interior	oblique	❕	∅	#	
	adverbial	leveraged	interior	oblique	igenom	∅	#	
	adverbial	departed	surface	oblique	❕	∅	#	
	adverbial	associated	surface	oblique	på	∅	#	
	adverbial	acquired	surface	oblique	❕	∅	#	
	adverbial	approached	surface	oblique	❕	∅	#	
	adverbial	surpassed	surface	oblique	❕	∅	#	
	adverbial	leveraged	surface	oblique	över	∅	#	
	adverbial	departed	subsurface	oblique	❕	∅	#	
	adverbial	associated	subsurface	oblique	under	∅	#	
	adverbial	acquired	subsurface	oblique	❕	∅	#	
	adverbial	approached	subsurface	oblique	❕	∅	#	
	adverbial	surpassed	subsurface	oblique	❕	∅	#	
	adverbial	leveraged	subsurface	oblique	över	∅	#	
	adverbial	departed	presence	oblique	❕	∅	#	
	adverbial	associated	presence	oblique	❕	∅	#	
	adverbial	acquired	presence	oblique	❕	∅	#	
	adverbial	approached	presence	oblique	❕	∅	#	
	adverbial	surpassed	presence	oblique	❕	∅	#	
	adverbial	leveraged	presence	oblique	❕	∅	#	
	adverbial	departed	aid	oblique	❕	∅	#	
	adverbial	associated	aid	oblique	med	∅	#	
	adverbial	acquired	aid	oblique	❕	∅	#	
	adverbial	approached	aid	oblique	❕	∅	#	
	adverbial	surpassed	aid	oblique	❕	∅	#	
	adverbial	leveraged	aid	oblique	❕	∅	#	
	adverbial	departed	lack	oblique	❕	∅	#	
	adverbial	associated	lack	oblique	utan	∅	#	
	adverbial	acquired	lack	oblique	❕	∅	#	
	adverbial	approached	lack	oblique	❕	∅	#	
	adverbial	surpassed	lack	oblique	❕	∅	#	
	adverbial	leveraged	lack	oblique	❕	∅	#	
	adverbial	departed	interest	oblique	❕	∅	#	
	adverbial	associated	interest	oblique	❕	∅	#	
	adverbial	acquired	interest	oblique	❕	∅	#	
	adverbial	approached	interest	oblique	❕	∅	#	
	adverbial	surpassed	interest	oblique	❕	∅	#	
	adverbial	leveraged	interest	oblique	❕	∅	#	
	adverbial	departed	time	oblique	efter	∅	#	
	adverbial	associated	time	oblique	under	∅	#	
	adverbial	acquired	time	oblique	före	∅	#	
	adverbial	approached	time	oblique	❕	∅	#	
	adverbial	surpassed	time	oblique	❕	∅	#	
	adverbial	leveraged	time	oblique	❕	∅	#	
	adverbial	departed	topic	oblique	❕	∅	#	
	adverbial	associated	topic	oblique	❕	∅	#	
	adverbial	acquired	topic	oblique	❕	∅	#	
	adverbial	approached	topic	oblique	❕	∅	#	
	adverbial	surpassed	topic	oblique	❕	∅	#	
	adverbial	leveraged	topic	oblique	❕	∅	#	
	adverbial	associated	company	oblique	bland	∅	#	
	adverbial	departed	topic	oblique	❕	∅	#	
	adverbial	associated	topic	oblique	❕	∅	#	
	adverbial	acquired	topic	oblique	❕	∅	#	
	adverbial	approached	topic	oblique	❕	∅	#	
	adverbial	surpassed	topic	oblique	❕	∅	#	
	adverbial	leveraged	topic	oblique	❕	∅	#	
