*	*	*	*	nominative	oblique
personal	singular	1        	          	jag       	mig    
personal	singular	2        	          	du        	dig    
personal	singular	3        	masculine 	han       	honom  
personal	singular	3        	feminine  	hon       	henne  
personal	singular	3        	neuter    	hen       	henom  
demonstrative	singular	3        	masculine	den       	den    
demonstrative	singular	3        	feminine	den       	den    
demonstrative	singular	3        	neuter    	det       	det    
#indefinite	singular	3        		man       	en     
personal	plural  	1        		vi        	oss    
personal	plural  	2        		ni        	er     
personal	plural  	3        		de        	dem    
reflexive	singular		neuter    	          	sig    
reflexive	plural  		neuter    	          	sig    
