appear		active	active	passive	passive
appear	infinitive	framträda	framträda	—	—
appear	supine	framträtt	framträtt	—	—
appear	imperative	framträd	framträd	—	—
appear	imper. plural1	framträden	framträden	—	—
appear		present	past	present	past
appear	indicative	framträder	framträdde	—	—
appear	ind. plural1	framträda	framträdde	—	—
appear	subjunctive2	framträde	framträdde	—	—
appear		participles	participles	participles	participles
appear	present participle	framträdande	framträdande	framträdande	framträdande
appear	past participle	framträdd	framträdd	framträdd	framträdd
appear	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.
be-inherently		active	active	passive	passive
be-inherently	infinitive	vara	vara	—	—
be-inherently	supine	varit	varit	—	—
be-inherently	imperative	var	var	—	—
be-inherently	imper. plural1	varen	varen	—	—
be-inherently		present	past	present	past
be-inherently	indicative	är	var	—	—
be-inherently	ind. plural1	äro	voro	—	—
be-inherently	subjunctive2	vare	vore	—	—
be-inherently		participles	participles	participles	participles
be-inherently	present participle	varande	varande	varande	varande
be-inherently	past participle	—	—	—	—
be-inherently	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.
be-inherently		active	active	passive	passive
be-inherently	infinitive	vara	vara	—	—
be-inherently	supine	varat	varat	—	—
be-inherently	imperative	vara	vara	—	—
be-inherently	imper. plural1	varen	varen	—	—
be-inherently		present	past	present	past
be-inherently	indicative	varar	varade	—	—
be-inherently	ind. plural1	vara	varade	—	—
be-inherently	subjunctive2	vare	varade	—	—
be-inherently		participles	participles	participles	participles
be-inherently	present participle	varande	varande	varande	varande
be-inherently	past participle	—	—	—	—
be-inherently	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.
be-inherently		active	active	passive	passive
be-inherently	infinitive	vara	vara	varas	varas
be-inherently	supine	varat	varat	varats	varats
be-inherently	imperative	vara	vara	—	—
be-inherently	imper. plural1	varen	varen	—	—
be-inherently		present	past	present	past
be-inherently	indicative	varar	varade	varas	varades
be-inherently	ind. plural1	vara	varade	varas	varades
be-inherently	subjunctive2	vare	varade	vares	varades
be-inherently		participles	participles	participles	participles
be-inherently	present participle	varande	varande	varande	varande
be-inherently	past participle	—	—	—	—
be-inherently	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.	1 Archaic. 2 Dated. See the appendix on Swedish verbs.
