*	*	*	*	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek
*	*	*	*	indicative	subjunctive	optative	imperative	indicative	indicative	optative	indicative	subjunctive	optative	imperative	indicative	subjunctive	optative	imperative	indicative	indicative	optative
*	*	*	*	present	present	present	present	past	future	future	past	past	past	past	present	present	present	present	past	future	future
*	*	*	*	aorist	aorist	aorist	aorist	imperfective	aorist	aorist	aorist	aorist	aorist	aorist	perfective	perfective	perfective	perfective	perfective	perfective	perfective
be	active	1	singular	εἰμῐ́ 	ὦ 	εἴην 	—	ἦ/ἦν 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	2	singular	εἶ 	ᾖς 	εἴης 	ἴσθι 	ἦσθα 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	3	singular	ἐστί/ἐστίν 	ᾖ 	εἴη 	ἔστω 	ἦν 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	2	dual	ἐστόν 	ἦτον 	εἴητον/εἶτον 	ἔστον 	ἦστον 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	3	dual	ἐστόν 	ἦτον 	εἰήτην/εἴτην 	ἔστων 	ἤστην 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	1	plural	ἐσμέν 	ὦμεν 	εἴημεν/εἶμεν 	—	ἦμεν 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	2	plural	ἐστέ 	ἦτε 	εἴητε/εἶτε 	ἔστε 	ἦτε 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	3	plural	εἰσί/εἰσίν	ὦσι/ὦσιν	εἴησαν/εἶεν	ἔστων/ἔστωσαν/ὄντων 	ἦσαν 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	middle	1	singular	—	—	—	—	—	ἔσομαι 	ἐσοίμην 	—	—	—	—	—	—	—	—	—	—	—
be	middle	2	singular	—	—	—	—	—	ἔσῃ/ἔσει 	ἔσοιο 	—	—	—	—	—	—	—	—	—	—	—
be	middle	3	singular	—	—	—	—	—	ἔσται/ἔσεται 	ἔσοιτο 	—	—	—	—	—	—	—	—	—	—	—
be	middle	2	dual	—	—	—	—	—	ἔσεσθον 	ἔσοισθον 	—	—	—	—	—	—	—	—	—	—	—
be	middle	3	dual	—	—	—	—	—	ἔσεσθον 	ἐσοίσθην 	—	—	—	—	—	—	—	—	—	—	—
be	middle	1	plural	—	—	—	—	—	ἐσόμεθᾰ 	ἐσοίμεθᾰ 	—	—	—	—	—	—	—	—	—	—	—
be	middle	2	plural	—	—	—	—	—	ἔσεσθε 	ἔσοισθε 	—	—	—	—	—	—	—	—	—	—	—
be	middle	3	plural	—	—	—	—	—	ἔσονται	ἔσοιντο 	—	—	—	—	—	—	—	—	—	—	—
go	active	1	singular	εἶμι 	ἴω 	ἴοιμῐ 	—	ᾖᾰ/ᾔειν 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	2	singular	εἶ 	ἴῃς 	ἴοις 	ἴθῐ 	ᾔεισθᾰ/ᾔεις 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	3	singular	εἶσῐ(ν) 	ἴῃ 	ἴοι 	ἴτω 	ᾔειν/ᾔει 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	2	dual	ἴτον 	ἴητον 	ἴοιτον 	ἴτον 	ᾖτον 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	3	dual	ἴτον 	ἴητον 	ἰοίτην 	ἴτων 	ᾔτην 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	1	plural	ἴμεν 	ἴωμεν 	ἴοιμεν 	—	ᾖμεν 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	2	plural	ἴτε 	ἴητε 	ἴοιτε 	ἴτε 	ᾖτε 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	3	plural	ἴᾱσῐ(ν)	ἴωσῐ(ν)	ἴοιεν	ἰόντων 	ᾖσᾰν/ᾔεσᾰν 	—	—	—	—	—	—	—	—	—	—	—	—	—
release	active	1	singular	λῡ́ω 	λῡ́ω 	λῡ́οιμῐ 	—	ἔλῡον 	λῡ́σω 	λῡ́σοιμῐ 	ἔλῡσᾰ 	λῡ́σω 	λῡ́σαιμῐ 	—	λέλῠκᾰ 	λελῠ́κω 	λελῠ́κοιμῐ/λελῠκοίην 	—	ἐλελῠ́κειν/ἐλελῠ́κη 	λελυκώς ἔσομαι	—
release	active	2	singular	λῡ́εις 	λῡ́ῃς 	λῡ́οις 	λῦε 	ἔλῡες 	λῡ́σεις 	λῡ́σοις 	ἔλῡσᾰς 	λῡ́σῃς 	λῡ́σειᾰς/λῡ́σαις 	λῦσον 	λέλῠκᾰς 	λελῠ́κῃς 	λελῠ́κοις/λελῠκοίης 	λέλῠκε 	ἐλελῠ́κεις/ἐλελῠ́κης 	λελυκώς ἔσῃ/ἔσει	—
release	active	3	singular	λῡ́ει 	λῡ́ῃ 	λῡ́οι 	λῡέτω 	ἔλῡε(ν) 	λῡ́σει 	λῡ́σοι 	ἔλῡσε(ν) 	λῡ́σῃ 	λῡ́σειε(ν)/λῡ́σαι 	λῡσᾰ́τω 	λέλῠκε(ν) 	λελῠ́κῃ 	λελῠ́κοι/λελῠκοίη 	λελῠκέτω 	ἐλελῠ́κει(ν) 	λελυκώς ἔσται	—
release	active	2	dual	λῡ́ετον 	λῡ́ητον 	λῡ́οιτον 	λῡ́ετον 	ἐλῡ́ετον 	λῡ́σετον 	λῡ́σοιτον 	ἐλῡ́σᾰτον 	λῡ́σητον 	λῡ́σαιτον 	λῡ́σᾰτον 	λελῠ́κᾰτον 	λελῠ́κητον 	λελῠ́κοιτον 	λελῠ́κετον 	ἐλελῠ́κετον 	—	—
