*	*	*	*	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek
*	*	*	*	indicative	subjunctive	optative	imperative	indicative	indicative	—	indicative	subjunctive	optative	imperative	indicative	subjunctive	optative	imperative	indicative	indicative	optative
*	*	*	*	present	present	present	present	past	future	future	past	past	past	past	present	present	present	present	past	future	future
*	*	*	*	aorist	aorist	aorist	aorist	imperfective	aorist	aorist	aorist	aorist	aorist	aorist	perfective	perfective	perfective	perfective	perfective	perfective	perfective
be	active	1	singular	εἰμί 	ἔω 	εἴην 	—	ἦα/ἔᾱ/ἔον/ἔσκον 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	2	singular	ἐσσί/εἶς 	ᾖς 	εἴης/ἔοις 	ἔσσο 	ἔησθα/ἦσθα 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	3	singular	ἐστί/ἐστίν 	ἔῃ/ἔῃσι/ᾖσι 	εἴη/ἔοι 	ἔστω 	ἦεν/ἔην/ἤην/ἦν/ἔσκε(ν) 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	2	dual	ἐστόν 	—	εἴητον/εἶτον 	ἔστον 	ἤστον 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	3	dual	ἐστόν 	—	εἰήτην/εἴτην 	ἔστων 	ἤστην 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	1	plural	εἰμέν 	—	εἴημεν/εἶμεν 	—	ἦμεν 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	2	plural	ἐστέ 	ἦτε 	εἴητε/εἶτε 	ἔστε 	ἦτε 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	active	3	plural	εἰσί(ν)/ἔᾱσι(ν)	ἔωσι(ν)/ὦσι(ν)	εἴησαν/εἶεν	ἔστων 	ἦσαν/ἔσαν 	—	—	—	—	—	—	—	—	—	—	—	—	—
be	middle	1	singular	—	—	—	—	—	ἔσσομαι 	ἐσσοίμην 	—	—	—	—	—	—	—	—	—	—	—
be	middle	2	singular	—	—	—	—	—	ἔσσεαι 	ἔσσοιο 	—	—	—	—	—	—	—	—	—	—	—
be	middle	3	singular	—	—	—	—	—	ἔσσεται/ἐσσεῖται 	ἔσσοιτο 	—	—	—	—	—	—	—	—	—	—	—
be	middle	2	dual	—	—	—	—	—	ἔσσεσθον 	ἔσσοισθον 	—	—	—	—	—	—	—	—	—	—	—
be	middle	3	dual	—	—	—	—	—	ἔσσεσθον 	ἐσσοίσθην 	—	—	—	—	—	—	—	—	—	—	—
be	middle	1	plural	—	—	—	—	—	ἐσσόμε(σ)θᾰ 	ἐσσοίμε(σ)θᾰ 	—	—	—	—	—	—	—	—	—	—	—
be	middle	2	plural	—	—	—	—	—	ἔσσεσθε 	ἔσσοισθε 	—	—	—	—	—	—	—	—	—	—	—
be	middle	3	plural	—	—	—	—	—	ἔσσονται	ἐσσοίᾰτο 	—	—	—	—	—	—	—	—	—	—	—
go	active	1	singular	εἶμι 	ἴω 	ἴοιμῐ 	—	ἤϊα 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	2	singular	εἶς/εἶσθα 	ἴῃσθα 	ἴοις 	ἴθῐ 	ᾔεις 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	3	singular	εἶσι 	ἴῃσι 	ἴοι/ἰείη/εἴη 	ἴτω 	ἤϊε(ν)/ᾖε/ἴε(ν) 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	2	dual	ἴτον 	ἴητον 	ἴοιτον 	ἴτον 	ᾔτον/ἴτον 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	3	dual	ἴτον 	ἴητον 	ἰοίτην 	ἴτων 	ᾔτην/ἴτην 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	1	plural	ἴμεν 	ἴωμεν/ἴομεν 	ἴοιμεν 	—	ᾖμεν/ᾔομεν 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	2	plural	ἴτε 	ἴητε 	ἴοιτε 	ἴτε 	ᾖτε 	—	—	—	—	—	—	—	—	—	—	—	—	—
go	active	3	plural	ἴᾱσι	ἴωσῐ(ν)	ἴοιεν	ἰόντων 	ἤϊσαν/ἴσαν/ᾖσαν/ἤϊον 	—	—	—	—	—	—	—	—	—	—	—	—	—
