*	*	*	*	*	nominative 	genitive 	dative 	accusative 	vocative 	#ionic																
plural-possessor	1-possessor	singular	masculine	greek	ἡμέτερος	ἡμετέρου	ἡμετέρῳ	ἡμέτερον	ἡμέτερε																	
plural-possessor	1-possessor	singular	masculine	latin	hēméteros 	hēmetérou 	hēmetérōi 	hēméteron 	hēmétere 																	
plural-possessor	1-possessor	singular	feminine	greek	ἡμετέρη	ἡμετέρης	ἡμετέρῃ	ἡμετέρην	ἡμετέρη																	
plural-possessor	1-possessor	singular	feminine	latin	hēmetérē 	hēmetérēs 	hēmetérēi 	hēmetérēn 	hēmetérē 																	
plural-possessor	1-possessor	singular	neuter	greek	ἡμέτερον	ἡμετέρου	ἡμετέρῳ	ἡμέτερον	ἡμέτερον																	
plural-possessor	1-possessor	singular	neuter	latin	hēméteron 	hēmetérou 	hēmetérōi 	hēméteron 	hēméteron 																	
																										
plural-possessor	1-possessor	dual	masculine	greek	ἡμετέρω	ἡμετέροιν	ἡμετέροιν	ἡμετέρω	ἡμετέρω																	
plural-possessor	1-possessor	dual	masculine	latin	hēmetérō 	hēmetéroin 	hēmetéroin 	hēmetérō 	hēmetérō 																	
plural-possessor	1-possessor	dual	feminine	greek	ἡμετέρᾱ	ἡμετέραιν	ἡμετέραιν	ἡμετέρᾱ	ἡμετέρᾱ																	
plural-possessor	1-possessor	dual	feminine	latin	hēmetérā 	hēmetérain 	hēmetérain 	hēmetérā 	hēmetérā 																	
plural-possessor	1-possessor	dual	neuter	greek	ἡμετέρω	ἡμετέροιν	ἡμετέροιν	ἡμετέρω	ἡμετέρω																	
plural-possessor	1-possessor	dual	neuter	latin	hēmetérō 	hēmetéroin 	hēmetéroin 	hēmetérō 	hēmetérō 																	
																										
plural-possessor	1-possessor	plural	masculine	greek	ἡμέτεροι	ἡμετέρων	ἡμετέροισῐ / ἡμετέροισῐν / ἡμετέροις	ἡμετέρους	ἡμέτεροι																	
plural-possessor	1-possessor	plural	masculine	latin	hēméteroi 	hēmetérōn 	hēmetéroisi(n) / hēmetérois 	hēmetérous 	hēméteroi 																	
plural-possessor	1-possessor	plural	feminine	greek	ἡμέτεραι	ἡμετερέων / ἡμετερῶν	ἡμετέρῃσῐ / ἡμετέρῃσῐν	ἡμετέρᾱς	ἡμέτεραι																	
plural-possessor	1-possessor	plural	feminine	latin	hēméterai 	hēmeteréōn / hēmeterôn 	hēmetérēisi(n) 	hēmetérās 	hēméterai 																	
plural-possessor	1-possessor	plural	neuter	greek	ἡμέτερᾰ	ἡμετέρων	ἡμετέροισῐ / ἡμετέροισῐν / ἡμετέροις	ἡμέτερᾰ	ἡμέτερᾰ																	
plural-possessor	1-possessor	plural	neuter	latin	hēmétera	hēmetérōn	hēmetéroisi(n) / hēmetérois	hēmétera	hēmétera 																	
																										
plural-possessor	2-possessor	singular	masculine	greek	ῡ̔μέτερος	ῡ̔μετέρου	ῡ̔μετέρῳ	ῡ̔μέτερον	ῡ̔μέτερε																	
plural-possessor	2-possessor	singular	masculine	latin	hūméteros 	hūmetérou 	hūmetérōi 	hūméteron 	hūmétere 																	
plural-possessor	2-possessor	singular	feminine	greek	ῡ̔μετέρη	ῡ̔μετέρης	ῡ̔μετέρῃ	ῡ̔μετέρην	ῡ̔μετέρη																	
