*	*	*	*	nominative	accusative	genitive	dative	locative	allative	ablative	instrumental		#		
cold	singular	common	cuneiform	𒂊𒆪𒈾𒀸 	𒂊𒆪𒈾𒀭 	𒂊𒆪𒈾𒀸 	𒂊𒆪𒉌 	𒂊𒆪𒉌 	𒂊𒆪𒈾 	𒂊𒆪𒈾𒊍 	𒂊𒆪𒉌𒀉 		#	-a stem	
cold	singular	common	transliteration	e-ku-na-aš 	e-ku-na-an 	e-ku-na-aš 	e-ku-ni 	e-ku-ni 	e-ku-na-a 	e-ku-na-az, e-ku-na-za 	e-ku-ni-it 		#	-a stem	
cold	singular	common	latin	ekunaš 	ekunan 	ekunaš 	ekuni 	ekuni 	ekuna 	ekunaz(a) 	ekunit 		#	-a stem	
cold	singular	neuter	cuneiform	𒂊𒆪𒈾𒀭 	𒂊𒆪𒈾𒀭 	𒂊𒆪𒈾𒀸 	𒂊𒆪𒉌 	𒂊𒆪𒉌 	𒂊𒆪𒈾 	𒂊𒆪𒈾𒊍 	𒂊𒆪𒉌𒀉 		#	-a stem	
cold	singular	neuter	transliteration	e-ku-na-an 	e-ku-na-an 	e-ku-na-aš 	e-ku-ni 	e-ku-ni 	e-ku-na-a 	e-ku-na-az, e-ku-na-za 	e-ku-ni-it 		#	-a stem	
cold	singular	neuter	latin	ekunan 	ekunan 	ekunaš 	ekuni 	ekuni 	ekuna 	ekunaz(a) 	ekunit 		#	-a stem	
cold	plural	common	cuneiform	𒂊𒆪𒉌𒅖 	𒂊𒆪𒉡𒍑 	𒂊𒆪𒈾𒀸, 𒂊𒆪𒈾𒀭 	𒂊𒆪𒈾𒀸 	𒂊𒆪𒈾𒀸 	– 	𒂊𒆪𒈾𒊍 	𒂊𒆪𒉌𒀉 		#	-a stem	
cold	plural	common	transliteration	e-ku-ni-iš 	e-ku-na-an-za 	e-ku-na-aš, e-ku-na-an 	e-ku-na-aš 	e-ku-na-aš 		e-ku-na-az, e-ku-na-za 	e-ku-ni-it 		#	-a stem	
cold	plural	common	latin	ekuneš 	ekunuš 	ekunaš 	ekunaš 	ekunaš 	– 	ekunaz(a) 	ekunit 		#	-a stem	
cold	plural	neuter	cuneiform	𒂊𒆪𒉌𒀀	𒂊𒆪𒉌𒀀	𒂊𒆪𒈾𒀸, 𒂊𒆪𒈾𒀭	𒂊𒆪𒈾𒀸	𒂊𒆪𒈾𒀸	–	𒂊𒆪𒈾𒊍	𒂊𒆪𒉌𒀉		#	-a stem	
