*	*	*	*	nominative	accusative	genitive	dative	locative	allative	ablative	instrumental	vocative			
man	singular	gendered	cuneiform	𒀀𒀸 	𒀀𒀭 	𒀀𒀸 	𒄿 		𒀀 	𒀀𒊍 	𒄿𒀉 	𒀀, 𒄿 	#	-a stem	
man	singular	gendered	transliteration	a-aš 	a-an 	a-aš 	-i 		-a 	a-az 	i-it 	-a, -i 	#	-a stem	
man	singular	gendered	latin	antuḫšaš, antūwaḫḫaš, antuwaḫḫiš 	anduḫšan, antūḫšan, antuwaḫḫan 	anduḫšaš, antuḫšaš, antuwaḫḫaš 	antuḫši, antuḫše 			antuḫšaz 	antuḫšet 		#	-a stem	
man	plural	gendered	cuneiform	𒂊𒌍, 𒄿𒅖	𒌋𒍑	𒀀𒀸, 𒀀𒀭	𒀀𒀸			𒀀𒊍	𒄿𒀉		#	-a stem	
man	plural	gendered	transliteration	e-eš, i-iš	u-uš	a-aš, a-an	a-aš			a-az	i-it 		#	-a stem	
man	plural	gendered	latin	antuḫšeš, antuḫšiš, antuwaḫḫeš, antuḫšuš	anduḫšuš, antuḫšuš, antuḫšeš	antuḫšaš	antūwaḫḫaš, antuḫšaš, anduḫšaš			antuḫšaz	antuḫšet 		#	-a stem	
place	singular	neuter	cuneiform	𒁉𒂊𒁕𒀭 	𒁉𒂊𒁕𒀭 	𒁉𒂊𒁕𒀸 	𒁉𒂊𒁲 	𒁉𒂊𒁲 	𒁉𒂊𒁕 	𒁉𒂊𒁕𒊍 	𒁉𒂊𒁲𒀉 		#	-a stem	
place	singular	neuter	transliteration	pé-e-da-an 	pé-e-da-an 	pé-e-da-aš 	pé-e-di 	pé-e-di 	pé-e-da 	pé-e-da-az 	pé-e-di-it 		#	-a stem	
place	singular	neuter	latin	pēdan 	pēdan 	pēdaš 	pēdi 	pēdi 	pēda 	pēdaz(a) 	pēdit 		#	-a stem	
place	plural	neuter	cuneiform	𒁉𒂊𒁕	𒁉𒂊𒁕	𒁉𒂊𒁕𒀸, 𒁉𒂊𒁕𒀭	𒁉𒂊𒁕𒀸	𒁉𒂊𒁕𒀸		𒁉𒂊𒁕𒊍	𒁉𒂊𒁲𒀉		#	-a stem	
place	plural	neuter	transliteration	pé-e-da	pé-e-da	pé-e-da-aš, pé-e-da-an	pé-e-da-aš	pé-e-da-aš		pé-e-da-az	pé-e-di-it 		#	-a stem	
place	plural	neuter	latin	pēda	pēda	pēdaš, pēdan²	pēdaš	pēdaš		pēdaz(a)	pēdit 		#	-a stem	
army	singular	gendered	cuneiform	𒌅𒊻𒍣𒅖 	𒌅𒊻𒍣𒅔 	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸 	𒌅𒊻𒍣𒅀, 𒌅𒊻𒍣 	𒌅𒊻𒍣𒅀, 𒌅𒊻𒍣 	𒌅𒊻𒍣𒅀 	𒌅𒊻𒍣𒅀𒊍, 𒌅𒊻𒍣𒀸 	𒌅𒊻𒍣𒀉 		#	-i stem	
army	singular	gendered	transliteration	tu-uz-zi-iš 	tu-uz-zi-in 	tu-uz-zi-ya-aš, tu-uz-zi-aš 	tu-uz-zi-ya, tu-uz-zi 	tu-uz-zi-ya, tu-uz-zi 	tu-uz-zi-ya 	tu-uz-zi-ya-az, tu-uz-zi-az 	tu-uz-zi-it 		#	-i stem	
army	singular	gendered	latin	tuzziš 	tuzzin 	tuzzi(y)aš 	tuzziya, tuzzi 	tuzziya, tuzzi 	tuzziya 	tuzzi(y)az 	tuzzit 		#	-i stem	
army	plural	gendered	cuneiform	𒌅𒊻𒍣𒂊𒌍	𒌅𒊻𒍣𒍑	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸		𒌅𒊻𒍣𒅀𒊍, 𒌅𒊻𒍣𒀸	𒌅𒊻𒍣𒀉		#	-i stem	
army	plural	gendered	transliteration	tu-uz-zi-e-eš	tu-uz-zi-uš	tu-uz-zi-ya-aš, tu-uz-zi-aš	tu-uz-zi-ya-aš, tu-uz-zi-aš	tu-uz-zi-ya-aš, tu-uz-zi-aš		tu-uz-zi-ya-az, tu-uz-zi-az	tu-uz-zi-it 		#	-i stem	
army	plural	gendered	latin	tuzziēš	tuzziuš	tuzziyaš	tuzziyaš	tuzziyaš		tuzzi(y)az	tuzzit 		#	-i stem	
#grindstone	singular	neuter		huwasi	huwasiyas		huwasi(ya) 	huwasi(ya) 		huwasiyaz	*huwasit		#	-i stem	
#grindstone	plural	neuter		huwāsi	huwāsi								#	-i stem	
bone	singular	neuter	cuneiform	𒄩𒀸𒋫𒄿 	𒄩𒀸𒋫𒄿 	𒄩𒀸𒋾𒅀𒀸, 𒄩𒀸𒋫𒅀𒀸 	𒄩𒀸𒋾𒅀, 𒄩𒀸𒋫𒄿 	𒄩𒀸𒋾𒅀, 𒄩𒀸𒋫𒄿 	𒄩𒀸𒋾𒅀 	𒄩𒀸𒋾𒅀𒊍, 𒄩𒀸𒋫𒅀𒊍 	𒄩𒀸𒋫𒀉 		#	-ai stem	
bone	singular	neuter	transliteration	ḫa-aš-ta-i 	ḫa-aš-ta-i 	ḫa-aš-ti-ya-aš, ḫa-aš-ta-ya-aš 	ḫa-aš-ti-ya, ḫa-aš-ta-i 	ḫa-aš-ti-ya, ḫa-aš-ta-i 	ḫa-aš-ti-ya 	ḫa-aš-ti-ya-az, ḫa-aš-ta-ya-az 	ḫa-aš-ta-it 		#	-ai stem	
bone	singular	neuter	latin	ḫaštāi 	ḫaštāi 	ḫaštiyaš, ḫaštayaš 	ḫaštiya, ḫaštai 	ḫaštiya, ḫaštai 	ḫaštiya 	ḫaštiyaz, ḫaštayaz 	ḫaštait 		#	-ai stem	
