*	*																	gendered	gendered	gendered	gendered	gendered	gendered	gendered	gendered	neuter	neuter	neuter	neuter	neuter	neuter	neuter	neuter
*	*	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
*	*	singular	singular	singular	singular	plural	plural	plural	plural	singular	singular	singular	singular	plural	plural	plural	plural	singular	singular	singular	singular	plural	plural	plural	plural	singular	singular	singular	singular	plural	plural	plural	plural
*	*	latin	cuneiform	pronunciation	transliteration	latin	cuneiform	pronunciation	transliteration	latin	cuneiform	pronunciation	transliteration	latin	cuneiform	pronunciation	transliteration	latin	cuneiform		transliteration	latin	cuneiform		transliteration	latin	cuneiform		transliteration	latin	cuneiform		transliteration
nominative	enclitic																	-aš 	-𒀸 		-aš 	-e 	-𒂊 		-e 	-at 	-𒀜 		-at 	-e	-𒂊		-e
accusative	enclitic	me				nas				ta				smas				-an 	-𒀭 		-an 	-us 	-𒍑 		-us 	-at 	-𒀜 		-at 	-e	-𒂊		-e
genitive	enclitic					ni/ne	𒉌																										
dative	enclitic	me				nas				ta				smas				-še 	-𒊺 		-še 	-šmaš 	-𒅖𒈠𒀸 		-iš-ma-aš 	-še 	-𒊺 		-še 	-šmaš	-𒅖𒈠𒀸		-iš-ma-aš
locative	enclitic	me				nas				ta				smas				-še 	-𒊺 		-še 	-šmaš 	-𒅖𒈠𒀸 		-iš-ma-aš 	-še 	-𒊺 		-še 	-šmaš	-𒅖𒈠𒀸		-iš-ma-aš
allative	enclitic																																
ablative	enclitic																																
instrumental	enclitic																																
nominative 	tonic	ūk 	𒌑𒊌 	ʔuk 	ú-uk 	wēš	𒌑𒂊𒌍	wɛːs	ú-e-eš	zik, zīk 	šum(m)eš, šumēš	t͡siːk 	sumɛːs	𒍣𒄿𒅅 	𒋗𒈨𒌍	zi-ik, zi-i-ik 	šu-me-eš																
accusative 	tonic	ammuk 	𒄠𒈬𒊌 	ʔm̩muk 	am-mu-uk 	anzāš	𒀭𒍝𒀀𒀸	ʔn̩t͡saːs	an-za-a-aš	tuk 	šum(m)āš	tuk 	sumaːs	𒌅𒊌 	𒋗𒈠𒀀𒀸	tu-uk 	šu-ma-a-aš																
genitive 	tonic	ammel 	𒄠𒈨𒂖 	ʔm̩mɛːl 	am-me-el 	anzel	𒀭𒍣𒂖	ʔn̩t͡sɛːl	an-ze-el	tuēl 	šum(m)enzan	twɛːl 	sumɛːnt͡san	𒌅𒂊𒂖 	𒋗𒈨𒂗𒍝𒀭	tu-e-el 	šu-me-en-za-an																
dative	tonic	ammuk 	𒄠𒈬𒊌 	ʔm̩muk 	am-mu-uk 	anzāš	𒀭𒍝𒀀𒀸	ʔn̩t͡saːs	an-za-a-aš	tuk 	šum(m)āš	tuk 	sumaːs	𒌅𒊌 	𒋗𒈠𒀀𒀸	tu-uk 	šu-ma-a-aš																
locative	tonic	ammuk 	𒄠𒈬𒊌 	ʔm̩muk 	am-mu-uk 	anzāš	𒀭𒍝𒀀𒀸	ʔn̩t͡saːs	an-za-a-aš	tuk 	šum(m)āš	tuk 	sumaːs	𒌅𒊌 	𒋗𒈠𒀀𒀸	tu-uk 	šu-ma-a-aš																
allative 	tonic	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 	– 																
ablative 	tonic	ammedaz(a) 	𒄠𒈨𒂊𒁕𒊍 	ʔm̩mɛːtat͡s 	am-me-e-da-az 	anzedaz(a)	𒀭𒍣𒁕𒊍	ʔn̩t͡sɛːtat͡s	an-ze-da-az	tuēdaz(a) 	šum(m)ēdaz	twɛːtat͡s 	sumɛːtat͡s	𒌅𒂊𒁕𒊍 	𒋗𒈨𒂊𒁕𒊍	tu-e-da-az 	šu-me-e-da-az																
instrumental 	tonic	– 	– 	– 	– 	–	–	– 	– 	– 	–	– 	– 	– 	–	– 	– 																
nominative 	reflexive	ukila	𒌑𒆠𒂖 |𒌑𒆠𒆷 		ú-ke-el|ú-ki-la	wēsila				zikila				sumāsila				apāsila				apāsila											
accusative 	reflexive																	apāsilus															
genitive 	reflexive																	apenzan															
dative	reflexive																	apās															
locative	reflexive																	apās															
allative 	reflexive																																
ablative 	reflexive																	apēdaz															
instrumental 	reflexive																																
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
