*	*	*	*	case	preposition	postposition					
#	subjectivity	motion	role								
	subject			nominative	∅	∅					
	addressee			vocative	∅	∅					
	direct-object			accusative	∅	∅					
	indirect-object			dative	∅	∅					
#	modifier	departed	possessor	genitive	∅	∅					
	modifier	associated	possessor	genitive	∅	∅					
#	modifier	acquired	possessor	genitive	∅	∅					
#	modifier	leveraged	possessor	genitive	∅	∅					
	modifier	departed	location	ablative	ab	∅					
	modifier	associated	location	accusative	apud	∅					
	modifier	acquired	location	accusative	ad	∅					
	modifier	leveraged	location	accusative	per	∅					
#	modifier	departed	extent	ablative	ab	∅					
#	modifier	associated	extent	accusative	apud	∅					
#	modifier	acquired	extent	accusative	ad	∅					
#	modifier	leveraged	extent	accusative	per	∅					
#	modifier	departed	vicinity	ablative	ab	∅					
#	modifier	associated	vicinity	accusative	apud	∅					
#	modifier	acquired	vicinity	accusative	ad	∅					
#	modifier	leveraged	vicinity	accusative	per	∅					
	modifier	departed	interior	ablative	ex	∅					
	modifier	associated	interior	accusative	intrā	∅					
	modifier	acquired	interior	ablative	in	∅					
	modifier	leveraged	interior	accusative	per	∅					
	modifier	departed	surface	ablative	super	∅					
	modifier	associated	surface	accusative	super	∅					
	modifier	acquired	surface	ablative	super	∅					
	modifier	leveraged	surface	accusative	trans	∅					
#	modifier	departed	presence	ablative	coram	∅					
	modifier	associated	presence	ablative	coram	∅					
#	modifier	acquired	presence	accusative	coram	∅					
	modifier	leveraged	presence	accusative	propter	∅					
#	modifier	departed	aid	ablative	cum	∅					
	modifier	associated	aid	ablative	cum	∅					
#	modifier	acquired	aid	ablative	cum	∅					
#	modifier	leveraged	aid	ablative	cum	∅					
#	modifier	departed	lack	ablative	sine	∅					
	modifier	associated	lack	ablative	sine	∅					
#	modifier	acquired	lack	ablative	sine	∅					
#	modifier	leveraged	lack	ablative	sine	∅					
#	modifier	departed	interest	dative	∅	∅					
	modifier	associated	interest	dative	∅	∅					
#	modifier	acquired	interest	dative	∅	∅					
	modifier	leveraged	interest	accusative	per	∅					
	modifier	departed	time	ablative	post	∅					
	modifier	associated	time	ablative	inter	∅					
	modifier	acquired	time	accusative	usque ad	∅					
	modifier	leveraged	time	accusative	inter	∅					
#	modifier	departed	topic	ablative	∅	∅					
#	modifier	associated	topic	ablative	∅	∅					
#	modifier	acquired	topic	ablative	∅	∅					
#	modifier	leveraged	topic	ablative	∅	∅					
	modifier	associated	company	accusative	inter	∅					
