*	*	singular	dual	plural	#																															
animal	nominative	gʷyeh₃wyom	gʷyeh₃wyoy(h₁)	gʷyeh₃wyeh₂	#																															
animal	vocative	gʷyeh₃wyom	gʷyeh₃wyoy(h₁)	gʷyeh₃wyeh₂	#																															
animal	accusative	gʷyeh₃wyom	gʷyeh₃wyoy(h₁)	gʷyeh₃wyeh₂	#																															
animal	genitive	gʷyeh₃wyosyo	❔	gʷyeh₃wyoHom	#																															
animal	ablative	gʷyeh₃wyead	❔	gʷyeh₃wyomos	#																															
animal	dative	gʷyeh₃wyoey	❔	gʷyeh₃wyomos	#																															
animal	locative	gʷyeh₃wyey, gʷyeh₃wyoy	❔	gʷyeh₃wyoysu	#																															
animal	instrumental	gʷyeh₃wyoh₁	❔	gʷyeh₃wyōys	#																															
attention	nominative	ménos	ménesih₁	ménōs	#	athematic, acrostatic																														
attention	vocative	ménos	ménesih₁	ménōs	#																															
attention	accusative	ménos	ménesih₁	ménōs	#																															
attention	genitive	ménesos	❔	ménesoHom	#																															
attention	ablative	ménesos	❔	ménesmos	#																															
attention	dative	ménesey	❔	ménesmos	#																															
attention	locative	ménes, ménesi	❔	ménesu	#																															
attention	instrumental	ménesh₁	❔	ménesmis	#																															
bird	nominative	h₂éwis	h₂éwih₁(e)	h₂éweyes	#	athematic, proterokinetic																														
bird	vocative	h₂éwi	h₂éwih₁(e)	h₂éweyes	#																															
bird	accusative	h₂éwim	h₂éwih₁(e)	h₂éwims	#																															
bird	genitive	h₂wéys	❔	h₂wéyoHom	#																															
bird	ablative	h₂wéys	❔	h₂wímos	#																															
bird	dative	h₂wéyey	❔	h₂wímos	#																															
bird	locative	h₂wéy, h₂wḗy	❔	h₂wísu	#																															
bird	instrumental	h₂wíh₁	❔	h₂wímis	#																															
clothing	nominative	wéstis	wéstih₁(e)	wésteyes	#	athematic, proterokinetic																														
clothing	vocative	wésti	wéstih₁(e)	wésteyes	#																															
clothing	accusative	wéstim	wéstih₁(e)	wéstims	#																															
clothing	genitive	ustéys	❔	ustéyoHom	#																															
