*	*	participle
appear	active	*h₁ludʰónts
be	active	*h₁sónts
climb	active	*stéygʰonts
direct	active	*dukónts
eat	active	*h₁dónts
endure	active	*tr̥h₂wónts
fall	active	*péth₂onts
fly	active	*péth₂onts
hear	active	*ḱl̥wónts
occupy	active	*tḱyónts
rest	active	*légʰyonts
see	active	*spéḱyonts
hear	active	*ḱl̥wónts
show	active	*diḱónts
swim	active	*(s)n̥h₂ónts
walk	active	*stéygʰonts
warm	active	*gʷʰoréyonts
work	active	*wr̥ǵyónts
be	active	*h₁sónts
become	active	*?ónts
leave	active	*likʷónts
carry	active	*bʰéronts
do	active	*dʰédʰh₁n̥ts
ask	active	*pr̥sḱónts
stretch	active	*tnn̥wónts
know	active	*widwṓs
sit	active	*sísdonts
protect	active	*h₂léksonts
be-red	active	*h₁rudʰéh₁n̥ts
set-down	active	*sodéyonts
want-to-see	active	*wéydsonts
renew	active	*néweh₂n̥ts
arrive	active	*h₁ludʰónts
say	active	*wéwkonts
point-out	active	*déyḱsn̥ts
think	active	*memn̥wṓs
eat	middle	*h₁dm̥h₁nós
fall	middle	*péth₂omnos
fly	middle	*péth₂omnos
hear	middle	*ḱl̥wm̥h₁nós
occupy	middle	*tḱym̥h₁nós
see	middle	*spéḱyomnos
hear	middle	*ḱl̥wm̥h₁nós
warm	middle	*gʷʰoréyomnos
work	middle	*wr̥ǵyómnos
leave	middle	*likʷm̥h₁nós
carry	middle	*bʰéromnos
do	middle	*dʰédʰh₁m̥h₁nos
ask	middle	*pr̥sḱómnos
stretch	middle	*tnn̥wm̥h₁nós
protect	middle	*h₂léksomnos
set-down	middle	*sodéyomnos
want-to-see	middle	*wéydsomnos
renew	middle	*néweh₂m̥h₁nos
say	middle	*wéwkomnos
point-out	middle	*déyḱsm̥h₁nos
