*	*	singular	singular	singular	singular	plural	plural	plural	plural
*	*	latin	ipa	latin	ipa	latin	ipa	latin	ipa
*	*	masculine	masculine	feminine	feminine	masculine	masculine	feminine	feminine
the		le	lə	la	la	les	lɛ(z)	les	lɛ(z)
a		un	œ̃(n)	une	yn	uns	œ̃	unes	yn
good	positive	bon	bɔ̃(n)	bonne	bɔn	bons	bɔ̃(z)	bonnes	bɔn
good	comparative	meilleur	mɛ.jœʁ	meilleure	mɛ.jœʁ	meilleurs	mɛ.jœʁ	meilleures	mɛ.jœʁ
bad	positive	mauvais	mo.vɛ	mauvaise	mo.vɛz	mauvais	mo.vɛ	mauvaises	mo.vɛz
bad	comparative	pire	piʁ	pire	piʁ	pires	piʁ	pires	piʁ
small	positive	petit	pə.ti(t)	petite	p(ə).tit	petits	pə.ti	petites	p(ə).tit
small	comparative	moindre	mwɛ̃dʁ	moindre	mwɛ̃dʁ	moindres	mwɛ̃dʁ	moindres	mwɛ̃dʁ
