*	infinitive	auxillary verb	gerund	present participle	past participle
change	cambiàre	avére	cambiàndo	cambiànte	cambiàto
climb	scalàre	avére, èssere	scalàndo	scalànte	scalàto
direct	guidàre	avére	guidàndo	guidànte	guidàto
displease	innervosìre	avére	innervosèndo	innervosènte	innervosìto
eat	mangiàre	avére	mangiàndo	mangiànte	mangiàto
endure	duràre	èssere1, avére2	duràndo	durànte	duràto
fall	cadére	èssere	cadèndo	cadènte	cadùto
fly	volàre	avére1, èssere2	volàndo	volànte	volàto
hear	udìre	avére	udèndo	udènte, udiènte	udìto
occupy	occupàre	avére	occupàndo	occupànte	occupàto
resemble	rassomigliàre	avére1, èssere2	rassomigliàndo	rassomigliànte	rassomigliàto
rest	règgersi	èssere	reggèndosi	reggènte	rètto
see	vedére	avére	vedèndo	vedènte, veggènte	vìsto, vedùto1
show	mostràre	avére	mostràndo	mostrànte	mostràto
startle	sorprèndere	avére	sorprendèndo	sorprendènte	sorpréso
swim	nuotàre	avére	nuotàndo	nuotànte	nuotàto
walk	camminàre	avére	camminàndo	camminànte	camminàto
warm	riscaldàre	avére1, èssere2	riscaldàndo	riscaldànte	riscaldàto
watch	guardàre	avére	guardàndo	guardànte	guardàto
work	lavoràre	avére	lavoràndo	lavorànte	lavoràto
