*	*	*	personal	personal	personal	personal	personal	personal	personal	reflexive				
*	*	*	nominative	accusative	dative	dative	ablative	locative	locative		#	combined	partitive	
*	*	*			informal	formal		informal	formal		#			
singular	1		io	mi	mi	mi	me	— 	— 	mi	#	me	— 	
singular	2		tu	ti	ti	ti	te	— 	— 	ti	#	te	— 	
singular	3	masculine	lui	lo	gli	gli	lui	ci	vi	si	#	glie, se 	ne	
singular	3	feminine	lei	la	le	le	lei	ci	vi	si	#	glie, se 	ne	
plural	1		noi	ci	ci	ci	noi	— 	— 	ci	#	ce	— 	
plural	2		voi	vi	vi	vi	voi	— 	— 	vi	#	ve	— 	
plural	3	masculine	loro	li	gli	loro	loro	ci	vi	si	#	glie, se 	ne	
plural	3	feminine	loro	le	gli	loro	loro	ci	vi	si	#	glie, se 	ne	
