*	*	*	*	nominative	genitive  	dative    	accusative	ablative  	vocative  	#	declension					
tall	masculine	positive	singular	altus 	altī 	altō 	altum 	altō 	alte 	#	1/2, -us					
tall	feminine	positive	singular	alta 	altae 	altae 	altam 	altā 	alta 	#	1/2, -us					
tall	neuter	positive	singular	altum 	altī 	altō 	altum 	altō 	altum 	#	1/2, -us					
tall	masculine	positive	plural	altī 	altōrum 	altīs	altōs 	altīs	altī 	#	1/2, -us					
tall	feminine	positive	plural	altae 	altārum 	altīs	altās 	altīs	altae 	#	1/2, -us					
tall	neuter	positive	plural	alta	altōrum	altīs	alta	altīs	alta	#	1/2, -us					
tall	masculine	comparative	singular	altior	altiōris	altiōrī	altiōrem	altiōre	altior 	#						
tall	feminine	comparative	singular	altior	altiōris	altiōrī	altiōrem	altiōre	altior 	#						
tall	neuter	comparative	singular	altius	altiōris	altiōrī	altius	altiōre	altius	#						
tall	masculine	comparative	plural	altiōrēs	altiōrum	altiōribus	altiōrēs	altiōribus	altiōrēs 	#						
tall	feminine	comparative	plural	altiōrēs	altiōrum	altiōribus	altiōrēs	altiōribus	altiōrēs 	#						
tall	neuter	comparative	plural	altiōra	altiōrum	altiōribus	altiōra	altiōribus	altiōra	#						
tall	masculine	superlative	singular	altissimus	altissimī	altissimō	altissimum	altissimō	altissime 	#						
tall	feminine	superlative	singular	altissima	altissimae	altissimae	altissimam	altissimā	altissima 	#						
tall	neuter	superlative	singular	altissimum	altissimī	altissimō	altissimum	altissimō	altissimum 	#						
tall	masculine	superlative	plural	altissimī	altissimōrum	altissimīs	altissimōs	altissimīs	altissimī 	#						
tall	feminine	superlative	plural	altissimae	altissimārum 	altissimārum 	altissimās	altissimīs	altissimae	#						
tall	neuter	superlative	plural	altissima	altissimōrum 	altissimōrum 	altissima	altissimīs	altissima	#						
holy	masculine	positive	singular	sacer 	sacrī 	sacrō 	sacrum 	sacrō 	sacer 	#	1/2, -er					
holy	feminine	positive	singular	sacra 	sacrae 	sacrae 	sacram 	sacrā 	sacra 	#	1/2, -er					
holy	neuter	positive	singular	sacrum 	sacrī 	sacrō 	sacrum 	sacrō 	sacrum 	#	1/2, -er					
holy	masculine	positive	plural	sacrī 	sacrōrum 	sacrīs	sacrōs 	sacrīs	sacrī 	#	1/2, -er					
holy	feminine	positive	plural	sacrae 	sacrārum 	sacrīs	sacrās 	sacrīs	sacrae 	#	1/2, -er					
holy	neuter	positive	plural	sacra	sacrōrum	sacrīs	sacra	sacrīs	sacra	#	1/2, -er					
holy	masculine	comparative	singular	sacrior	❔	❔	❔	❔	❔	#						
holy	feminine	comparative	singular	❔	❔	❔	❔	❔	❔	#						
holy	neuter	comparative	singular	❔	❔	❔	❔	❔	❔	#						
holy	masculine	comparative	plural	❔	❔	❔	❔	❔	❔	#						
holy	feminine	comparative	plural	❔	❔	❔	❔	❔	❔	#						
holy	neuter	comparative	plural	❔	❔	❔	❔	❔	❔	#						
holy	masculine	superlative	singular	sacerrimus	sacerrimī	sacerrimō	sacerrimum	sacerrimō	sacerrime 	#						
holy	feminine	superlative	singular	sacerrima	sacerrimae	sacerrimae	sacerrimam	sacerrimā	sacerrima 	#						
holy	neuter	superlative	singular	sacerrimum	sacerrimī	sacerrimō	sacerrimum	sacerrimō	sacerrimum 	#						
holy	masculine	superlative	plural	sacerrimī	sacerrimōrum	sacerrimīs	sacerrimōs 	sacerrimīs	sacerrimī 	#						
holy	feminine	superlative	plural	sacerrimae	sacerrimārum 	sacerrimīs	sacerrimās 	sacerrimīs	sacerrimae 	#						
holy	neuter	superlative	plural	sacerrima	sacerrimōrum 	sacerrimīs	sacerrima 	sacerrimīs	sacerrima 	#						
poor	masculine	positive	singular	miser 	miserī 	miserō 	miserum 	miserō 	miser 	#	1/2, -er					
poor	feminine	positive	singular	misera 	miserae 	miserae 	miseram 	miserā 	misera 	#	1/2, -er					
poor	neuter	positive	singular	miserum 	miserī 	miserō 	miserum 	miserō 	miserum 	#	1/2, -er					
poor	masculine	positive	plural	miserī 	miserōrum 	miserīs	miserōs 	miserīs	miserī 	#	1/2, -er					
poor	feminine	positive	plural	miserae 	miserārum 	miserīs	miserās 	miserīs	miserae 	#	1/2, -er					
poor	neuter	positive	plural	misera	miserōrum	miserīs	misera	miserīs	misera	#	1/2, -er					
poor	masculine	comparative	singular	miserior	miseriōris	miseriōrī	miseriōrem	miseriōre	miserior 	#						
poor	feminine	comparative	singular	miserior	miseriōris	miseriōrī	miseriōrem	miseriōre	miserior 	#						
poor	neuter	comparative	singular	miserius	miseriōris	miseriōrī	miserius	miseriōre	miserius	#						
poor	masculine	comparative	plural	miseriōrēs	miseriōrum	miseriōribus	miseriōrēs	miseriōribus	miseriōrēs 	#						
poor	feminine	comparative	plural	miseriōrēs	miseriōrum	miseriōribus	miseriōrēs	miseriōribus	miseriōrēs 	#						
poor	neuter	comparative	plural	miseriōra	miseriōrum	miseriōribus	miseriōra	miseriōribus	miseriōra	#						
poor	masculine	superlative	singular	miserrimus 	miserrimī 	miserrimō 	miserrimum 	miserrimō 	miserrime 	#						
poor	feminine	superlative	singular	miserrima 	miserrimae 	miserrimae 	miserrimam 	miserrimā 	miserrima 	#						
poor	neuter	superlative	singular	miserrimum	miserrimī	miserrimō	miserrimum	miserrimō	miserrimum 	#						
poor	masculine	superlative	plural	miserrimī 	miserrimōrum 	miserrimīs	miserrimōs 	miserrimīs	miserrimī 	#						
