*	*	*	nominative	genitive	dative	accusative	ablative	vocative	locative	#	*	declension	ending	etymology				
man	singular		homō       	hominis    	hominī     	hominem    	homine	homō	homine     	#	masculine	3	consonant	latin	# note: words with latin etymology come before those with greek etymology 			
man	plural		hominēs      	hominum      	hominibus    	hominēs      	hominibus    	hominēs      	hominibus    	#	masculine	3	consonant	latin	# since they are more common and easier to learn on average.			
day	singular		diēs       	diēī       	diēī       	diem       	diē        	diēs       	—	#		5         	-iēs        	latin    	# declensions are ordered by frequency, so the most useful declensions can be prioritized in case the user quits early          			
day	plural		diēs	diērum	diēbus       	diēs         	diēbus       	diēs	—	#		5         	-iēs        	latin    				
hand       	singular		manus      	manūs      	manuī      	manum      	manū       	manus      	—	#	masculine	4         	-us         	latin    				
hand       	plural		manūs        	manuum       	manibus      	manūs        	manibus      	manūs	—	#	masculine	4         	-us         	latin    				
night	singular		nox        	noctis     	noctī      	noctem     	nocte      	nox        	noctī      	#	feminine	3         	mixed -i    	latin    				
night	plural		noctēs       	noctium      	noctibus     	noctēs       	noctibus     	noctēs       	noctibus     	#	feminine	3         	mixed -i    	latin    				
thing      	singular		rēs        	reī        	reī        	rem        	rē         	rēs        	—	#	feminine	5         	-ēs         	latin    				
thing      	plural		rēs          	rērum        	rēbus        	rēs          	rēbus        	rēs	—	#	feminine	5         	-ēs         	latin    				
name       	singular		nōmen      	nōminis    	nōminī     	nōmen      	nōmine     	nōmen      	nōminī     	#	neuter	3         	consonant   	latin    				
name       	plural		nōmina       	nōminum      	nōminibus    	nōmina       	nōminibus    	nōmina       	nōminibus    	#	neuter	3         	consonant   	latin    				
son        	singular		fīlius     	fīliī      	fīliō      	fīlium     	fīliō      	fīlī       	—	#	masculine	2         	-us         	latin    				
son        	plural		fīliī        	fīliōrum     	fīliīs       	fīliōs       	fīliīs       	fīliī	—	#	masculine	2         	-us         	latin    				
war        	singular		bellum     	bellī      	bellō      	bellum     	bellō      	bellum     	bellī      	#	masculine	2         	-um         	latin    				
war        	plural		bella        	bellōrum     	bellīs       	bella        	bellīs       	bella        	bellīs       	#	masculine	2         	-um         	latin    				
