*	*	*	active	active	active	passive	passive	passive
*	*	*	present	present	future	present	present	future
*	*	*	simple	perfective	simple	simple	perfective	simple
appear		infinitive	appārēre	appāruisse	appāritūrum esse	appārērī	appāritum esse	appāritum īrī
appear		participle	appārēns	—	appāritūrus	—	appāritus	appārendus
be-inherently		infinitive	esse	fuisse	futūrum esse, fore	—	—	—
be-inherently		participle	—	—	futūrus	—	—	—
be-momentarily		infinitive	esse	fuisse	futūrum esse, fore	—	—	—
be-momentarily		participle	—	—	futūrus	—	—	—
change		infinitive	cambiāre	cambiāvisse	—	—	—	—
change		participle	cambiāns	—	—	—	—	—
climb		infinitive	ascendere	ascendisse	ascēnsūrum esse	ascendī	ascēnsum esse	ascēnsum īrī
climb		participle	ascendēns	—	ascēnsūrus	—	ascēnsus	ascendendus, ascendundus
direct		infinitive	dūcere	dūxisse	ductūrum esse	dūcī	ductum esse	ductum īrī
direct		participle	dūcēns	—	ductūrus	—	ductus	dūcendus, dūcundus
displease		infinitive	displicēre	displicuisse	displicitūrum esse	displicērī	displicitum esse	displicitum īrī
displease		participle	displicēns	—	displicitūrus	—	displicitus	displicendus
eat		infinitive	edere, ēsse	ēdisse	ēsūrum esse	edī	ēsum esse	ēsum īrī
eat		participle	edēns	—	ēsūrus	—	ēsus	edendus, edundus
endure		infinitive	perpetī	perpessum esse	perpessūrum esse	—	—	—
endure		participle	perpetiēns	perpessus	perpessūrus	—	—	perpetiendus, perpetiundus
fall		infinitive	cadere	cecidisse	cāsūrum esse	cadī	cāsum esse	—
fall		participle	cadēns	—	cāsūrus	—	cāsum	cadendum, cadundum
fly		infinitive	volāre	volāvisse	volātūrum esse	volārī	volātum esse	—
fly		participle	volāns	—	volātūrus	—	volātum	volandum
hear		infinitive	audīre	audīvisse, audiisse	audītūrum esse	audīrī, audīrier1	audītum esse	audītum īrī
hear		participle	audiēns	—	audītūrus	—	audītus	audiendus, audiundus
resemble		infinitive	similāre	similāvisse	similātūrum esse	similārī	similātum esse	similātum īrī
resemble		participle	similāns	—	similātūrus	—	similātus	similandus
rest		infinitive	requiēscere	requiēvisse	requiētūrum esse	requiēscī	requiētum esse	requiētum īrī
rest		participle	requiēscēns	—	requiētūrus	—	requiētus	requiēscendus, requiēscundus
see		infinitive	vidēre	vīdisse	vīsūrum esse	vidērī, vidērier1	vīsum esse	vīsum īrī
see		participle	vidēns	—	vīsūrus	—	vīsus	videndus
show		infinitive	mōnstrāre	mōnstrāvisse	mōnstrātūrum esse	mōnstrārī	mōnstrātum esse	mōnstrātum īrī
show		participle	mōnstrāns	—	mōnstrātūrus	—	mōnstrātus	mōnstrandus
startle		infinitive	pavefacere	pavefēcisse	pavefactūrum esse	pavefierī	pavefactum esse	pavefactum īrī
startle		participle	pavefaciēns	—	pavefactūrus	—	pavefactus	pavefaciendus, pavefaciundus
swim		infinitive	natāre	natāvisse	natātūrum esse	natārī	natātum esse	natātum īrī
swim		participle	natāns	—	natātūrus	—	natātus	natandus
walk		infinitive	ambulāre	ambulāvisse, ambulāsse1	ambulātūrum esse	ambulārī	ambulātum esse	ambulātum īrī
walk		participle	ambulāns	—	ambulātūrus	—	ambulātus	ambulandus
warm		infinitive	calē̆facere	calē̆fēcisse	calē̆factūrum esse	calē̆fierī	calē̆factum esse	calē̆factum īrī
warm		participle	calē̆faciēns	—	calē̆factūrus	—	calē̆factus	calē̆faciendus, calē̆faciundus
watch		infinitive	spectāre	spectāvisse, spectāsse1	spectātūrum esse	spectārī	spectātum esse	spectātum īrī
watch		participle	spectāns	—	spectātūrus	—	spectātus	spectandus
work		infinitive	labōrāre	labōrāvisse, labōrāsse1	labōrātūrum esse	labōrārī	labōrātum esse	labōrātum īrī
work		participle	labōrāns	—	labōrātūrus	—	labōrātus	labōrandus
be		infinitive	esse	fuisse	futūrum esse, fore	—	—	—
be		participle	—	—	futūrus	—	—	—
be-able		infinitive	posse	potuisse	—	—	—	—
be-able		participle	potēns	—	—	—	—	—
want		infinitive	velle	voluisse	—	—	—	—
want		participle	volēns	—	—	—	—	—
become		infinitive	fierī	factum esse	factum īrī	—	—	—
become		participle	—	factus	—	—	—	—
go		infinitive	īre	īsse	itūrum esse	īrī, īrier1	itum esse	itum īrī
go		participle	iēns	—	itūrus	—	itus	eundus
carry		infinitive	ferre	tulisse, tetulisse1	lātūrum esse	ferrī	lātum esse1	lātum īrī
carry		participle	ferēns	—1	lātūrus	—	lātus1	ferendus, ferundus
love		infinitive	amāre	amāvisse, amāsse2	amātūrum esse	amārī	amātum esse	amātum īrī
love		participle	amāns	—	amātūrus	—	amātus	amandus
advise		infinitive	monēre	monuisse	monitūrum esse	monērī, monērier2	monitum esse	monitum īrī
advise		participle	monēns	—	monitūrus	—	monitus	monendus
capture		infinitive	capere	cēpisse	captūrum esse	capī	captum esse	captum īrī
capture		participle	capiēns	—	captūrus	—	captus	capiendus, capiundus
appear	#	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
appear	#	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
appear	#	verbal nouns	appārendī	appārendō	appārendum	appārendō	appāritum	appāritū
change	#	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
change	#	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
change	#	verbal nouns	cambiandī	cambiandō	cambiandum	cambiandō	—	—
climb	#	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
