appear	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)
appear	indicative	indicative	singular	singular	singular	plural	plural	plural
appear	indicative	indicative	first	second	third	first	second	third
appear	active	present	appāreō	appārēs	appāret	appārēmus	appārētis	appārent
appear	active	imperfect	appārēbam	appārēbās	appārēbat	appārēbāmus	appārēbātis	appārēbant
appear	active	future	appārēbō	appārēbis	appārēbit	appārēbimus	appārēbitis	appārēbunt
appear	active	perfect	appāruī	appāruistī	appāruit	appāruimus	appāruistis	appāruērunt, appāruēre
appear	active	pluperfect	appārueram	appāruerās	appāruerat	appāruerāmus	appāruerātis	appāruerant
appear	active	future perfect	appāruerō	appārueris	appāruerit	appāruerimus	appārueritis	appāruerint
appear	passive	present	appāreor	appārēris, appārēre	appārētur	appārēmur	appārēminī	appārentur
appear	passive	imperfect	appārēbar	appārēbāris, appārēbāre	appārēbātur	appārēbāmur	appārēbāminī	appārēbantur
appear	passive	future	appārēbor	appārēberis, appārēbere	appārēbitur	appārēbimur	appārēbiminī	appārēbuntur
appear	passive	perfect	appāritus + present active indicative of sum	appāritus + present active indicative of sum	appāritus + present active indicative of sum	appāritus + present active indicative of sum	appāritus + present active indicative of sum	appāritus + present active indicative of sum
appear	passive	pluperfect	appāritus + imperfect active indicative of sum	appāritus + imperfect active indicative of sum	appāritus + imperfect active indicative of sum	appāritus + imperfect active indicative of sum	appāritus + imperfect active indicative of sum	appāritus + imperfect active indicative of sum
appear	passive	future perfect	appāritus + future active indicative of sum	appāritus + future active indicative of sum	appāritus + future active indicative of sum	appāritus + future active indicative of sum	appāritus + future active indicative of sum	appāritus + future active indicative of sum
appear	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
appear	subjunctive	subjunctive	first	second	third	first	second	third
appear	active	present	appāream	appāreās	appāreat	appāreāmus	appāreātis	appāreant
appear	active	imperfect	appārērem	appārērēs	appārēret	appārērēmus	appārērētis	appārērent
appear	active	perfect	appāruerim	appāruerīs	appāruerit	appāruerīmus	appāruerītis	appāruerint
appear	active	pluperfect	appāruissem	appāruissēs	appāruisset	appāruissēmus	appāruissētis	appāruissent
appear	passive	present	appārear	appāreāris, appāreāre	appāreātur	appāreāmur	appāreāminī	appāreantur
appear	passive	imperfect	appārērer	appārērēris, appārērēre	appārērētur	appārērēmur	appārērēminī	appārērentur
appear	passive	perfect	appāritus + present active subjunctive of sum	appāritus + present active subjunctive of sum	appāritus + present active subjunctive of sum	appāritus + present active subjunctive of sum	appāritus + present active subjunctive of sum	appāritus + present active subjunctive of sum
appear	passive	pluperfect	appāritus + imperfect active subjunctive of sum	appāritus + imperfect active subjunctive of sum	appāritus + imperfect active subjunctive of sum	appāritus + imperfect active subjunctive of sum	appāritus + imperfect active subjunctive of sum	appāritus + imperfect active subjunctive of sum
appear	imperative	imperative	singular	singular	singular	plural	plural	plural
appear	imperative	imperative	first	second	third	first	second	third
appear	active	present	—	appārē	—	—	appārēte	—
appear	active	future	—	appārētō	appārētō	—	appārētōte	appārentō
appear	passive	present	—	appārēre	—	—	appārēminī	—
appear	passive	future	—	appārētor	appārētor	—	—	appārentor
appear	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
appear	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
appear	infinitives	infinitives	appārēre	appāruisse	appāritūrum esse	appārērī	appāritum esse	appāritum īrī
appear	participles	participles	appārēns	—	appāritūrus	—	appāritus	appārendus
