*	singular	plural
animal	animal	animais
attention	atenção	atenções
bird	pássaro	pássaros
brother	irmão	irmãos
boat	barco	barcos
book	livro	livros
bug	bicho	bichos
clothing	roupas	roupas
daughter	filha	filhas
dog	cadela	cadelas
drum	tambor	bateria
enemy	inimiga	inimigas
fire	incêndio	incêndios
food	comida	comidas
gift	presente	presentes
guard	guarda	guardas
horse	cavalo	cavalos
house	casa	casas
livestock	gado	gados
love	amor	amores
idea	ideia	ideias
man	homem	homens
monster	monstro	monstros
name	nome	nomes
rock	pedra	pedras
rope	corda	cordas
sister	irmã	irmãs
size	tamanho	tamanhos
son	filho	filhos
sound	som	sons
warmth	cordialidade	cordialidades
water	água	águas
way	caminho	caminhos
window	janela	janelas
woman	mulher	mulheres
work	trabalhar	trabalhares
hello	olá	olá
strong	forte	fortes
