*	*	*	singular	singular	singular	plural	plural	plural									
*	*	*	masculine	neuter	feminine	masculine	neuter	feminine									
singular-possessor	1-possessor	nominative	meu 	meu 	mea 	mei 	mele	mele									
singular-possessor	1-possessor	accusative	meu 	meu 	mea 	mei 	mele	mele									
singular-possessor	1-possessor	vocative	meu 	meu 	mea 	mei 	mele	mele									
singular-possessor	1-possessor	dative	meu 	meu 	mele 	mei 	mele	mele									
singular-possessor	2-possessor	nominative	tău 	tău 	ta 	tăi 	tale	tale									
singular-possessor	2-possessor	accusative	tău 	tău 	ta 	tăi 	tale	tale									
singular-possessor	2-possessor	vocative	tău 	tău 	ta 	tăi 	tale	tale									
singular-possessor	2-possessor	dative	tău 	tău 	tale 	tăi 	tale	tale									
singular-possessor	3-possessor	nominative	său 	său 	sa 	săi 	sale	sale									
singular-possessor	3-possessor	accusative	său 	său 	sa 	săi 	sale	sale									
singular-possessor	3-possessor	vocative	său 	său 	sa 	săi 	sale	sale									
singular-possessor	3-possessor	dative	său 	său 	sale 	săi 	sale	sale									
plural-possessor	1-possessor	nominative	nostru 	nostru 	noastră 	noștri 	noastre	noastre									
plural-possessor	1-possessor	accusative	nostru 	nostru 	noastră 	noștri 	noastre	noastre									
plural-possessor	1-possessor	vocative	nostru 	nostru 	noastră 	noștri 	noastre	noastre									
plural-possessor	1-possessor	dative	nostru 	nostru 	noastre 	noștri 	noastre	noastre									
plural-possessor	2-possessor	nominative	vostru 	vostru 	voastră 	voștri 	voastre	voastre									
plural-possessor	2-possessor	accusative	vostru 	vostru 	voastră 	voștri 	voastre	voastre									
plural-possessor	2-possessor	vocative	vostru 	vostru 	voastră 	voștri 	voastre	voastre									
plural-possessor	2-possessor	dative	vostru 	vostru 	voastre 	voștri 	voastre	voastre									
plural-possessor	3-possessor	nominative	lor	lor	lor	lor	lor	lor									
plural-possessor	3-possessor	accusative	lor	lor	lor	lor	lor	lor									
plural-possessor	3-possessor	vocative	lor	lor	lor	lor	lor	lor									
plural-possessor	3-possessor	dative	lor	lor	lor	lor	lor	lor									
